#    L    TT             EE             TE             PP             TP          
     2    0.32282E+03    0.73648E-10   -0.11507E-04    0.93265E+06    0.32349E+05
     3    0.22668E+03    0.22699E-10    0.74939E-05    0.14302E+07    0.36203E+05
     4    0.17060E+03    0.61046E-11    0.60582E-05    0.18666E+07    0.37511E+05
     5    0.13426E+03    0.20527E-11    0.30635E-05    0.22474E+07    0.37605E+05
     6    0.10898E+03    0.84746E-12    0.28536E-05    0.25794E+07    0.37064E+05
     7    0.90492E+02    0.56635E-12    0.39223E-05    0.28693E+07    0.36186E+05
     8    0.76468E+02    0.58950E-12    0.42019E-05    0.31231E+07    0.35131E+05
     9    0.65532E+02    0.48034E-12    0.32648E-05    0.33461E+07    0.33994E+05
    10    0.56802E+02    0.24704E-12    0.19401E-05    0.35419E+07    0.32824E+05
    11    0.49715E+02    0.92580E-13    0.10535E-05    0.37149E+07    0.31660E+05
    12    0.44010E+02    0.10382E-03   -0.23715E-03    0.38669E+07    0.30512E+05
    13    0.38962E+02    0.10449E-12    0.95151E-06    0.40004E+07    0.29391E+05
    14    0.34779E+02   -0.27194E-04    0.79635E-04    0.41179E+07    0.28307E+05
    15    0.31285E+02    0.12016E-12    0.11340E-05    0.42211E+07    0.27265E+05
    16    0.28209E+02   -0.22586E-04    0.32409E-03    0.43113E+07    0.26263E+05
    17    0.25599E+02    0.61420E-13    0.68799E-06    0.43902E+07    0.25304E+05
    18    0.22858E+02    0.11488E-04   -0.52563E-03    0.44588E+07    0.24386E+05
    19    0.21267E+02    0.27997E-13    0.28824E-06    0.45179E+07    0.23508E+05
    20    0.19515E+02    0.10034E-04   -0.10655E-04    0.45682E+07    0.22667E+05
    21    0.17886E+02    0.23783E-13    0.31922E-06    0.46107E+07    0.21863E+05
    22    0.16513E+02   -0.67106E-05   -0.42682E-04    0.46463E+07    0.21095E+05
    23    0.15200E+02    0.64732E-13    0.54586E-06    0.46757E+07    0.20361E+05
    24    0.14038E+02   -0.45945E-05    0.19327E-03    0.46991E+07    0.19659E+05
    25    0.13033E+02    0.10349E-12    0.64720E-06    0.47171E+07    0.18987E+05
    26    0.12050E+02    0.45677E-05    0.17381E-03    0.47304E+07    0.18345E+05
    27    0.11262E+02    0.86141E-13    0.53818E-06    0.47393E+07    0.17731E+05
    28    0.10469E+02    0.62322E-06   -0.24430E-03    0.47442E+07    0.17143E+05
    29    0.97977E+01    0.45839E-13    0.32485E-06    0.47453E+07    0.16580E+05
    30    0.92290E+01   -0.21393E-05    0.16706E-04    0.47426E+07    0.16039E+05
    31    0.85731E+01    0.25511E-13    0.13891E-06    0.47367E+07    0.15521E+05
    32    0.80040E+01    0.18985E-05    0.16031E-03    0.47281E+07    0.15024E+05
