#    L    TT             EE             TE             PP             TP          
     2    0.36710E+03    0.88611E-10   -0.14554E-04    0.10361E+07    0.36512E+05
     3    0.25483E+03    0.26970E-10    0.83414E-05    0.15770E+07    0.40441E+05
     4    0.19024E+03    0.71522E-11    0.68516E-05    0.20473E+07    0.41600E+05
     5    0.14879E+03    0.23713E-11    0.34375E-05    0.24548E+07    0.41470E+05
     6    0.12016E+03    0.96783E-12    0.31693E-05    0.28076E+07    0.40686E+05
     7    0.99341E+02    0.63757E-12    0.43517E-05    0.31139E+07    0.39567E+05
     8    0.83631E+02    0.65880E-12    0.46606E-05    0.33803E+07    0.38284E+05
     9    0.71434E+02    0.53610E-12    0.36168E-05    0.36131E+07    0.36934E+05
    10    0.61735E+02    0.27579E-12    0.21432E-05    0.38163E+07    0.35567E+05
    11    0.53889E+02    0.10325E-12    0.11564E-05    0.39948E+07    0.34223E+05
    12    0.47576E+02    0.10382E-03   -0.23707E-03    0.41507E+07    0.32908E+05
    13    0.42036E+02    0.11484E-12    0.10337E-05    0.42866E+07    0.31634E+05
    14    0.37448E+02   -0.27194E-04    0.79730E-04    0.44055E+07    0.30410E+05
    15    0.33618E+02    0.13148E-12    0.12309E-05    0.45091E+07    0.29238E+05
    16    0.30261E+02   -0.22586E-04    0.32417E-03    0.45991E+07    0.28117E+05
    17    0.27412E+02    0.66920E-13    0.74442E-06    0.46769E+07    0.27047E+05
    18    0.24469E+02    0.11488E-04   -0.52560E-03    0.47440E+07    0.26028E+05
    19    0.22703E+02    0.30400E-13    0.31033E-06    0.48011E+07    0.25056E+05
    20    0.20800E+02    0.10034E-04   -0.10636E-04    0.48489E+07    0.24128E+05
    21    0.19040E+02    0.25768E-13    0.34372E-06    0.48886E+07    0.23242E+05
    22    0.17553E+02   -0.67106E-05   -0.42649E-04    0.49211E+07    0.22398E+05
    23    0.16141E+02    0.69899E-13    0.58744E-06    0.49471E+07    0.21594E+05
    24    0.14890E+02   -0.45945E-05    0.19332E-03    0.49669E+07    0.20826E+05
    25    0.13808E+02    0.11145E-12    0.69498E-06    0.49813E+07    0.20093E+05
    26    0.12755E+02    0.45677E-05    0.17385E-03    0.49906E+07    0.19393E+05
    27    0.11905E+02    0.92525E-13    0.57626E-06    0.49956E+07    0.18726E+05
    28    0.11057E+02    0.62322E-06   -0.24427E-03    0.49964E+07    0.18088E+05
    29    0.10337E+02    0.49130E-13    0.34652E-06    0.49934E+07    0.17477E+05
    30    0.97237E+01   -0.21393E-05    0.16720E-04    0.49865E+07    0.16892E+05
    31    0.90278E+01    0.27331E-13    0.14719E-06    0.49763E+07    0.16332E+05
    32    0.84227E+01    0.18985E-05    0.16032E-03    0.49634E+07    0.15795E+05
    33    0.79280E+01    0.22156E-13    0.52393E-07    0.49479E+07    0.15282E+05
    34    0.74259E+01    0.58091E-06   -0.27666E-03    0.49299E+07    0.14790E+05
    35    0.69966E+01    0.17926E-13    0.61456E-07    0.49098E+07    0.14319E+05
    36    0.66394E+01   -0.13653E-06    0.46383E-03    0.48877E+07    0.13867E+05
    37    0.62022E+01    0.16308E-13    0.12835E-06    0.48638E+07    0.13433E+05
    38    0.58237E+01    0.41830E-05   -0.55391E-03    0.48383E+07    0.13016E+05
    39    0.55449E+01    0.55145E-05   -0.64610E-03    0.48112E+07    0.12617E+05
    40    0.52156E+01    0.28022E-13    0.22767E-06    0.47828E+07    0.12233E+05
    41    0.50392E+01   -0.10177E-04    0.12921E-02    0.47530E+07    0.11863E+05
    42    0.47779E+01   -0.18179E-04    0.24752E-02    0.47221E+07    0.11508E+05
    43    0.45476E+01   -0.16190E-04    0.26483E-02    0.46902E+07    0.11166E+05
    44    0.41673E+01   -0.11250E-04    0.18018E-02    0.46573E+07    0.10838E+05
    45    0.39759E+01    0.33683E-13    0.22454E-06    0.46236E+07    0.10521E+05
    46    0.38743E+01    0.21386E-04   -0.44408E-02    0.45892E+07    0.10217E+05
    47    0.37205E+01    0.45231E-04   -0.10322E-01    0.45541E+07    0.99232E+04
    48    0.34544E+01    0.68040E-04   -0.13066E-01    0.45185E+07    0.96406E+04
    49    0.31645E+01    0.64032E-04   -0.86922E-02    0.44824E+07    0.93683E+04
    50    0.30879E+01    0.10313E-13    0.10074E-06    0.44459E+07    0.91059E+04
    51    0.30111E+01   -0.15865E-03    0.87114E-02    0.44090E+07    0.88529E+04
    52    0.31461E+01   -0.32573E-03    0.12776E-01    0.43719E+07    0.86089E+04
    53    0.31059E+01   -0.34961E-03    0.92855E-02    0.43346E+07    0.83736E+04
    54    0.28005E+01   -0.23463E-03    0.33016E-02    0.42970E+07    0.81465E+04
    55    0.24369E+01    0.42426E-14    0.25873E-07    0.42593E+07    0.79273E+04
    56    0.22271E+01    0.21343E-03   -0.17291E-02    0.42215E+07    0.77157E+04
    57    0.21051E+01    0.29820E-03   -0.18358E-02    0.41836E+07    0.75113E+04
    58    0.20838E+01    0.26287E-03   -0.12124E-02    0.41457E+07    0.73139E+04
    59    0.20278E+01    0.14575E-03   -0.77348E-03    0.41078E+07    0.71231E+04
    60    0.19500E+01    0.27424E-14    0.23757E-07    0.40698E+07    0.69386E+04
    61    0.21567E+01   -0.80085E-04    0.18113E-02    0.40319E+07    0.67603E+04
    62    0.20474E+01   -0.10301E-03    0.37228E-02    0.39941E+07    0.65877E+04
    63    0.18349E+01   -0.10297E-03    0.47585E-02    0.39563E+07    0.64208E+04
    64    0.18061E+01   -0.62183E-04    0.37191E-02    0.39187E+07    0.62594E+04
    65    0.15794E+01    0.59068E-14    0.45738E-07    0.38813E+07    0.61032E+04
    66    0.14414E+01    0.21984E-04   -0.46037E-02    0.38440E+07    0.59521E+04
    67    0.12307E+01    0.10896E-04   -0.77600E-02    0.38069E+07    0.58058E+04
    68    0.12313E+01    0.13330E-04   -0.83024E-02    0.37701E+07    0.56641E+04
    69    0.12071E+01   -0.58331E-05   -0.49903E-02    0.37335E+07    0.55270E+04
    70    0.12934E+01    0.89071E-14    0.50825E-07    0.36972E+07    0.53942E+04
    71    0.13345E+01    0.25785E-04    0.38996E-02    0.36611E+07    0.52656E+04
    72    0.13470E+01    0.53062E-04    0.55055E-02    0.36253E+07    0.51409E+04
    73    0.12796E+01    0.56304E-04    0.45079E-02    0.35897E+07    0.50201E+04
    74    0.11548E+01    0.32269E-04    0.20827E-02    0.35544E+07    0.49030E+04
    75    0.10699E+01    0.50161E-14    0.38541E-07    0.35194E+07    0.47894E+04
    76    0.96585E+00   -0.30693E-04   -0.95234E-03    0.34847E+07    0.46792E+04
    77    0.90282E+00   -0.57223E-04   -0.10189E-02    0.34503E+07    0.45723E+04
    78    0.93355E+00   -0.41664E-04   -0.21692E-02    0.34161E+07    0.44685E+04
    79    0.88792E+00   -0.27803E-04   -0.11730E-02    0.33823E+07    0.43679E+04
    80    0.89296E+00    0.21565E-14    0.24231E-07    0.33488E+07    0.42702E+04
    81    0.85741E+00    0.27379E-05    0.31531E-03    0.33156E+07    0.41753E+04
    82    0.85680E+00    0.12525E-04    0.24967E-03    0.32828E+07    0.40833E+04
    83    0.82270E+00    0.14258E-04   -0.27075E-03    0.32503E+07    0.39939E+04
    84    0.83519E+00    0.15117E-04    0.16587E-03    0.32182E+07    0.39072E+04
    85    0.75155E+00    0.16877E-14    0.16002E-07    0.31865E+07    0.38230E+04
    86    0.65114E+00   -0.80104E-05   -0.13641E-03    0.31551E+07    0.37412E+04
    87    0.75897E+00   -0.26216E-04    0.24021E-03    0.31242E+07    0.36618E+04
    88    0.63076E+00   -0.26302E-04    0.83362E-03    0.30936E+07    0.35846E+04
    89    0.63932E+00   -0.96688E-05   -0.13813E-03    0.30634E+07    0.35096E+04
    90    0.63751E+00    0.11251E-14    0.12642E-07    0.30336E+07    0.34367E+04
    91    0.55284E+00    0.88892E-05    0.16983E-03    0.30041E+07    0.33658E+04
    92    0.53711E+00    0.16379E-04    0.62229E-03    0.29751E+07    0.32968E+04
    93    0.59396E+00    0.29435E-04    0.82642E-03    0.29464E+07    0.32297E+04
    94    0.50415E+00    0.25308E-04    0.17369E-02    0.29181E+07    0.31645E+04
    95    0.49417E+00    0.18391E-04    0.20800E-02    0.28901E+07    0.31010E+04
    96    0.27049E+00    0.82198E-05    0.20674E-02    0.28626E+07    0.30393E+04
    97    0.28246E+00   -0.56680E-05    0.19112E-02    0.28354E+07    0.29792E+04
    98    0.31083E+00   -0.16308E-04    0.33087E-02    0.28085E+07    0.29208E+04
    99    0.21067E+00   -0.46450E-04    0.27578E-02    0.27820E+07    0.28640E+04
   100    0.20844E+00   -0.81699E-04    0.41844E-02    0.27559E+07    0.28088E+04
   101    0.15922E+00   -0.48236E-04    0.40862E-02    0.27301E+07    0.27550E+04
   102    0.43803E+00   -0.80235E-04    0.41607E-02    0.27046E+07    0.27027E+04
   103    0.45424E+00   -0.89020E-04    0.31342E-02    0.26795E+07    0.26518E+04
   104    0.50860E+00   -0.60196E-04    0.34469E-02    0.26548E+07    0.26023E+04
   105    0.53045E+00   -0.53656E-04    0.30823E-02    0.26304E+07    0.25540E+04
   106    0.59769E+00    0.19279E-04    0.22523E-02    0.26063E+07    0.25070E+04
   107    0.41683E+00    0.24434E-04    0.19114E-02    0.25825E+07    0.24612E+04
   108    0.43718E+00    0.50485E-04    0.78595E-03    0.25591E+07    0.24166E+04
   109    0.43951E+00    0.37543E-04   -0.16942E-03    0.25360E+07    0.23731E+04
   110    0.35318E+00    0.37504E-15    0.50127E-08    0.25132E+07    0.23306E+04
   111    0.25677E+00    0.25783E-04   -0.72092E-03    0.24907E+07    0.22892E+04
   112    0.15739E+00    0.51254E-04   -0.21128E-02    0.24685E+07    0.22487E+04
   113    0.13713E+00    0.86308E-04   -0.32119E-02    0.24467E+07    0.22092E+04
   114    0.55205E-01    0.66557E-04   -0.37972E-02    0.24251E+07    0.21707E+04
   115    0.67991E-01    0.15046E-03   -0.43908E-02    0.24039E+07    0.21331E+04
   116   -0.39567E-01    0.12507E-03   -0.47717E-02    0.23829E+07    0.20964E+04
   117    0.37462E-01    0.74553E-04   -0.47190E-02    0.23623E+07    0.20605E+04
   118    0.15831E+00    0.15738E-03   -0.54974E-02    0.23419E+07    0.20256E+04
   119    0.18220E+00    0.23488E-03   -0.54004E-02    0.23219E+07    0.19914E+04
   120    0.26551E+00    0.16838E-03   -0.49499E-02    0.23021E+07    0.19581E+04
   121    0.26747E+00    0.26490E-03   -0.46678E-02    0.22826E+07    0.19255E+04
   122    0.27014E+00    0.23721E-03   -0.43333E-02    0.22633E+07    0.18938E+04
   123    0.28134E+00    0.16949E-03   -0.44681E-02    0.22443E+07    0.18628E+04
   124    0.30887E+00    0.14592E-03   -0.26230E-02    0.22256E+07    0.18325E+04
   125    0.28622E+00    0.10210E-03   -0.15484E-02    0.22072E+07    0.18029E+04
   126    0.29550E+00    0.12222E-03   -0.10233E-02    0.21890E+07    0.17740E+04
   127    0.27020E+00    0.67608E-04   -0.82677E-03    0.21711E+07    0.17457E+04
   128    0.21813E+00    0.96719E-04   -0.73800E-03    0.21535E+07    0.17181E+04
   129    0.22137E+00    0.70884E-04   -0.53605E-03    0.21360E+07    0.16911E+04
   130    0.21344E+00    0.22502E-14    0.79593E-08    0.21189E+07    0.16647E+04
   131    0.20246E+00    0.40701E-04   -0.11275E-02    0.21019E+07    0.16388E+04
   132    0.27219E+00    0.45184E-04   -0.14194E-02    0.20852E+07    0.16136E+04
   133    0.28387E+00    0.86669E-04   -0.35664E-02    0.20688E+07    0.15888E+04
   134    0.32160E+00    0.16409E-03   -0.35737E-02    0.20526E+07    0.15646E+04
   135    0.39517E+00    0.20211E-03   -0.48750E-02    0.20366E+07    0.15410E+04
   136    0.36582E+00    0.19965E-03   -0.42183E-02    0.20208E+07    0.15178E+04
   137    0.39194E+00    0.22994E-03   -0.42943E-02    0.20052E+07    0.14951E+04
   138    0.40904E+00    0.21763E-03   -0.40796E-02    0.19898E+07    0.14729E+04
   139    0.27836E+00    0.31022E-03   -0.32936E-02    0.19747E+07    0.14512E+04
   140    0.30685E+00    0.28381E-03   -0.31413E-02    0.19598E+07    0.14300E+04
   141    0.20717E+00    0.21161E-03   -0.18566E-02    0.19450E+07    0.14091E+04
   142    0.21198E+00    0.16683E-03   -0.64437E-03    0.19305E+07    0.13888E+04
   143    0.25681E+00    0.14843E-03    0.33036E-04    0.19161E+07    0.13688E+04
   144    0.20289E+00    0.81045E-04    0.45625E-03    0.19020E+07    0.13493E+04
   145    0.13431E+00    0.11218E-03    0.90586E-03    0.18880E+07    0.13301E+04
   146    0.28374E+00    0.17933E-04    0.91965E-03    0.18742E+07    0.13113E+04
   147    0.21527E+00    0.20080E-04    0.15210E-02    0.18606E+07    0.12930E+04
   148    0.16157E+00   -0.31007E-04    0.76213E-03    0.18471E+07    0.12749E+04
   149    0.20672E+00   -0.62107E-04   -0.33364E-03    0.18338E+07    0.12572E+04
   150    0.13768E+00    0.18752E-15    0.12067E-08    0.18207E+07    0.12399E+04
   151    0.11250E+00    0.77267E-04   -0.16144E-02    0.18077E+07    0.12229E+04
   152   -0.91623E-02    0.80850E-04   -0.38724E-02    0.17949E+07    0.12061E+04
   153   -0.70855E-01    0.14206E-03   -0.46709E-02    0.17823E+07    0.11897E+04
   154   -0.13896E+00    0.24362E-03   -0.63636E-02    0.17698E+07    0.11736E+04
   155   -0.20560E+00    0.36829E-03   -0.83328E-02    0.17574E+07    0.11578E+04
   156   -0.41142E+00    0.49880E-03   -0.10704E-01    0.17452E+07    0.11423E+04
   157   -0.45141E+00    0.61790E-03   -0.12116E-01    0.17332E+07    0.11271E+04
   158   -0.54052E+00    0.78259E-03   -0.13437E-01    0.17213E+07    0.11122E+04
   159   -0.67085E+00    0.82706E-03   -0.14794E-01    0.17095E+07    0.10975E+04
   160   -0.76023E+00    0.88262E-03   -0.14824E-01    0.16978E+07    0.10831E+04
   161   -0.80077E+00    0.10063E-02   -0.15139E-01    0.16863E+07    0.10690E+04
   162   -0.85884E+00    0.10322E-02   -0.15864E-01    0.16750E+07    0.10551E+04
   163   -0.77799E+00    0.10175E-02   -0.15639E-01    0.16637E+07    0.10415E+04
   164   -0.84747E+00    0.10190E-02   -0.16075E-01    0.16526E+07    0.10281E+04
   165   -0.76223E+00    0.94538E-03   -0.15068E-01    0.16416E+07    0.10150E+04
   166   -0.66295E+00    0.92781E-03   -0.14230E-01    0.16307E+07    0.10021E+04
   167   -0.46745E+00    0.72622E-03   -0.14427E-01    0.16200E+07    0.98940E+03
   168   -0.39070E+00    0.69477E-03   -0.13558E-01    0.16093E+07    0.97695E+03
   169   -0.27622E+00    0.51905E-03   -0.11747E-01    0.15988E+07    0.96472E+03
   170   -0.11612E+00    0.40467E-03   -0.10605E-01    0.15884E+07    0.95269E+03
   171   -0.51079E-01    0.33435E-03   -0.80286E-02    0.15781E+07    0.94087E+03
   172    0.10881E-02    0.21656E-03   -0.56291E-02    0.15679E+07    0.92925E+03
   173   -0.26009E-01    0.34034E-04   -0.35315E-02    0.15578E+07    0.91783E+03
   174    0.24091E-01    0.66645E-04   -0.18610E-02    0.15478E+07    0.90659E+03
   175    0.85000E-01    0.00000E+00   -0.47531E-10    0.15379E+07    0.89553E+03
   176    0.16169E-01    0.36738E-04    0.19737E-02    0.15281E+07    0.88464E+03
   177   -0.25324E-01    0.70562E-04    0.26861E-02    0.15184E+07    0.87393E+03
   178   -0.10513E+00    0.28936E-03    0.37823E-02    0.15088E+07    0.86339E+03
   179   -0.21461E+00    0.36102E-03    0.54213E-02    0.14992E+07    0.85302E+03
   180   -0.19656E+00    0.47345E-03    0.62767E-02    0.14898E+07    0.84281E+03
   181   -0.26520E+00    0.59167E-03    0.65077E-02    0.14805E+07    0.83275E+03
   182   -0.33761E+00    0.75500E-03    0.77592E-02    0.14712E+07    0.82286E+03
   183   -0.47944E+00    0.85420E-03    0.87047E-02    0.14620E+07    0.81312E+03
   184   -0.53349E+00    0.92858E-03    0.10246E-01    0.14529E+07    0.80353E+03
   185   -0.56540E+00    0.10917E-02    0.10315E-01    0.14439E+07    0.79409E+03
   186   -0.93797E+00    0.11676E-02    0.12040E-01    0.14350E+07    0.78480E+03
   187   -0.97399E+00    0.12623E-02    0.14096E-01    0.14261E+07    0.77564E+03
   188   -0.10363E+01    0.13260E-02    0.15157E-01    0.14174E+07    0.76663E+03
   189   -0.11904E+01    0.13610E-02    0.16867E-01    0.14087E+07    0.75775E+03
   190   -0.98216E+00    0.13842E-02    0.17157E-01    0.14001E+07    0.74901E+03
