#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    17    0.25850E+02    0.69578E-06    0.92909E-04    0.92946E-02    0.28051E-01    0.69578E-06    0.62177E-13    0.24735E-11    0.90823E-09    0.14354E-08    0.92909E-04    0.24735E-11    0.34773E-09    0.36539E-07    0.10899E-06    0.92946E-02    0.90823E-09    0.36539E-07    0.10107E-03    0.13307E-03    0.28051E-01    0.14354E-08    0.10899E-06    0.13307E-03    0.18930E-03
    18    0.23081E+02   -0.52563E-03    0.84285E-04    0.96746E-02    0.28585E-01   -0.52563E-03    0.11488E-04    0.16135E-11    0.57360E-09    0.88499E-09    0.84285E-04    0.16135E-11    0.31398E-09    0.37975E-07    0.11067E-06    0.96746E-02    0.57360E-09    0.37975E-07    0.11231E-03    0.14849E-03    0.28585E-01    0.88499E-09    0.11067E-06    0.14849E-03    0.21163E-03
    19    0.21466E+02    0.29129E-06    0.76747E-04    0.10034E-01    0.29070E-01    0.29129E-06    0.28328E-13    0.10605E-11    0.31464E-09    0.50101E-09    0.76747E-04    0.10605E-11    0.28470E-09    0.39332E-07    0.11220E-06    0.10034E-01    0.31464E-09    0.39332E-07    0.12411E-03    0.16475E-03    0.29070E-01    0.50101E-09    0.11220E-06    0.16475E-03    0.23522E-03
    20    0.19693E+02   -0.10653E-04    0.70112E-04    0.10372E-01    0.29506E-01   -0.10653E-04    0.10034E-04    0.94348E-12    0.29521E-09    0.51265E-09    0.70112E-04    0.94348E-12    0.25911E-09    0.40612E-07    0.11356E-06    0.10372E-01    0.29521E-09    0.40612E-07    0.13649E-03    0.18185E-03    0.29506E-01    0.51265E-09    0.11356E-06    0.18185E-03    0.26006E-03
    21    0.18046E+02    0.32261E-06    0.64247E-04    0.10693E-01    0.29901E-01    0.32261E-06    0.24056E-13    0.11650E-11    0.54445E-09    0.94109E-09    0.64247E-04    0.11650E-11    0.23663E-09    0.41821E-07    0.11480E-06    0.10693E-01    0.54445E-09    0.41821E-07    0.14944E-03    0.19980E-03    0.29901E-01    0.94109E-09    0.11480E-06    0.19980E-03    0.28616E-03
    22    0.16658E+02   -0.42678E-04    0.59038E-04    0.10996E-01    0.30258E-01   -0.42678E-04   -0.67106E-05    0.15678E-11    0.10288E-08    0.17156E-08    0.59038E-04    0.15678E-11    0.21679E-09    0.42967E-07    0.11592E-06    0.10996E-01    0.10288E-08    0.42967E-07    0.16296E-03    0.21859E-03    0.30258E-01    0.17156E-08    0.11592E-06    0.21859E-03    0.31353E-03
    23    0.15331E+02    0.55161E-06    0.54395E-04    0.11282E-01    0.30580E-01    0.55161E-06    0.65445E-13    0.19829E-11    0.15985E-08    0.26057E-08    0.54395E-04    0.19829E-11    0.19920E-09    0.44050E-07    0.11693E-06    0.11282E-01    0.15985E-08    0.44050E-07    0.17704E-03    0.23821E-03    0.30580E-01    0.26057E-08    0.11693E-06    0.23821E-03    0.34214E-03
    24    0.14156E+02    0.19328E-03    0.50236E-04    0.11553E-01    0.30868E-01    0.19328E-03   -0.45945E-05    0.22615E-11    0.20915E-08    0.33665E-08    0.50236E-04    0.22615E-11    0.18351E-09    0.45072E-07    0.11783E-06    0.11553E-01    0.20915E-08    0.45072E-07    0.19169E-03    0.25868E-03    0.30868E-01    0.33665E-08    0.11783E-06    0.25868E-03    0.37200E-03
    25    0.13141E+02    0.65382E-06    0.46497E-04    0.11808E-01    0.31124E-01    0.65382E-06    0.10459E-12    0.23473E-11    0.24115E-08    0.38540E-08    0.46497E-04    0.23473E-11    0.16948E-09    0.46037E-07    0.11863E-06    0.11808E-01    0.24115E-08    0.46037E-07    0.20691E-03    0.27997E-03    0.31124E-01    0.38540E-08    0.11863E-06    0.27997E-03    0.40309E-03
    26    0.12148E+02    0.17382E-03    0.43126E-04    0.12050E-01    0.31353E-01    0.17382E-03    0.45677E-05    0.22232E-11    0.24947E-08    0.39737E-08    0.43126E-04    0.22232E-11    0.15688E-09    0.46950E-07    0.11935E-06    0.12050E-01    0.24947E-08    0.46950E-07    0.22267E-03    0.30208E-03    0.31353E-01    0.39737E-08    0.11935E-06    0.30208E-03    0.43540E-03
