#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    16    0.95595E+03    0.10653E+01    0.11368E-03    0.25267E-02    0.20778E-02    0.10653E+01    0.25107E-02   -0.25242E-07   -0.18714E-08    0.83575E-09    0.11368E-03   -0.25242E-07    0.46697E-09    0.15146E-07    0.11956E-07    0.25267E-02   -0.18714E-08    0.15146E-07    0.24488E-04    0.14288E-04    0.20778E-02    0.83575E-09    0.11956E-07    0.14288E-04    0.13410E-04
    17    0.96936E+03    0.11618E+01    0.10359E-03    0.26330E-02    0.21629E-02    0.11618E+01    0.31573E-02   -0.25248E-07   -0.53406E-08    0.26312E-09    0.10359E-03   -0.25248E-07    0.42194E-09    0.15806E-07    0.12465E-07    0.26330E-02   -0.53406E-08    0.15806E-07    0.27963E-04    0.16367E-04    0.21629E-02    0.26312E-09    0.12465E-07    0.16367E-04    0.15321E-04
    18    0.98350E+03    0.12579E+01    0.94806E-04    0.27365E-02    0.22438E-02    0.12579E+01    0.38966E-02   -0.25191E-07   -0.50737E-08    0.36761E-09    0.94806E-04   -0.25191E-07    0.38301E-09    0.16448E-07    0.12961E-07    0.27365E-02   -0.50737E-08    0.16448E-07    0.31713E-04    0.18618E-04    0.22438E-02    0.36761E-09    0.12961E-07    0.18618E-04    0.17384E-04
    19    0.99914E+03    0.13535E+01    0.87114E-04    0.28355E-02    0.23216E-02    0.13535E+01    0.47242E-02   -0.25074E-07   -0.33105E-08   -0.40194E-09    0.87114E-04   -0.25074E-07    0.34914E-09    0.17070E-07    0.13442E-07    0.28355E-02   -0.33105E-08    0.17070E-07    0.35743E-04    0.21044E-04    0.23216E-02   -0.40194E-09    0.13442E-07    0.21044E-04    0.19603E-04
    20    0.10146E+04    0.14460E+01    0.80302E-04    0.29292E-02    0.23975E-02    0.14460E+01    0.56925E-02   -0.24916E-07   -0.29004E-08   -0.32761E-08    0.80302E-04   -0.24916E-07    0.31943E-09    0.17673E-07    0.13907E-07    0.29292E-02   -0.29004E-08    0.17673E-07    0.40059E-04    0.23650E-04    0.23975E-02   -0.32761E-08    0.13907E-07    0.23650E-04    0.21980E-04
    21    0.10302E+04    0.15352E+01    0.74243E-04    0.30201E-02    0.24725E-02    0.15352E+01    0.67694E-02   -0.24734E-07   -0.45895E-08   -0.66598E-08    0.74243E-04   -0.24734E-07    0.29325E-09    0.18256E-07    0.14357E-07    0.30201E-02   -0.45895E-08    0.18256E-07    0.44666E-04    0.26438E-04    0.24725E-02   -0.66598E-08    0.14357E-07    0.26438E-04    0.24518E-04
    22    0.10464E+04    0.16207E+01    0.68834E-04    0.31110E-02    0.25471E-02    0.16207E+01    0.79885E-02   -0.24542E-07   -0.80021E-08   -0.85024E-08    0.68834E-04   -0.24542E-07    0.27007E-09    0.18823E-07    0.14794E-07    0.31110E-02   -0.80021E-08    0.18823E-07    0.49568E-04    0.29412E-04    0.25471E-02   -0.85024E-08    0.14794E-07    0.29412E-04    0.27221E-04
    23    0.10630E+04    0.17023E+01    0.63981E-04    0.32015E-02    0.26199E-02    0.17023E+01    0.93697E-02   -0.24346E-07   -0.10377E-07   -0.77557E-08    0.63981E-04   -0.24346E-07    0.24944E-09    0.19371E-07    0.15217E-07    0.32015E-02   -0.10377E-07    0.19371E-07    0.54771E-04    0.32575E-04    0.26199E-02   -0.77557E-08    0.15217E-07    0.32575E-04    0.30089E-04
    24    0.10799E+04    0.17798E+01    0.59601E-04    0.32905E-02    0.26896E-02    0.17798E+01    0.10898E-01   -0.24146E-07   -0.90294E-08   -0.41903E-08    0.59601E-04   -0.24146E-07    0.23099E-09    0.19902E-07    0.15625E-07    0.32905E-02   -0.90294E-08    0.19902E-07    0.60277E-04    0.35929E-04    0.26896E-02   -0.41903E-08    0.15625E-07    0.35929E-04    0.33125E-04
    25    0.10973E+04    0.18521E+01    0.55638E-04    0.33760E-02    0.27563E-02    0.18521E+01    0.12603E-01   -0.23939E-07   -0.39581E-08    0.15011E-09    0.55638E-04   -0.23939E-07    0.21443E-09    0.20415E-07    0.16020E-07    0.33760E-02   -0.39581E-08    0.20415E-07    0.66089E-04    0.39476E-04    0.27563E-02    0.15011E-09    0.16020E-07    0.39476E-04    0.36331E-04
