#    L    TT             EE             TE             PP             TP          
     2    0.29459E+03    0.64542E-10   -0.96951E-05    0.86584E+06    0.29685E+05
     3    0.20855E+03    0.20072E-10    0.69371E-05    0.13348E+07    0.33464E+05
     4    0.15786E+03    0.54525E-11    0.55492E-05    0.17484E+07    0.34852E+05
     5    0.12480E+03    0.18520E-11    0.28223E-05    0.21113E+07    0.35079E+05
     6    0.10167E+03    0.77089E-12    0.26480E-05    0.24290E+07    0.34688E+05
     7    0.84678E+02    0.52046E-12    0.36421E-05    0.27078E+07    0.33959E+05
     8    0.71746E+02    0.54454E-12    0.39025E-05    0.29528E+07    0.33049E+05
     9    0.61630E+02    0.44412E-12    0.30349E-05    0.31689E+07    0.32048E+05
    10    0.53532E+02    0.22836E-12    0.18071E-05    0.33595E+07    0.31004E+05
    11    0.46943E+02    0.85647E-13    0.98576E-06    0.35285E+07    0.29956E+05
    12    0.41637E+02    0.10382E-03   -0.23719E-03    0.36776E+07    0.28915E+05
    13    0.36912E+02    0.97679E-13    0.89687E-06    0.38091E+07    0.27893E+05
    14    0.32996E+02   -0.27194E-04    0.79572E-04    0.39254E+07    0.26902E+05
    15    0.29723E+02    0.11268E-12    0.10695E-05    0.40280E+07    0.25943E+05
    16    0.26834E+02   -0.22586E-04    0.32404E-03    0.41183E+07    0.25020E+05
    17    0.24382E+02    0.57772E-13    0.65038E-06    0.41975E+07    0.24133E+05
    18    0.21776E+02    0.11488E-04   -0.52566E-03    0.42670E+07    0.23282E+05
    19    0.20300E+02    0.26400E-13    0.27347E-06    0.43273E+07    0.22466E+05
    20    0.18649E+02    0.10034E-04   -0.10668E-04    0.43790E+07    0.21683E+05
    21    0.17107E+02    0.22461E-13    0.30283E-06    0.44232E+07    0.20932E+05
    22    0.15811E+02   -0.67106E-05   -0.42705E-04    0.44608E+07    0.20214E+05
    23    0.14565E+02    0.61277E-13    0.51800E-06    0.44922E+07    0.19527E+05
    24    0.13461E+02   -0.45945E-05    0.19324E-03    0.45179E+07    0.18869E+05
    25    0.12509E+02    0.98158E-13    0.61513E-06    0.45383E+07    0.18238E+05
    26    0.11572E+02    0.45677E-05    0.17378E-03    0.45540E+07    0.17634E+05
    27    0.10826E+02    0.81852E-13    0.51256E-06    0.45655E+07    0.17056E+05
    28    0.10070E+02    0.62322E-06   -0.24432E-03    0.45731E+07    0.16502E+05
    29    0.94313E+01    0.43627E-13    0.31022E-06    0.45768E+07    0.15970E+05
    30    0.88925E+01   -0.21393E-05    0.16696E-04    0.45769E+07    0.15459E+05
    31    0.82635E+01    0.24289E-13    0.13329E-06    0.45738E+07    0.14969E+05
    32    0.77187E+01    0.18985E-05    0.16031E-03    0.45679E+07    0.14499E+05
    33    0.72787E+01    0.19701E-13    0.48614E-07    0.45595E+07    0.14047E+05
    34    0.68261E+01    0.58091E-06   -0.27666E-03    0.45487E+07    0.13614E+05
    35    0.64418E+01    0.15998E-13    0.56684E-07    0.45357E+07    0.13197E+05
    36    0.61256E+01   -0.13653E-06    0.46382E-03    0.45207E+07    0.12797E+05
    37    0.57258E+01    0.14644E-13    0.11694E-06    0.45039E+07    0.12413E+05
    38    0.53815E+01    0.41830E-05   -0.55392E-03    0.44854E+07    0.12043E+05
    39    0.51340E+01    0.55145E-05   -0.64612E-03    0.44654E+07    0.11687E+05
    40    0.48333E+01    0.25315E-13    0.20703E-06    0.44439E+07    0.11345E+05
    41    0.46833E+01   -0.10177E-04    0.12921E-02    0.44210E+07    0.11015E+05
    42    0.44461E+01   -0.18179E-04    0.24752E-02    0.43969E+07    0.10697E+05
    43    0.42382E+01   -0.16190E-04    0.26483E-02    0.43717E+07    0.10391E+05
    44    0.38784E+01   -0.11250E-04    0.18018E-02    0.43455E+07    0.10096E+05
