#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2    0.32881E+03   -0.12062E-04    0.14418E-02   -0.20677E-03    0.93066E-02   -0.12062E-04    0.76704E-10   -0.40674E-10   -0.10117E-08    0.44443E-09    0.14418E-02   -0.40674E-10    0.76189E-08   -0.10381E-08    0.47152E-07   -0.20677E-03   -0.10117E-08   -0.10381E-08    0.24478E-05    0.27076E-05    0.93066E-02    0.44443E-09    0.47152E-07    0.27076E-05    0.37634E-05
     3    0.23052E+03    0.77209E-05    0.95495E-03    0.67093E-03    0.11574E-01    0.77209E-05    0.23591E-10    0.28529E-10   -0.68741E-10    0.58156E-09    0.95495E-03    0.28529E-10    0.46123E-08    0.30437E-08    0.54915E-07    0.67093E-03   -0.68741E-10    0.30437E-08    0.47453E-05    0.54361E-05    0.11574E-01    0.58156E-09    0.54915E-07    0.54361E-05    0.75076E-05
     4    0.17331E+03    0.63801E-05    0.69510E-03    0.15382E-02    0.13630E-01    0.63801E-05    0.63408E-11    0.23420E-10    0.44170E-09    0.78105E-09    0.69510E-03    0.23420E-10    0.31728E-08    0.66798E-08    0.61986E-07    0.15382E-02    0.44170E-09    0.66798E-08    0.77122E-05    0.90511E-05    0.13630E-01    0.78105E-09    0.61986E-07    0.90511E-05    0.12492E-04
     5    0.13628E+03    0.31648E-05    0.53484E-03    0.23841E-02    0.15510E-01    0.31648E-05    0.21526E-11    0.11821E-10    0.45966E-09    0.60461E-09    0.53484E-03    0.11821E-10    0.23462E-08    0.10070E-07    0.68404E-07    0.23841E-02    0.45966E-09    0.10070E-07    0.11327E-04    0.13542E-04    0.15510E-01    0.60461E-09    0.68404E-07    0.13542E-04    0.18715E-04
     6    0.11055E+03    0.27025E-05    0.42688E-03    0.31893E-02    0.17212E-01    0.27025E-05    0.88970E-12    0.96133E-11    0.69711E-10    0.31031E-09    0.42688E-03    0.96133E-11    0.18175E-08    0.13228E-07    0.74138E-07    0.31893E-02    0.69711E-10    0.13228E-07    0.15571E-04    0.18896E-04    0.17212E-01    0.31031E-09    0.74138E-07    0.18896E-04    0.26169E-04
     7    0.91752E+02    0.37583E-05    0.34981E-03    0.39418E-02    0.18747E-01    0.37583E-05    0.55843E-12    0.13050E-10    0.30038E-09    0.10104E-08    0.34981E-03    0.13050E-10    0.14548E-08    0.16148E-07    0.79247E-07    0.39418E-02    0.30038E-09    0.16148E-07    0.20429E-04    0.25100E-04    0.18747E-01    0.10104E-08    0.79247E-07    0.25100E-04    0.34848E-04
     8    0.77502E+02    0.42411E-05    0.29243E-03    0.46430E-02    0.20134E-01    0.42411E-05    0.58759E-12    0.14993E-10    0.11500E-08    0.21667E-08    0.29243E-03    0.14993E-10    0.11933E-08    0.18849E-07    0.83817E-07    0.46430E-02    0.11500E-08    0.18849E-07    0.25884E-04    0.32142E-04    0.20134E-01    0.21667E-08    0.83817E-07    0.32142E-04    0.44747E-04
     9    0.66397E+02    0.34951E-05    0.24836E-03    0.52996E-02    0.21395E-01    0.34951E-05    0.51933E-12    0.12664E-10    0.15540E-08    0.24165E-08    0.24836E-03    0.12664E-10    0.99753E-09    0.21367E-07    0.87937E-07    0.52996E-02    0.15540E-08    0.21367E-07    0.31931E-04    0.40023E-04    0.21395E-01    0.24165E-08    0.87937E-07    0.40023E-04    0.55875E-04
    10    0.57537E+02    0.22008E-05    0.21364E-03    0.59129E-02    0.22537E-01    0.22008E-05    0.29401E-12    0.81089E-11    0.10802E-08    0.15630E-08    0.21364E-03    0.81089E-11    0.84666E-09    0.23711E-07    0.91640E-07    0.59129E-02    0.10802E-08    0.23711E-07    0.38560E-04    0.48735E-04    0.22537E-01    0.15630E-08    0.91640E-07    0.48735E-04    0.68226E-04
    11    0.50348E+02    0.12108E-05    0.18576E-03    0.64896E-02    0.23581E-01    0.12108E-05    0.11085E-12    0.44044E-11    0.29017E-09    0.52683E-09    0.18576E-03    0.44044E-11    0.72779E-09    0.25908E-07    0.95003E-07    0.64896E-02    0.29017E-09    0.25908E-07    0.45772E-04    0.58283E-04    0.23581E-01    0.52683E-09    0.95003E-07    0.58283E-04    0.81815E-04
    12    0.44562E+02   -0.23711E-03    0.16292E-03    0.70306E-02    0.24528E-01   -0.23711E-03    0.10382E-03    0.29472E-11   -0.83140E-10    0.19477E-09    0.16292E-03    0.29472E-11    0.63202E-09    0.27965E-07    0.98034E-07    0.70306E-02   -0.83140E-10    0.27965E-07    0.53561E-04    0.68664E-04    0.24528E-01    0.19477E-09    0.98034E-07    0.68664E-04    0.96639E-04
    13    0.39447E+02    0.91443E-06    0.14402E-03    0.75384E-02    0.25387E-01    0.91443E-06    0.88423E-13    0.30416E-11    0.43625E-10    0.53848E-09    0.14402E-03    0.30416E-11    0.55390E-09    0.29892E-07    0.10077E-06    0.75384E-02    0.43625E-10    0.29892E-07    0.61924E-04    0.79879E-04    0.25387E-01    0.53848E-09    0.10077E-06    0.79879E-04    0.11270E-03
    14    0.35210E+02    0.79606E-04    0.12814E-03    0.80168E-02    0.26171E-01    0.79606E-04   -0.27194E-04    0.36337E-11    0.52652E-09    0.12544E-08    0.12814E-03    0.36337E-11    0.48909E-09    0.31705E-07    0.10326E-06    0.80168E-02    0.52652E-09    0.31705E-07    0.70863E-04    0.91931E-04    0.26171E-01    0.12544E-08    0.10326E-06    0.91931E-04    0.13002E-03
    15    0.31670E+02    0.11585E-05    0.11468E-03    0.84678E-02    0.26885E-01    0.11585E-05    0.12447E-12    0.39890E-11    0.99869E-09    0.18488E-08    0.11468E-03    0.39890E-11    0.43481E-09    0.33412E-07    0.10552E-06    0.84678E-02    0.99869E-09    0.33412E-07    0.80377E-04    0.10482E-03    0.26885E-01    0.18488E-08    0.10552E-06    0.10482E-03    0.14858E-03
    16    0.28556E+02    0.32417E-03    0.10315E-03    0.88932E-02    0.27535E-01    0.32417E-03   -0.22586E-04    0.36332E-11    0.11295E-08    0.19092E-08    0.10315E-03    0.36332E-11    0.38880E-09    0.35021E-07    0.10757E-06    0.88932E-02    0.11295E-08    0.35021E-07    0.90465E-04    0.11856E-03    0.27535E-01    0.19092E-08    0.10757E-06    0.11856E-03    0.16841E-03
    17    0.25913E+02    0.79154E-06    0.93221E-04    0.92950E-02    0.28127E-01    0.79154E-06    0.74259E-13    0.28138E-11    0.95642E-09    0.15370E-08    0.93221E-04    0.28138E-11    0.34952E-09    0.36541E-07    0.10944E-06    0.92950E-02    0.95642E-09    0.36541E-07    0.10113E-03    0.13314E-03    0.28127E-01    0.15370E-08    0.10944E-06    0.13314E-03    0.18950E-03
    18    0.23145E+02   -0.52554E-03    0.84590E-04    0.96751E-02    0.28668E-01   -0.52554E-03    0.11488E-04    0.19286E-11    0.62224E-09    0.97506E-09    0.84590E-04    0.19286E-11    0.31566E-09    0.37978E-07    0.11115E-06    0.96751E-02    0.62224E-09    0.37978E-07    0.11237E-03    0.14857E-03    0.28668E-01    0.97506E-09    0.11115E-06    0.14857E-03    0.21186E-03
    19    0.21529E+02    0.34388E-06    0.77045E-04    0.10034E-01    0.29158E-01    0.34388E-06    0.36040E-13    0.12548E-11    0.32427E-09    0.51595E-09    0.77045E-04    0.12548E-11    0.28630E-09    0.39335E-07    0.11269E-06    0.10034E-01    0.32427E-09    0.39335E-07    0.12419E-03    0.16484E-03    0.29158E-01    0.51595E-09    0.11269E-06    0.16484E-03    0.23549E-03
    20    0.19757E+02   -0.10645E-04    0.70402E-04    0.10373E-01    0.29601E-01   -0.10645E-04    0.10034E-04    0.98184E-12    0.24292E-09    0.41771E-09    0.70402E-04    0.98184E-12    0.26063E-09    0.40615E-07    0.11408E-06    0.10373E-01    0.24292E-09    0.40615E-07    0.13658E-03    0.18196E-03    0.29601E-01    0.41771E-09    0.11408E-06    0.18196E-03    0.26037E-03
    21    0.18109E+02    0.29141E-06    0.64530E-04    0.10693E-01    0.30002E-01    0.29141E-06    0.23796E-13    0.10666E-11    0.43684E-09    0.74925E-09    0.64530E-04    0.10666E-11    0.23808E-09    0.41826E-07    0.11533E-06    0.10693E-01    0.43684E-09    0.41826E-07    0.14954E-03    0.19992E-03    0.30002E-01    0.74925E-09    0.11533E-06    0.19992E-03    0.28652E-03
    22    0.16720E+02   -0.42730E-04    0.59315E-04    0.10997E-01    0.30365E-01   -0.42730E-04   -0.67106E-05    0.13956E-11    0.90073E-09    0.14850E-08    0.59315E-04    0.13956E-11    0.21817E-09    0.42972E-07    0.11647E-06    0.10997E-01    0.90073E-09    0.42972E-07    0.16308E-03    0.21873E-03    0.30365E-01    0.14850E-08    0.11647E-06    0.21873E-03    0.31393E-03
    23    0.15393E+02    0.49747E-06    0.54666E-04    0.11284E-01    0.30693E-01    0.49747E-06    0.56806E-13    0.18063E-11    0.14954E-08    0.24105E-08    0.54666E-04    0.18063E-11    0.20051E-09    0.44056E-07    0.11750E-06    0.11284E-01    0.14954E-08    0.44056E-07    0.17718E-03    0.23839E-03    0.30693E-01    0.24105E-08    0.11750E-06    0.23839E-03    0.34260E-03
    24    0.14218E+02    0.19324E-03    0.50500E-04    0.11555E-01    0.30987E-01    0.19324E-03   -0.45945E-05    0.21420E-11    0.20595E-08    0.32814E-08    0.50500E-04    0.21420E-11    0.18477E-09    0.45080E-07    0.11842E-06    0.11555E-01    0.20595E-08    0.45080E-07    0.19185E-03    0.25888E-03    0.30987E-01    0.32814E-08    0.11842E-06    0.25888E-03    0.37252E-03
    25    0.13202E+02    0.64103E-06    0.46755E-04    0.11811E-01    0.31250E-01    0.64103E-06    0.10424E-12    0.23206E-11    0.24770E-08    0.39234E-08    0.46755E-04    0.23206E-11    0.17069E-09    0.46049E-07    0.11925E-06    0.11811E-01    0.24770E-08    0.46049E-07    0.20709E-03    0.28020E-03    0.31250E-01    0.39234E-08    0.11925E-06    0.28020E-03    0.40368E-03
    26    0.12208E+02    0.17383E-03    0.43378E-04    0.12053E-01    0.31485E-01    0.17383E-03    0.45677E-05    0.22966E-11    0.26607E-08    0.42059E-08    0.43378E-04    0.22966E-11    0.15804E-09    0.46965E-07    0.11998E-06    0.12053E-01    0.26607E-08    0.46965E-07    0.22289E-03    0.30235E-03    0.31485E-01    0.42059E-08    0.11998E-06    0.30235E-03    0.43607E-03
    27    0.11411E+02    0.58278E-06    0.40324E-04    0.12282E-01    0.31694E-01    0.58278E-06    0.99598E-13    0.20972E-11    0.25939E-08    0.41051E-08    0.40324E-04    0.20972E-11    0.14664E-09    0.47831E-07    0.12063E-06    0.12282E-01    0.25939E-08    0.47831E-07    0.23924E-03    0.32532E-03    0.31694E-01    0.41051E-08    0.12063E-06    0.32532E-03    0.46968E-03
    28    0.10610E+02   -0.24424E-03    0.37553E-04    0.12498E-01    0.31878E-01   -0.24424E-03    0.62322E-06    0.17714E-11    0.22905E-08    0.36431E-08    0.37553E-04    0.17714E-11    0.13634E-09    0.48647E-07    0.12120E-06    0.12498E-01    0.22905E-08    0.48647E-07    0.25613E-03    0.34911E-03    0.31878E-01    0.36431E-08    0.12120E-06    0.34911E-03    0.50450E-03
    29    0.99310E+01    0.39006E-06    0.35031E-04    0.12701E-01    0.32038E-01    0.39006E-06    0.58163E-13    0.13831E-11    0.18163E-08    0.29209E-08    0.35031E-04    0.13831E-11    0.12700E-09    0.49414E-07    0.12169E-06    0.12701E-01    0.18163E-08    0.49414E-07    0.27357E-03    0.37369E-03    0.32038E-01    0.29209E-08    0.12169E-06    0.37369E-03    0.54050E-03
    30    0.93554E+01    0.16768E-04    0.32729E-04    0.12890E-01    0.32173E-01    0.16768E-04   -0.21393E-05    0.99494E-12    0.12552E-08    0.20659E-08    0.32729E-04    0.99494E-12    0.11849E-09    0.50132E-07    0.12210E-06    0.12890E-01    0.12552E-08    0.50132E-07    0.29153E-03    0.39904E-03    0.32173E-01    0.20659E-08    0.12210E-06    0.39904E-03    0.57766E-03
    31    0.86930E+01    0.19103E-06    0.30623E-04    0.13068E-01    0.32287E-01    0.19103E-06    0.30041E-13    0.65196E-12    0.71160E-09    0.12333E-08    0.30623E-04    0.65196E-12    0.11073E-09    0.50805E-07    0.12245E-06    0.13068E-01    0.71160E-09    0.50805E-07    0.31001E-03    0.42517E-03    0.32287E-01    0.12333E-08    0.12245E-06    0.42517E-03    0.61595E-03
    32    0.81181E+01    0.16035E-03    0.28693E-04    0.13234E-01    0.32382E-01    0.16035E-03    0.18985E-05    0.38899E-12    0.28271E-09    0.56756E-09    0.28693E-04    0.38899E-12    0.10364E-09    0.51434E-07    0.12273E-06    0.13234E-01    0.28271E-09    0.51434E-07    0.32901E-03    0.45205E-03    0.32382E-01    0.56756E-09    0.12273E-06    0.45205E-03    0.65537E-03
    33    0.76506E+01    0.70825E-07    0.26922E-04    0.13390E-01    0.32458E-01    0.70825E-07    0.21910E-13    0.21855E-12    0.16682E-10    0.14273E-09    0.26922E-04    0.21855E-12    0.97153E-10    0.52022E-07    0.12294E-06    0.13390E-01    0.16682E-10    0.52022E-07    0.34850E-03    0.47968E-03    0.32458E-01    0.14273E-09    0.12294E-06    0.47968E-03    0.69590E-03
    34    0.71730E+01   -0.27665E-03    0.25293E-04    0.13534E-01    0.32517E-01   -0.27665E-03    0.58091E-06    0.14358E-12   -0.59389E-10    0.20649E-11    0.25293E-04    0.14358E-12    0.91194E-10    0.52570E-07    0.12311E-06    0.13534E-01   -0.59389E-10    0.52570E-07    0.36850E-03    0.50805E-03    0.32517E-01    0.20649E-11    0.12311E-06    0.50805E-03    0.73750E-03
    35    0.67659E+01    0.48755E-07    0.23791E-04    0.13669E-01    0.32560E-01    0.48755E-07    0.17586E-13    0.15110E-12    0.46441E-10    0.13659E-09    0.23791E-04    0.15110E-12    0.85713E-10    0.53080E-07    0.12321E-06    0.13669E-01    0.46441E-10    0.53080E-07    0.38897E-03    0.53713E-03    0.32560E-01    0.13659E-09    0.12321E-06    0.53713E-03    0.78017E-03
    36    0.64288E+01    0.46381E-03    0.22404E-04    0.13794E-01    0.32587E-01    0.46381E-03   -0.13653E-06    0.22289E-12    0.31572E-09    0.52100E-09    0.22404E-04    0.22289E-12    0.80661E-10    0.53553E-07    0.12327E-06    0.13794E-01    0.31572E-09    0.53553E-07    0.40992E-03    0.56691E-03    0.32587E-01    0.52100E-09    0.12327E-06    0.56691E-03    0.82388E-03
    37    0.60099E+01    0.95425E-07    0.21122E-04    0.13909E-01    0.32601E-01    0.95425E-07    0.14287E-13    0.33572E-12    0.72359E-09    0.11170E-08    0.21122E-04    0.33572E-12    0.75997E-10    0.53991E-07    0.12329E-06    0.13909E-01    0.72359E-09    0.53991E-07    0.43134E-03    0.59738E-03    0.32601E-01    0.11170E-08    0.12329E-06    0.59738E-03    0.86861E-03
