#    L    TT             EE             TE             PP             TP          
     2    0.32878E+03    0.75359E-10   -0.11869E-04    0.94634E+06    0.32910E+05
     3    0.23049E+03    0.23186E-10    0.75838E-05    0.14496E+07    0.36775E+05
     4    0.17326E+03    0.62212E-11    0.61222E-05    0.18903E+07    0.38063E+05
     5    0.13624E+03    0.20829E-11    0.31073E-05    0.22745E+07    0.38126E+05
     6    0.11050E+03    0.85881E-12    0.29365E-05    0.26090E+07    0.37552E+05
     7    0.91694E+02    0.57967E-12    0.40211E-05    0.29010E+07    0.36640E+05
     8    0.77439E+02    0.60036E-12    0.42626E-05    0.31562E+07    0.35553E+05
     9    0.66331E+02    0.48123E-12    0.32725E-05    0.33802E+07    0.34387E+05
    10    0.57468E+02    0.24324E-12    0.19216E-05    0.35768E+07    0.33189E+05
    11    0.50278E+02    0.92079E-13    0.10418E-05    0.37503E+07    0.31999E+05
    12    0.44489E+02    0.10382E-03   -0.23714E-03    0.39025E+07    0.30828E+05
    13    0.39373E+02    0.10951E-12    0.97291E-06    0.40360E+07    0.29685E+05
    14    0.35135E+02   -0.27194E-04    0.79655E-04    0.41534E+07    0.28581E+05
    15    0.31594E+02    0.12079E-12    0.11427E-05    0.42563E+07    0.27520E+05
    16    0.28479E+02   -0.22586E-04    0.32409E-03    0.43463E+07    0.26501E+05
    17    0.25836E+02    0.59865E-13    0.67649E-06    0.44246E+07    0.25526E+05
    18    0.23068E+02    0.11488E-04   -0.52565E-03    0.44927E+07    0.24594E+05
    19    0.21452E+02    0.26997E-13    0.28296E-06    0.45513E+07    0.23702E+05
    20    0.19680E+02    0.10034E-04   -0.10652E-04    0.46009E+07    0.22849E+05
    21    0.18032E+02    0.24408E-13    0.33009E-06    0.46428E+07    0.22032E+05
    22    0.16644E+02   -0.67106E-05   -0.42667E-04    0.46777E+07    0.21253E+05
    23    0.15318E+02    0.67011E-13    0.56124E-06    0.47062E+07    0.20509E+05
    24    0.14143E+02   -0.45945E-05    0.19329E-03    0.47288E+07    0.19798E+05
    25    0.13128E+02    0.10400E-12    0.65401E-06    0.47461E+07    0.19117E+05
    26    0.12134E+02    0.45677E-05    0.17381E-03    0.47585E+07    0.18467E+05
    27    0.11339E+02    0.84152E-13    0.53405E-06    0.47666E+07    0.17845E+05
    28    0.10538E+02    0.62322E-06   -0.24431E-03    0.47707E+07    0.17250E+05
    29    0.98599E+01    0.43993E-13    0.31557E-06    0.47709E+07    0.16680E+05
    30    0.92853E+01   -0.21393E-05    0.16697E-04    0.47673E+07    0.16132E+05
    31    0.86240E+01    0.24867E-13    0.13144E-06    0.47606E+07    0.15608E+05
    32    0.80501E+01    0.18985E-05    0.16031E-03    0.47510E+07    0.15105E+05
    33    0.75836E+01    0.20439E-13    0.48502E-07    0.47389E+07    0.14624E+05
    34    0.71071E+01    0.58091E-06   -0.27666E-03    0.47244E+07    0.14162E+05
    35    0.67011E+01    0.16619E-13    0.62706E-07    0.47078E+07    0.13718E+05
    36    0.63651E+01   -0.13653E-06    0.46383E-03    0.46891E+07    0.13293E+05
    37    0.59473E+01    0.15681E-13    0.12857E-06    0.46686E+07    0.12884E+05
    38    0.55865E+01    0.41830E-05   -0.55391E-03    0.46464E+07    0.12492E+05
    39    0.53239E+01    0.55145E-05   -0.64610E-03    0.46227E+07    0.12114E+05
    40    0.50095E+01    0.27319E-13    0.22120E-06    0.45976E+07    0.11752E+05
    41    0.48468E+01   -0.10177E-04    0.12921E-02    0.45712E+07    0.11402E+05
    42    0.45980E+01   -0.18179E-04    0.24752E-02    0.45436E+07    0.11066E+05
    43    0.43793E+01   -0.16190E-04    0.26483E-02    0.45149E+07    0.10743E+05
    44    0.40097E+01   -0.11250E-04    0.18018E-02    0.44852E+07    0.10432E+05
    45    0.38282E+01    0.31421E-13    0.21210E-06    0.44547E+07    0.10132E+05
    46    0.37357E+01    0.21386E-04   -0.44409E-02    0.44234E+07    0.98426E+04
