#    L    TT             EE             TE             PP             TP          
     2    0.34740E+03    0.81856E-10   -0.13169E-04    0.99029E+06    0.34662E+05
     3    0.24234E+03    0.25049E-10    0.79682E-05    0.15121E+07    0.38564E+05
     4    0.18155E+03    0.66826E-11    0.64994E-05    0.19676E+07    0.39792E+05
     5    0.14237E+03    0.22290E-11    0.32717E-05    0.23634E+07    0.39764E+05
     6    0.11523E+03    0.91426E-12    0.30298E-05    0.27071E+07    0.39090E+05
     7    0.95443E+02    0.60599E-12    0.41621E-05    0.30063E+07    0.38079E+05
     8    0.80479E+02    0.62815E-12    0.44581E-05    0.32673E+07    0.36897E+05
     9    0.68839E+02    0.51145E-12    0.34614E-05    0.34958E+07    0.35642E+05
    10    0.59568E+02    0.26307E-12    0.20536E-05    0.36959E+07    0.34363E+05
    11    0.52057E+02    0.98530E-13    0.11111E-05    0.38720E+07    0.33098E+05
    12    0.46012E+02    0.10382E-03   -0.23710E-03    0.40263E+07    0.31857E+05
    13    0.40688E+02    0.11029E-12    0.99765E-06    0.41612E+07    0.30651E+05
    14    0.36279E+02   -0.27194E-04    0.79689E-04    0.42796E+07    0.29489E+05
    15    0.32596E+02    0.12650E-12    0.11884E-05    0.43830E+07    0.28374E+05
    16    0.29363E+02   -0.22586E-04    0.32414E-03    0.44732E+07    0.27306E+05
    17    0.26619E+02    0.64505E-13    0.71968E-06    0.45515E+07    0.26285E+05
    18    0.23764E+02    0.11488E-04   -0.52561E-03    0.46193E+07    0.25310E+05
    19    0.22075E+02    0.29347E-13    0.30065E-06    0.46773E+07    0.24380E+05
    20    0.20239E+02    0.10034E-04   -0.10644E-04    0.47263E+07    0.23490E+05
    21    0.18536E+02    0.24897E-13    0.33299E-06    0.47672E+07    0.22640E+05
    22    0.17099E+02   -0.67106E-05   -0.42664E-04    0.48011E+07    0.21829E+05
    23    0.15730E+02    0.67635E-13    0.56924E-06    0.48286E+07    0.21056E+05
    24    0.14518E+02   -0.45945E-05    0.19330E-03    0.48500E+07    0.20317E+05
    25    0.13470E+02    0.10797E-12    0.67408E-06    0.48660E+07    0.19611E+05
    26    0.12447E+02    0.45677E-05    0.17383E-03    0.48771E+07    0.18936E+05
    27    0.11625E+02    0.89733E-13    0.55962E-06    0.48838E+07    0.18292E+05
    28    0.10801E+02    0.62322E-06   -0.24428E-03    0.48865E+07    0.17676E+05
    29    0.10102E+02    0.47691E-13    0.33706E-06    0.48853E+07    0.17086E+05
    30    0.95082E+01   -0.21393E-05    0.16714E-04    0.48802E+07    0.16521E+05
    31    0.88298E+01    0.26537E-13    0.14358E-06    0.48720E+07    0.15978E+05
    32    0.82404E+01    0.18985E-05    0.16031E-03    0.48609E+07    0.15460E+05
    33    0.77600E+01    0.21512E-13    0.51425E-07    0.48473E+07    0.14962E+05
    34    0.72707E+01    0.58091E-06   -0.27666E-03    0.48312E+07    0.14486E+05
    35    0.68532E+01    0.17422E-13    0.60227E-07    0.48130E+07    0.14029E+05
    36    0.65066E+01   -0.13653E-06    0.46383E-03    0.47928E+07    0.13590E+05
    37    0.60791E+01    0.15875E-13    0.12539E-06    0.47707E+07    0.13169E+05
    38    0.57095E+01    0.41830E-05   -0.55391E-03    0.47471E+07    0.12765E+05
    39    0.54389E+01    0.55145E-05   -0.64610E-03    0.47219E+07    0.12377E+05
    40    0.51170E+01    0.27319E-13    0.22232E-06    0.46952E+07    0.12003E+05
    41    0.49474E+01   -0.10177E-04    0.12921E-02    0.46673E+07    0.11644E+05
    42    0.46924E+01   -0.18179E-04    0.24752E-02    0.46382E+07    0.11299E+05
