#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2    0.34740E+03   -0.13169E-04    0.15181E-02   -0.17840E-03    0.98254E-02   -0.13169E-04    0.81856E-10   -0.44565E-10   -0.10936E-08    0.46187E-09    0.15181E-02   -0.44565E-10    0.79565E-08   -0.93928E-09    0.49372E-07   -0.17840E-03   -0.10936E-08   -0.93928E-09    0.25469E-05    0.28131E-05    0.98254E-02    0.46187E-09    0.49372E-07    0.28131E-05    0.39144E-05
     3    0.24234E+03    0.79682E-05    0.10009E-02    0.74536E-03    0.12165E-01    0.79682E-05    0.25049E-10    0.29365E-10   -0.65614E-10    0.63110E-09    0.10009E-02    0.29365E-10    0.47997E-08    0.33529E-08    0.57297E-07    0.74536E-03   -0.65614E-10    0.33529E-08    0.49335E-05    0.56475E-05    0.12165E-01    0.63110E-09    0.57297E-07    0.56475E-05    0.78041E-05
     4    0.18155E+03    0.64994E-05    0.72614E-03    0.16550E-02    0.14280E-01    0.64994E-05    0.66826E-11    0.23873E-10    0.48806E-09    0.82226E-09    0.72614E-03    0.23873E-10    0.32934E-08    0.71648E-08    0.64521E-07    0.16550E-02    0.48806E-09    0.71648E-08    0.80131E-05    0.94009E-05    0.14280E-01    0.82226E-09    0.64521E-07    0.94009E-05    0.12978E-04
     5    0.14237E+03    0.32717E-05    0.55729E-03    0.25395E-02    0.16209E-01    0.32717E-05    0.22290E-11    0.12200E-10    0.44347E-09    0.58229E-09    0.55729E-03    0.12200E-10    0.24306E-08    0.10708E-07    0.71068E-07    0.25395E-02    0.44347E-09    0.10708E-07    0.11762E-04    0.14062E-04    0.16209E-01    0.58229E-09    0.71068E-07    0.14062E-04    0.19434E-04
     6    0.11523E+03    0.30298E-05    0.44385E-03    0.33792E-02    0.17949E-01    0.30298E-05    0.91426E-12    0.10710E-10    0.53850E-10    0.35796E-09    0.44385E-03    0.10710E-10    0.18797E-08    0.14000E-07    0.76906E-07    0.33792E-02    0.53850E-10    0.14000E-07    0.16162E-04    0.19614E-04    0.17949E-01    0.35796E-09    0.76906E-07    0.19614E-04    0.27160E-04
     7    0.95443E+02    0.41621E-05    0.36304E-03    0.41618E-02    0.19515E-01    0.41621E-05    0.60599E-12    0.14450E-10    0.39731E-09    0.12050E-08    0.36304E-03    0.14450E-10    0.15023E-08    0.17036E-07    0.82096E-07    0.41618E-02    0.39731E-09    0.17036E-07    0.21194E-04    0.26045E-04    0.19515E-01    0.12050E-08    0.82096E-07    0.26045E-04    0.36149E-04
     8    0.80479E+02    0.44581E-05    0.30299E-03    0.48891E-02    0.20926E-01    0.44581E-05    0.62815E-12    0.15791E-10    0.12838E-08    0.23455E-08    0.30299E-03    0.15791E-10    0.12305E-08    0.19837E-07    0.86726E-07    0.48891E-02    0.12838E-08    0.19837E-07    0.26841E-04    0.33339E-04    0.20926E-01    0.23455E-08    0.86726E-07    0.33339E-04    0.46394E-04
     9    0.68839E+02    0.34614E-05    0.25695E-03    0.55685E-02    0.22205E-01    0.34614E-05    0.51145E-12    0.12572E-10    0.15774E-08    0.24117E-08    0.25695E-03    0.12572E-10    0.10274E-08    0.22442E-07    0.90889E-07    0.55685E-02    0.15774E-08    0.22442E-07    0.33097E-04    0.41496E-04    0.22205E-01    0.24117E-08    0.90889E-07    0.41496E-04    0.57902E-04
    10    0.59568E+02    0.20536E-05    0.22073E-03    0.62016E-02    0.23361E-01    0.20536E-05    0.26307E-12    0.75679E-11    0.97798E-09    0.14117E-08    0.22073E-03    0.75679E-11    0.87104E-09    0.24861E-07    0.94622E-07    0.62016E-02    0.97798E-09    0.24861E-07    0.39950E-04    0.50508E-04    0.23361E-01    0.14117E-08    0.94622E-07    0.50508E-04    0.70666E-04
    11    0.52057E+02    0.11111E-05    0.19168E-03    0.67959E-02    0.24414E-01    0.11111E-05    0.98530E-13    0.39910E-11    0.16906E-09    0.39385E-09    0.19168E-03    0.39910E-11    0.74795E-09    0.27124E-07    0.98003E-07    0.67959E-02    0.16906E-09    0.27124E-07    0.47401E-04    0.60379E-04    0.24414E-01    0.39385E-09    0.98003E-07    0.60379E-04    0.84699E-04
    12    0.46012E+02   -0.23710E-03    0.16792E-03    0.73521E-02    0.25367E-01   -0.23710E-03    0.10382E-03    0.28978E-11   -0.12103E-09    0.19909E-09    0.16792E-03    0.28978E-11    0.64887E-09    0.29238E-07    0.10104E-06    0.73521E-02   -0.12103E-09    0.29238E-07    0.55443E-04    0.71103E-04    0.25367E-01    0.19909E-09    0.10104E-06    0.71103E-04    0.99996E-04
    13    0.40688E+02    0.99765E-06    0.14827E-03    0.78732E-02    0.26230E-01    0.99765E-06    0.11029E-12    0.32854E-11    0.10862E-09    0.68064E-09    0.14827E-03    0.32854E-11    0.56813E-09    0.31215E-07    0.10378E-06    0.78732E-02    0.10862E-09    0.31215E-07    0.64073E-04    0.82681E-04    0.26230E-01    0.68064E-09    0.10378E-06    0.82681E-04    0.11656E-03
    14    0.36279E+02    0.79689E-04    0.13178E-03    0.83631E-02    0.27014E-01    0.79689E-04   -0.27194E-04    0.38980E-11    0.63731E-09    0.14350E-08    0.13178E-03    0.38980E-11    0.50121E-09    0.33070E-07    0.10626E-06    0.83631E-02    0.63731E-09    0.33070E-07    0.73290E-04    0.95115E-04    0.27014E-01    0.14350E-08    0.10626E-06    0.95115E-04    0.13440E-03
