#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2    0.33487E+03   -0.12313E-04    0.14665E-02   -0.19775E-03    0.94746E-02   -0.12313E-04    0.77643E-10   -0.41520E-10   -0.10379E-08    0.44375E-09    0.14665E-02   -0.41520E-10    0.77210E-08   -0.10060E-08    0.47831E-07   -0.19775E-03   -0.10379E-08   -0.10060E-08    0.24798E-05    0.27417E-05    0.94746E-02    0.44375E-09    0.47831E-07    0.27417E-05    0.38120E-05
     3    0.23437E+03    0.77278E-05    0.96971E-03    0.69512E-03    0.11764E-01    0.77278E-05    0.23845E-10    0.28501E-10   -0.61934E-10    0.60607E-09    0.96971E-03    0.28501E-10    0.46677E-08    0.31448E-08    0.55627E-07    0.69512E-03   -0.61934E-10    0.31448E-08    0.48061E-05    0.55043E-05    0.11764E-01    0.60607E-09    0.55627E-07    0.55043E-05    0.76029E-05
     4    0.17599E+03    0.62748E-05    0.70500E-03    0.15763E-02    0.13838E-01    0.62748E-05    0.63870E-11    0.23059E-10    0.46998E-09    0.79398E-09    0.70500E-03    0.23059E-10    0.32077E-08    0.68387E-08    0.62730E-07    0.15763E-02    0.46998E-09    0.68387E-08    0.78093E-05    0.91641E-05    0.13838E-01    0.79398E-09    0.62730E-07    0.91641E-05    0.12647E-04
     5    0.13826E+03    0.31658E-05    0.54193E-03    0.24350E-02    0.15732E-01    0.31658E-05    0.21390E-11    0.11811E-10    0.42831E-09    0.56392E-09    0.54193E-03    0.11811E-10    0.23701E-08    0.10279E-07    0.69172E-07    0.24350E-02    0.42831E-09    0.10279E-07    0.11467E-04    0.13710E-04    0.15732E-01    0.56392E-09    0.69172E-07    0.13710E-04    0.18945E-04
     6    0.11206E+03    0.29404E-05    0.43219E-03    0.32515E-02    0.17444E-01    0.29404E-05    0.88022E-12    0.10397E-10    0.51705E-10    0.34737E-09    0.43219E-03    0.10397E-10    0.18347E-08    0.13481E-07    0.74923E-07    0.32515E-02    0.51705E-10    0.13481E-07    0.15761E-04    0.19128E-04    0.17444E-01    0.34737E-09    0.74923E-07    0.19128E-04    0.26485E-04
     7    0.92933E+02    0.40404E-05    0.35389E-03    0.40140E-02    0.18986E-01    0.40404E-05    0.58582E-12    0.14030E-10    0.38422E-09    0.11682E-08    0.35389E-03    0.14030E-10    0.14676E-08    0.16439E-07    0.80042E-07    0.40140E-02    0.38422E-09    0.16439E-07    0.20675E-04    0.25405E-04    0.18986E-01    0.11682E-08    0.80042E-07    0.25405E-04    0.35262E-04
     8    0.78446E+02    0.43281E-05    0.29564E-03    0.47238E-02    0.20378E-01    0.43281E-05    0.60851E-12    0.15332E-10    0.12435E-08    0.22744E-08    0.29564E-03    0.15332E-10    0.12030E-08    0.19174E-07    0.84614E-07    0.47238E-02    0.12435E-08    0.19174E-07    0.26192E-04    0.32528E-04    0.20378E-01    0.22744E-08    0.84614E-07    0.32528E-04    0.45269E-04
     9    0.67164E+02    0.33617E-05    0.25094E-03    0.53879E-02    0.21642E-01    0.33617E-05    0.49565E-12    0.12210E-10    0.15289E-08    0.23396E-08    0.25094E-03    0.12210E-10    0.10051E-08    0.21720E-07    0.88731E-07    0.53879E-02    0.15289E-08    0.21720E-07    0.32306E-04    0.40498E-04    0.21642E-01    0.23396E-08    0.88731E-07    0.40498E-04    0.56516E-04
    10    0.58168E+02    0.19960E-05    0.21572E-03    0.60077E-02    0.22785E-01    0.19960E-05    0.25493E-12    0.73555E-11    0.94782E-09    0.13697E-08    0.21572E-03    0.73555E-11    0.85268E-09    0.24089E-07    0.92428E-07    0.60077E-02    0.94782E-09    0.24089E-07    0.39007E-04    0.49306E-04    0.22785E-01    0.13697E-08    0.92428E-07    0.49306E-04    0.68996E-04
    11    0.50872E+02    0.10819E-05    0.18746E-03    0.65903E-02    0.23828E-01    0.10819E-05    0.95508E-13    0.38863E-11    0.16282E-09    0.38198E-09    0.18746E-03    0.38863E-11    0.73260E-09    0.26308E-07    0.95780E-07    0.65903E-02    0.16282E-09    0.26308E-07    0.46295E-04    0.58957E-04    0.23828E-01    0.38198E-09    0.95780E-07    0.58957E-04    0.82722E-04
    12    0.44999E+02   -0.23713E-03    0.16433E-03    0.71363E-02    0.24774E-01   -0.23713E-03    0.10382E-03    0.28290E-11   -0.11858E-09    0.19368E-09    0.16433E-03    0.28290E-11    0.63588E-09    0.28383E-07    0.98798E-07    0.71363E-02   -0.11858E-09    0.28383E-07    0.54164E-04    0.69448E-04    0.24774E-01    0.19368E-09    0.98798E-07    0.69448E-04    0.97691E-04
