#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2    0.29459E+03   -0.96951E-05    0.13001E-02   -0.25169E-03    0.83468E-02   -0.96951E-05    0.64542E-10   -0.32235E-10   -0.86432E-09    0.38583E-09    0.13001E-02   -0.32235E-10    0.69566E-08   -0.11898E-08    0.42848E-07   -0.25169E-03   -0.86432E-09   -0.11898E-08    0.22594E-05    0.25064E-05    0.83468E-02    0.38583E-09    0.42848E-07    0.25064E-05    0.34755E-05
     3    0.20855E+03    0.69371E-05    0.86851E-03    0.53984E-03    0.10468E-01    0.69371E-05    0.20072E-10    0.25657E-10   -0.50740E-10    0.52619E-09    0.86851E-03    0.25657E-10    0.42367E-08    0.24982E-08    0.50198E-07    0.53984E-03   -0.50740E-10    0.24982E-08    0.43867E-05    0.50327E-05    0.10468E-01    0.52619E-09    0.50198E-07    0.50327E-05    0.69407E-05
     4    0.15786E+03    0.55492E-05    0.63599E-03    0.13276E-02    0.12402E-01    0.55492E-05    0.54525E-11    0.20427E-10    0.41185E-09    0.70260E-09    0.63599E-03    0.20427E-10    0.29266E-08    0.58042E-08    0.56891E-07    0.13276E-02    0.41185E-09    0.58042E-08    0.71380E-05    0.83831E-05    0.12402E-01    0.70260E-09    0.56891E-07    0.83831E-05    0.11559E-04
     5    0.12480E+03    0.28223E-05    0.49162E-03    0.21008E-02    0.14178E-01    0.28223E-05    0.18520E-11    0.10546E-10    0.37928E-09    0.50419E-09    0.49162E-03    0.10546E-10    0.21713E-08    0.89047E-08    0.62973E-07    0.21008E-02    0.37928E-09    0.89047E-08    0.10494E-04    0.12550E-04    0.14178E-01    0.50419E-09    0.62973E-07    0.12550E-04    0.17334E-04
     6    0.10167E+03    0.26480E-05    0.39386E-03    0.28409E-02    0.15791E-01    0.26480E-05    0.77089E-12    0.93754E-11    0.44870E-10    0.31280E-09    0.39386E-03    0.93754E-11    0.16866E-08    0.11809E-07    0.68422E-07    0.28409E-02    0.44870E-10    0.11809E-07    0.14440E-04    0.17522E-04    0.15791E-01    0.31280E-09    0.68422E-07    0.17522E-04    0.24259E-04
     7    0.84678E+02    0.36421E-05    0.32376E-03    0.35363E-02    0.17252E-01    0.36421E-05    0.52046E-12    0.12656E-10    0.34171E-09    0.10483E-08    0.32376E-03    0.12656E-10    0.13531E-08    0.14509E-07    0.73294E-07    0.35363E-02    0.34171E-09    0.14509E-07    0.18962E-04    0.23291E-04    0.17252E-01    0.10483E-08    0.73294E-07    0.23291E-04    0.32333E-04
     8    0.71746E+02    0.39025E-05    0.27139E-03    0.41876E-02    0.18578E-01    0.39025E-05    0.54454E-12    0.13827E-10    0.11125E-08    0.20423E-08    0.27139E-03    0.13827E-10    0.11121E-08    0.17020E-07    0.77666E-07    0.41876E-02    0.11125E-08    0.17020E-07    0.24046E-04    0.29847E-04    0.18578E-01    0.20423E-08    0.77666E-07    0.29847E-04    0.41553E-04
     9    0.61630E+02    0.30349E-05    0.23104E-03    0.48004E-02    0.19787E-01    0.30349E-05    0.44412E-12    0.11023E-10    0.13706E-08    0.21036E-08    0.23104E-03    0.11023E-10    0.93135E-09    0.19371E-07    0.81619E-07    0.48004E-02    0.13706E-08    0.19371E-07    0.29689E-04    0.37193E-04    0.19787E-01    0.21036E-08    0.81619E-07    0.37193E-04    0.51931E-04
    10    0.53532E+02    0.18071E-05    0.19915E-03    0.53752E-02    0.20886E-01    0.18071E-05    0.22836E-12    0.66587E-11    0.84939E-09    0.12325E-08    0.19915E-03    0.66587E-11    0.79176E-09    0.21569E-07    0.85185E-07    0.53752E-02    0.84939E-09    0.21569E-07    0.35882E-04    0.45324E-04    0.20886E-01    0.12325E-08    0.85185E-07    0.45324E-04    0.63465E-04
    11    0.46943E+02    0.98576E-06    0.17348E-03    0.59182E-02    0.21893E-01    0.98576E-06    0.85647E-13    0.35415E-11    0.14262E-09    0.34319E-09    0.17348E-03    0.35415E-11    0.68159E-09    0.23639E-07    0.88434E-07    0.59182E-02    0.14262E-09    0.23639E-07    0.42628E-04    0.54247E-04    0.21893E-01    0.34319E-09    0.88434E-07    0.54247E-04    0.76171E-04
    12    0.41637E+02   -0.23719E-03    0.15241E-03    0.64295E-02    0.22810E-01   -0.23719E-03    0.10382E-03    0.26012E-11   -0.11036E-09    0.17589E-09    0.15241E-03    0.26012E-11    0.59269E-09    0.25584E-07    0.91373E-07    0.64295E-02   -0.11036E-09    0.25584E-07    0.49921E-04    0.63959E-04    0.22810E-01    0.17589E-09    0.91373E-07    0.63959E-04    0.90048E-04
    13    0.36912E+02    0.89687E-06    0.13493E-03    0.69113E-02    0.23645E-01    0.89687E-06    0.97679E-13    0.29584E-11    0.94131E-10    0.60490E-09    0.13493E-03    0.29584E-11    0.52006E-09    0.27414E-07    0.94036E-07    0.69113E-02    0.94131E-10    0.27414E-07    0.57762E-04    0.74465E-04    0.23645E-01    0.60490E-09    0.94036E-07    0.74465E-04    0.10510E-03
    14    0.32996E+02    0.79572E-04    0.12022E-03    0.73668E-02    0.24409E-01    0.79572E-04   -0.27194E-04    0.35091E-11    0.56428E-09    0.12772E-08    0.12022E-03    0.35091E-11    0.45973E-09    0.29142E-07    0.96464E-07    0.73668E-02    0.56428E-09    0.29142E-07    0.66153E-04    0.85769E-04    0.24409E-01    0.12772E-08    0.96464E-07    0.85769E-04    0.12135E-03
    15    0.29723E+02    0.10695E-05    0.10773E-03    0.77976E-02    0.25108E-01    0.10695E-05    0.11268E-12    0.36779E-11    0.97193E-09    0.17634E-08    0.10773E-03    0.36779E-11    0.40913E-09    0.30774E-07    0.98679E-07    0.77976E-02    0.97193E-09    0.30774E-07    0.75093E-04    0.97875E-04    0.25108E-01    0.17634E-08    0.98679E-07    0.97875E-04    0.13879E-03
    16    0.26834E+02    0.32404E-03    0.97019E-04    0.82054E-02    0.25745E-01    0.32404E-03   -0.22586E-04    0.31734E-11    0.10411E-08    0.17336E-08    0.97019E-04    0.31734E-11    0.36620E-09    0.32318E-07    0.10070E-06    0.82054E-02    0.10411E-08    0.32318E-07    0.84584E-04    0.11079E-03    0.25745E-01    0.17336E-08    0.10070E-06    0.11079E-03    0.15744E-03
    17    0.24382E+02    0.65038E-06    0.87771E-04    0.85918E-02    0.26329E-01    0.65038E-06    0.57772E-13    0.23114E-11    0.84080E-09    0.13323E-08    0.87771E-04    0.23114E-11    0.32949E-09    0.33781E-07    0.10255E-06    0.85918E-02    0.84080E-09    0.33781E-07    0.94629E-04    0.12451E-03    0.26329E-01    0.13323E-08    0.10255E-06    0.12451E-03    0.17730E-03
    18    0.21776E+02   -0.52566E-03    0.79725E-04    0.89586E-02    0.26862E-01   -0.52566E-03    0.11488E-04    0.15109E-11    0.53107E-09    0.82233E-09    0.79725E-04    0.15109E-11    0.29783E-09    0.35169E-07    0.10424E-06    0.89586E-02    0.53107E-09    0.35169E-07    0.10523E-03    0.13905E-03    0.26862E-01    0.82233E-09    0.10424E-06    0.13905E-03    0.19838E-03
    19    0.20300E+02    0.27347E-06    0.72682E-04    0.93063E-02    0.27349E-01    0.27347E-06    0.26400E-13    0.99513E-12    0.29101E-09    0.46609E-09    0.72682E-04    0.99513E-12    0.27034E-09    0.36484E-07    0.10578E-06    0.93063E-02    0.29101E-09    0.36484E-07    0.11638E-03    0.15440E-03    0.27349E-01    0.46609E-09    0.10578E-06    0.15440E-03    0.22067E-03
    20    0.18649E+02   -0.10668E-04    0.66474E-04    0.96354E-02    0.27791E-01   -0.10668E-04    0.10034E-04    0.88594E-12    0.27333E-09    0.47759E-09    0.66474E-04    0.88594E-12    0.24628E-09    0.37729E-07    0.10717E-06    0.96354E-02    0.27333E-09    0.37729E-07    0.12809E-03    0.17056E-03    0.27791E-01    0.47759E-09    0.10717E-06    0.17056E-03    0.24418E-03
    21    0.17107E+02    0.30283E-06    0.60979E-04    0.99474E-02    0.28192E-01    0.30283E-06    0.22461E-13    0.10933E-11    0.50614E-09    0.87805E-09    0.60979E-04    0.10933E-11    0.22513E-09    0.38909E-07    0.10843E-06    0.99474E-02    0.50614E-09    0.38909E-07    0.14035E-03    0.18754E-03    0.28192E-01    0.87805E-09    0.10843E-06    0.18754E-03    0.26890E-03
    22    0.15811E+02   -0.42705E-04    0.56093E-04    0.10244E-01    0.28558E-01   -0.42705E-04   -0.67106E-05    0.14711E-11    0.95914E-09    0.16029E-08    0.56093E-04    0.14711E-11    0.20644E-09    0.40030E-07    0.10959E-06    0.10244E-01    0.95914E-09    0.40030E-07    0.15316E-03    0.20534E-03    0.28558E-01    0.16029E-08    0.10959E-06    0.20534E-03    0.29484E-03
    23    0.14565E+02    0.51800E-06    0.51733E-04    0.10525E-01    0.28889E-01    0.51800E-06    0.61277E-13    0.18615E-11    0.14929E-08    0.24373E-08    0.51733E-04    0.18615E-11    0.18985E-09    0.41094E-07    0.11064E-06    0.10525E-01    0.14929E-08    0.41094E-07    0.16653E-03    0.22395E-03    0.28889E-01    0.24373E-08    0.11064E-06    0.22395E-03    0.32201E-03
    24    0.13461E+02    0.19324E-03    0.47822E-04    0.10791E-01    0.29188E-01    0.19324E-03   -0.45945E-05    0.21248E-11    0.19559E-08    0.31524E-08    0.47822E-04    0.21248E-11    0.17505E-09    0.42101E-07    0.11158E-06    0.10791E-01    0.19559E-08    0.42101E-07    0.18044E-03    0.24338E-03    0.29188E-01    0.31524E-08    0.11158E-06    0.24338E-03    0.35037E-03
