#    L    TT             EE             TE             PP             TP          
     2    0.32879E+03    0.75488E-10   -0.11884E-04    0.94652E+06    0.32911E+05
     3    0.23049E+03    0.23226E-10    0.75948E-05    0.14499E+07    0.36777E+05
     4    0.17327E+03    0.62323E-11    0.61384E-05    0.18908E+07    0.38065E+05
     5    0.13624E+03    0.20883E-11    0.31104E-05    0.22752E+07    0.38129E+05
     6    0.11051E+03    0.86088E-12    0.29240E-05    0.26098E+07    0.37556E+05
     7    0.91699E+02    0.57875E-12    0.40089E-05    0.29019E+07    0.36645E+05
     8    0.77445E+02    0.60023E-12    0.42646E-05    0.31574E+07    0.35558E+05
     9    0.66337E+02    0.48373E-12    0.32869E-05    0.33815E+07    0.34393E+05
    10    0.57474E+02    0.24590E-12    0.19375E-05    0.35782E+07    0.33195E+05
    11    0.50284E+02    0.92728E-13    0.10506E-05    0.37519E+07    0.32006E+05
    12    0.44496E+02    0.10382E-03   -0.23714E-03    0.39043E+07    0.30835E+05
    13    0.39380E+02    0.10836E-12    0.96983E-06    0.40380E+07    0.29692E+05
    14    0.35141E+02   -0.27194E-04    0.79653E-04    0.41555E+07    0.28589E+05
    15    0.31601E+02    0.12117E-12    0.11447E-05    0.42586E+07    0.27529E+05
    16    0.28486E+02   -0.22586E-04    0.32409E-03    0.43487E+07    0.26510E+05
    17    0.25843E+02    0.60660E-13    0.68311E-06    0.44272E+07    0.25535E+05
    18    0.23075E+02    0.11488E-04   -0.52564E-03    0.44955E+07    0.24604E+05
    19    0.21459E+02    0.27445E-13    0.28575E-06    0.45542E+07    0.23713E+05
    20    0.19686E+02    0.10034E-04   -0.10652E-04    0.46040E+07    0.22859E+05
    21    0.18039E+02    0.24289E-13    0.32765E-06    0.46460E+07    0.22043E+05
    22    0.16651E+02   -0.67106E-05   -0.42671E-04    0.46811E+07    0.21264E+05
    23    0.15324E+02    0.66522E-13    0.55821E-06    0.47098E+07    0.20521E+05
    24    0.14149E+02   -0.45945E-05    0.19328E-03    0.47325E+07    0.19809E+05
    25    0.13134E+02    0.10426E-12    0.65419E-06    0.47499E+07    0.19129E+05
    26    0.12141E+02    0.45677E-05    0.17381E-03    0.47625E+07    0.18479E+05
    27    0.11345E+02    0.85151E-13    0.53737E-06    0.47707E+07    0.17857E+05
    28    0.10544E+02    0.62322E-06   -0.24430E-03    0.47750E+07    0.17262E+05
    29    0.98663E+01    0.44770E-13    0.31974E-06    0.47753E+07    0.16692E+05
    30    0.92916E+01   -0.21393E-05    0.16701E-04    0.47719E+07    0.16145E+05
    31    0.86302E+01    0.25174E-13    0.13430E-06    0.47653E+07    0.15621E+05
    32    0.80562E+01    0.18985E-05    0.16031E-03    0.47559E+07    0.15118E+05
    33    0.75897E+01    0.20604E-13    0.49104E-07    0.47440E+07    0.14637E+05
    34    0.71131E+01    0.58091E-06   -0.27666E-03    0.47296E+07    0.14175E+05
    35    0.67070E+01    0.16730E-13    0.61439E-07    0.47131E+07    0.13732E+05
    36    0.63709E+01   -0.13653E-06    0.46383E-03    0.46945E+07    0.13306E+05
    37    0.59530E+01    0.15605E-13    0.12655E-06    0.46741E+07    0.12898E+05
    38    0.55921E+01    0.41830E-05   -0.55391E-03    0.46521E+07    0.12505E+05
    39    0.53295E+01    0.55145E-05   -0.64610E-03    0.46286E+07    0.12128E+05
    40    0.50149E+01    0.27096E-13    0.21988E-06    0.46036E+07    0.11765E+05
    41    0.48521E+01   -0.10177E-04    0.12921E-02    0.45773E+07    0.11416E+05
    42    0.46033E+01   -0.18179E-04    0.24752E-02    0.45498E+07    0.11080E+05
    43    0.43845E+01   -0.16190E-04    0.26483E-02    0.45212E+07    0.10757E+05
    44    0.40148E+01   -0.11250E-04    0.18018E-02    0.44916E+07    0.10445E+05
    45    0.38332E+01    0.31655E-13    0.21298E-06    0.44612E+07    0.10146E+05
    46    0.37407E+01    0.21386E-04   -0.44408E-02    0.44300E+07    0.98566E+04
    47    0.35952E+01    0.45231E-04   -0.10322E-01    0.43982E+07    0.95781E+04
    48    0.33368E+01    0.68040E-04   -0.13066E-01    0.43657E+07    0.93096E+04
    49    0.30541E+01    0.64032E-04   -0.86922E-02    0.43327E+07    0.90508E+04
    50    0.29842E+01    0.96337E-14    0.94527E-07    0.42992E+07    0.88013E+04
    51    0.29136E+01   -0.15865E-03    0.87114E-02    0.42654E+07    0.85605E+04
    52    0.30544E+01   -0.32573E-03    0.12776E-01    0.42312E+07    0.83282E+04
    53    0.30196E+01   -0.34961E-03    0.92855E-02    0.41968E+07    0.81039E+04
    54    0.27191E+01   -0.23463E-03    0.33016E-02    0.41621E+07    0.78875E+04
    55    0.23602E+01    0.41254E-14    0.24845E-07    0.41272E+07    0.76784E+04
    56    0.21548E+01    0.21343E-03   -0.17291E-02    0.40921E+07    0.74765E+04
    57    0.20368E+01    0.29820E-03   -0.18358E-02    0.40569E+07    0.72813E+04
