#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2    0.47550E+03   -0.22952E-04    0.20420E-02    0.80234E-04    0.13419E-01   -0.22952E-04    0.12836E-09   -0.79527E-10   -0.17069E-08    0.64984E-09    0.20420E-02   -0.79527E-10    0.10316E-07   -0.30273E-10    0.64948E-07    0.80234E-04   -0.17069E-08   -0.30273E-10    0.32020E-05    0.35058E-05    0.13419E-01    0.64984E-09    0.64948E-07    0.35058E-05    0.49120E-05
     3    0.32249E+03    0.10295E-04    0.13124E-02    0.13041E-02    0.16212E-01    0.10295E-04    0.38096E-10    0.37681E-10   -0.10832E-09    0.89127E-09    0.13124E-02    0.37681E-10    0.61066E-08    0.56404E-08    0.73991E-07    0.13041E-02   -0.10832E-09    0.56404E-08    0.61726E-05    0.70344E-05    0.16212E-01    0.89127E-09    0.73991E-07    0.70344E-05    0.97597E-05
     4    0.23687E+03    0.87703E-05    0.93537E-03    0.24891E-02    0.18697E-01    0.87703E-05    0.98252E-11    0.32093E-10    0.67304E-09    0.11086E-08    0.93537E-03    0.32093E-10    0.41352E-08    0.10599E-07    0.82271E-07    0.24891E-02    0.67304E-09    0.10599E-07    0.99883E-05    0.11693E-04    0.18697E-01    0.11086E-08    0.82271E-07    0.11693E-04    0.16181E-04
     5    0.18294E+03    0.43337E-05    0.70802E-03    0.36230E-02    0.20936E-01    0.43337E-05    0.31667E-11    0.16104E-10    0.59676E-09    0.76562E-09    0.70802E-03    0.16104E-10    0.30203E-08    0.15135E-07    0.89743E-07    0.36230E-02    0.59676E-09    0.15135E-07    0.14615E-04    0.17460E-04    0.20936E-01    0.76562E-09    0.89743E-07    0.17460E-04    0.24162E-04
     6    0.14623E+03    0.39123E-05    0.55757E-03    0.46829E-02    0.22930E-01    0.39123E-05    0.12631E-11    0.13790E-10    0.76230E-10    0.46286E-09    0.55757E-03    0.13790E-10    0.23156E-08    0.19285E-07    0.96343E-07    0.46829E-02    0.76230E-10    0.19285E-07    0.20023E-04    0.24306E-04    0.22930E-01    0.46286E-09    0.96343E-07    0.24306E-04    0.33675E-04
     7    0.11985E+03    0.53593E-05    0.45171E-03    0.56557E-02    0.24698E-01    0.53593E-05    0.80855E-12    0.18579E-10    0.52836E-09    0.15690E-08    0.45171E-03    0.18579E-10    0.18369E-08    0.23054E-07    0.10214E-06    0.56557E-02    0.52836E-09    0.23054E-07    0.26187E-04    0.32207E-04    0.24698E-01    0.15690E-08    0.10214E-06    0.32207E-04    0.44699E-04
     8    0.10014E+03    0.57366E-05    0.37388E-03    0.65465E-02    0.26272E-01    0.57366E-05    0.82307E-12    0.20312E-10    0.16828E-08    0.30474E-08    0.37388E-03    0.20312E-10    0.14947E-08    0.26479E-07    0.10725E-06    0.65465E-02    0.16828E-08    0.26479E-07    0.33077E-04    0.41136E-04    0.26272E-01    0.30474E-08    0.10725E-06    0.41136E-04    0.57211E-04
     9    0.84966E+02    0.44409E-05    0.31475E-03    0.73672E-02    0.27680E-01    0.44409E-05    0.66793E-12    0.16133E-10    0.20571E-08    0.31232E-08    0.31475E-03    0.16133E-10    0.12407E-08    0.29621E-07    0.11179E-06    0.73672E-02    0.20571E-08    0.29621E-07    0.40683E-04    0.51084E-04    0.27680E-01    0.31232E-08    0.11179E-06    0.51084E-04    0.71212E-04
    10    0.72994E+02    0.26170E-05    0.26860E-03    0.81220E-02    0.28936E-01    0.26170E-05    0.34379E-12    0.96480E-11    0.12761E-08    0.18248E-08    0.26860E-03    0.96480E-11    0.10462E-08    0.32500E-07    0.11581E-06    0.81220E-02    0.12761E-08    0.32500E-07    0.48985E-04    0.62033E-04    0.28936E-01    0.18248E-08    0.11581E-06    0.62033E-04    0.86679E-04
    11    0.63376E+02    0.13944E-05    0.23187E-03    0.88220E-02    0.30067E-01    0.13944E-05    0.12847E-12    0.50083E-11    0.23194E-09    0.51111E-09    0.23187E-03    0.50083E-11    0.89400E-09    0.35160E-07    0.11940E-06    0.88220E-02    0.23194E-09    0.35160E-07    0.57978E-04    0.73982E-04    0.30067E-01    0.51111E-09    0.11940E-06    0.73982E-04    0.10362E-03
    12    0.55651E+02   -0.23691E-03    0.20202E-03    0.94692E-02    0.31077E-01   -0.23691E-03    0.10382E-03    0.35565E-11   -0.14397E-09    0.25180E-09    0.20202E-03    0.35565E-11    0.77207E-09    0.37614E-07    0.12259E-06    0.94692E-02   -0.14397E-09    0.37614E-07    0.67650E-04    0.86915E-04    0.31077E-01    0.25180E-09    0.12259E-06    0.86915E-04    0.12202E-03
    13    0.48973E+02    0.12204E-05    0.17749E-03    0.10069E-01    0.31978E-01    0.12204E-05    0.13876E-12    0.40069E-11    0.14180E-09    0.85074E-09    0.17749E-03    0.40069E-11    0.67318E-09    0.39882E-07    0.12541E-06    0.10069E-01    0.14180E-09    0.39882E-07    0.77992E-04    0.10083E-03    0.31978E-01    0.85074E-09    0.12541E-06    0.10083E-03    0.14186E-03
    14    0.43454E+02    0.79947E-04    0.15702E-03    0.10626E-01    0.32785E-01    0.79947E-04   -0.27194E-04    0.47562E-11    0.80168E-09    0.17883E-08    0.15702E-03    0.47562E-11    0.59155E-09    0.41986E-07    0.12793E-06    0.10626E-01    0.80168E-09    0.41986E-07    0.88999E-04    0.11571E-03    0.32785E-01    0.17883E-08    0.12793E-06    0.11571E-03    0.16316E-03
    15    0.38853E+02    0.14508E-05    0.13978E-03    0.11144E-01    0.33508E-01    0.14508E-05    0.15745E-12    0.49865E-11    0.13703E-08    0.24603E-08    0.13978E-03    0.49865E-11    0.52351E-09    0.43943E-07    0.13018E-06    0.11144E-01    0.13703E-08    0.43943E-07    0.10067E-03    0.13157E-03    0.33508E-01    0.24603E-08    0.13018E-06    0.13157E-03    0.18591E-03
    16    0.34851E+02    0.32436E-03    0.12510E-03    0.11627E-01    0.34153E-01    0.32436E-03   -0.22586E-04    0.42887E-11    0.14604E-08    0.24079E-08    0.12510E-03    0.42887E-11    0.46610E-09    0.45763E-07    0.13218E-06    0.11627E-01    0.14604E-08    0.45763E-07    0.11299E-03    0.14839E-03    0.34153E-01    0.24079E-08    0.13218E-06    0.14839E-03    0.21009E-03
    17    0.31459E+02    0.87188E-06    0.11252E-03    0.12078E-01    0.34730E-01    0.87188E-06    0.79459E-13    0.31029E-11    0.11744E-08    0.18406E-08    0.11252E-03    0.31029E-11    0.41729E-09    0.47461E-07    0.13396E-06    0.12078E-01    0.11744E-08    0.47461E-07    0.12597E-03    0.16618E-03    0.34730E-01    0.18406E-08    0.13396E-06    0.16618E-03    0.23571E-03
    18    0.28054E+02   -0.52552E-03    0.10164E-03    0.12500E-01    0.35245E-01   -0.52552E-03    0.11488E-04    0.20109E-11    0.74134E-09    0.11310E-08    0.10164E-03    0.20109E-11    0.37540E-09    0.49047E-07    0.13555E-06    0.12500E-01    0.74134E-09    0.49047E-07    0.13959E-03    0.18492E-03    0.35245E-01    0.11310E-08    0.13555E-06    0.18492E-03    0.26277E-03
    19    0.25893E+02    0.35991E-06    0.92183E-04    0.12893E-01    0.35701E-01    0.35991E-06    0.35850E-13    0.13124E-11    0.40792E-09    0.63789E-09    0.92183E-04    0.13124E-11    0.33921E-09    0.50527E-07    0.13694E-06    0.12893E-01    0.40792E-09    0.50527E-07    0.15385E-03    0.20462E-03    0.35701E-01    0.63789E-09    0.13694E-06    0.20462E-03    0.29124E-03
    20    0.23649E+02   -0.10592E-04    0.83891E-04    0.13260E-01    0.36103E-01   -0.10592E-04    0.10034E-04    0.11651E-11    0.38136E-09    0.64959E-09    0.83891E-04    0.11651E-11    0.30769E-09    0.51906E-07    0.13817E-06    0.13260E-01    0.38136E-09    0.51906E-07    0.16875E-03    0.22525E-03    0.36103E-01    0.64959E-09    0.13817E-06    0.22525E-03    0.32112E-03
    21    0.21594E+02    0.39870E-06    0.76594E-04    0.13603E-01    0.36455E-01    0.39870E-06    0.30252E-13    0.14413E-11    0.69411E-09    0.11862E-08    0.76594E-04    0.14413E-11    0.28010E-09    0.53194E-07    0.13923E-06    0.13603E-01    0.69411E-09    0.53194E-07    0.18428E-03    0.24682E-03    0.36455E-01    0.11862E-08    0.13923E-06    0.24682E-03    0.35239E-03
    22    0.19850E+02   -0.42575E-04    0.70140E-04    0.13923E-01    0.36765E-01   -0.42575E-04   -0.67106E-05    0.19398E-11    0.12993E-08    0.21520E-08    0.70140E-04    0.19398E-11    0.25582E-09    0.54399E-07    0.14017E-06    0.13923E-01    0.12993E-08    0.54399E-07    0.20044E-03    0.26931E-03    0.36765E-01    0.21520E-08    0.14017E-06    0.26931E-03    0.38505E-03
    23    0.18213E+02    0.68057E-06    0.64409E-04    0.14223E-01    0.37034E-01    0.68057E-06    0.81510E-13    0.24493E-11    0.20074E-08    0.32560E-08    0.64409E-04    0.24493E-11    0.23437E-09    0.55524E-07    0.14097E-06    0.14223E-01    0.20074E-08    0.55524E-07    0.21721E-03    0.29273E-03    0.37034E-01    0.32560E-08    0.14097E-06    0.29273E-03    0.41909E-03
    24    0.16764E+02    0.19343E-03    0.59293E-04    0.14502E-01    0.37264E-01    0.19343E-03   -0.45945E-05    0.27856E-11    0.26147E-08    0.41914E-08    0.59293E-04    0.27856E-11    0.21530E-09    0.56573E-07    0.14166E-06    0.14502E-01    0.26147E-08    0.56573E-07    0.23460E-03    0.31706E-03    0.37264E-01    0.41914E-08    0.14166E-06    0.31706E-03    0.45448E-03
    25    0.15508E+02    0.80156E-06    0.54713E-04    0.14762E-01    0.37460E-01    0.80156E-06    0.12927E-12    0.28813E-11    0.30028E-08    0.47814E-08    0.54713E-04    0.28813E-11    0.19829E-09    0.57551E-07    0.14223E-06    0.14762E-01    0.30028E-08    0.57551E-07    0.25258E-03    0.34228E-03    0.37460E-01    0.47814E-08    0.14223E-06    0.34228E-03    0.49120E-03
    26    0.14300E+02    0.17395E-03    0.50596E-04    0.15005E-01    0.37625E-01    0.17395E-03    0.45677E-05    0.27185E-11    0.30949E-08    0.49126E-08    0.50596E-04    0.27185E-11    0.18306E-09    0.58463E-07    0.14270E-06    0.15005E-01    0.30949E-08    0.58463E-07    0.27117E-03    0.36839E-03    0.37625E-01    0.49126E-08    0.14270E-06    0.36839E-03    0.52925E-03
    27    0.13314E+02    0.66085E-06    0.46886E-04    0.15231E-01    0.37761E-01    0.66085E-06    0.10676E-12    0.23590E-11    0.28934E-08    0.45935E-08    0.46886E-04    0.23590E-11    0.16938E-09    0.59312E-07    0.14309E-06    0.15231E-01    0.28934E-08    0.59312E-07    0.29034E-03    0.39537E-03    0.37761E-01    0.45935E-08    0.14309E-06    0.39537E-03    0.56859E-03
