#    L    TT             EE             TE             PP             TP          
     2    0.32881E+03    0.76704E-10   -0.12062E-04    0.94827E+06    0.32922E+05
     3    0.23052E+03    0.23591E-10    0.77209E-05    0.14531E+07    0.36795E+05
     4    0.17331E+03    0.63408E-11    0.63801E-05    0.18955E+07    0.38091E+05
     5    0.13628E+03    0.21526E-11    0.31648E-05    0.22814E+07    0.38162E+05
     6    0.11055E+03    0.88970E-12    0.27025E-05    0.26176E+07    0.37596E+05
     7    0.91752E+02    0.55843E-12    0.37583E-05    0.29113E+07    0.36691E+05
     8    0.77502E+02    0.58759E-12    0.42411E-05    0.31683E+07    0.35611E+05
     9    0.66397E+02    0.51933E-12    0.34951E-05    0.33941E+07    0.34451E+05
    10    0.57537E+02    0.29401E-12    0.22008E-05    0.35924E+07    0.33259E+05
    11    0.50348E+02    0.11085E-12    0.12108E-05    0.37677E+07    0.32076E+05
    12    0.44562E+02    0.10382E-03   -0.23711E-03    0.39217E+07    0.30909E+05
    13    0.39447E+02    0.88423E-13    0.91443E-06    0.40570E+07    0.29771E+05
    14    0.35210E+02   -0.27194E-04    0.79606E-04    0.41761E+07    0.28673E+05
    15    0.31670E+02    0.12447E-12    0.11585E-05    0.42808E+07    0.27616E+05
    16    0.28556E+02   -0.22586E-04    0.32417E-03    0.43725E+07    0.26602E+05
    17    0.25913E+02    0.74259E-13    0.79154E-06    0.44526E+07    0.25631E+05
    18    0.23145E+02    0.11488E-04   -0.52554E-03    0.45225E+07    0.24703E+05
    19    0.21529E+02    0.36040E-13    0.34388E-06    0.45827E+07    0.23815E+05
    20    0.19757E+02    0.10034E-04   -0.10645E-04    0.46341E+07    0.22965E+05
    21    0.18109E+02    0.23796E-13    0.29141E-06    0.46776E+07    0.22152E+05
    22    0.16720E+02   -0.67106E-05   -0.42730E-04    0.47142E+07    0.21375E+05
    23    0.15393E+02    0.56806E-13    0.49747E-06    0.47444E+07    0.20634E+05
    24    0.14218E+02   -0.45945E-05    0.19324E-03    0.47687E+07    0.19925E+05
    25    0.13202E+02    0.10424E-12    0.64103E-06    0.47876E+07    0.19247E+05
    26    0.12208E+02    0.45677E-05    0.17383E-03    0.48016E+07    0.18599E+05
    27    0.11411E+02    0.99598E-13    0.58278E-06    0.48113E+07    0.17979E+05
    28    0.10610E+02    0.62322E-06   -0.24424E-03    0.48170E+07    0.17386E+05
    29    0.99310E+01    0.58163E-13    0.39006E-06    0.48187E+07    0.16817E+05
    30    0.93554E+01   -0.21393E-05    0.16768E-04    0.48167E+07    0.16272E+05
    31    0.86930E+01    0.30041E-13    0.19103E-06    0.48115E+07    0.15749E+05
    32    0.81181E+01    0.18985E-05    0.16035E-03    0.48034E+07    0.15247E+05
    33    0.76506E+01    0.21910E-13    0.70825E-07    0.47928E+07    0.14767E+05
    34    0.71730E+01    0.58091E-06   -0.27665E-03    0.47798E+07    0.14306E+05
    35    0.67659E+01    0.17586E-13    0.48755E-07    0.47645E+07    0.13864E+05
    36    0.64288E+01   -0.13653E-06    0.46381E-03    0.47473E+07    0.13439E+05
    37    0.60099E+01    0.14287E-13    0.95425E-07    0.47282E+07    0.13031E+05
    38    0.56480E+01    0.41830E-05   -0.55395E-03    0.47074E+07    0.12639E+05
    39    0.53844E+01    0.55145E-05   -0.64613E-03    0.46850E+07    0.12262E+05
    40    0.50689E+01    0.22889E-13    0.19405E-06    0.46612E+07    0.11900E+05
    41    0.49051E+01   -0.10177E-04    0.12921E-02    0.46361E+07    0.11551E+05
    42    0.46552E+01   -0.18179E-04    0.24752E-02    0.46098E+07    0.11215E+05
    43    0.44355E+01   -0.16190E-04    0.26483E-02    0.45824E+07    0.10892E+05
    44    0.40648E+01   -0.11250E-04    0.18018E-02    0.45539E+07    0.10581E+05
