#    L    TT             EE             TE             PP             TP          
     2    0.32879E+03    0.75751E-10   -0.11923E-04    0.94688E+06    0.32913E+05
     3    0.23050E+03    0.23305E-10    0.76251E-05    0.14506E+07    0.36780E+05
     4    0.17327E+03    0.62561E-11    0.61930E-05    0.18918E+07    0.38070E+05
     5    0.13625E+03    0.21026E-11    0.31187E-05    0.22765E+07    0.38136E+05
     6    0.11052E+03    0.86663E-12    0.28696E-05    0.26115E+07    0.37564E+05
     7    0.91710E+02    0.57332E-12    0.39524E-05    0.29039E+07    0.36654E+05
     8    0.77456E+02    0.59756E-12    0.42636E-05    0.31596E+07    0.35569E+05
     9    0.66349E+02    0.49214E-12    0.33384E-05    0.33841E+07    0.34404E+05
    10    0.57487E+02    0.25616E-12    0.19984E-05    0.35812E+07    0.33208E+05
    11    0.50297E+02    0.95551E-13    0.10851E-05    0.37552E+07    0.32020E+05
    12    0.44509E+02    0.10382E-03   -0.23713E-03    0.39079E+07    0.30850E+05
    13    0.39393E+02    0.10348E-12    0.95594E-06    0.40419E+07    0.29708E+05
    14    0.35155E+02   -0.27194E-04    0.79643E-04    0.41598E+07    0.28606E+05
    15    0.31614E+02    0.12221E-12    0.11497E-05    0.42632E+07    0.27546E+05
    16    0.28500E+02   -0.22586E-04    0.32411E-03    0.43536E+07    0.26529E+05
    17    0.25857E+02    0.63717E-13    0.70849E-06    0.44325E+07    0.25555E+05
    18    0.23088E+02    0.11488E-04   -0.52562E-03    0.45011E+07    0.24624E+05
    19    0.21473E+02    0.29247E-13    0.29718E-06    0.45601E+07    0.23733E+05
    20    0.19700E+02    0.10034E-04   -0.10653E-04    0.46103E+07    0.22880E+05
    21    0.18053E+02    0.23870E-13    0.31774E-06    0.46526E+07    0.22065E+05
    22    0.16664E+02   -0.67106E-05   -0.42685E-04    0.46879E+07    0.21287E+05
    23    0.15338E+02    0.64345E-13    0.54483E-06    0.47170E+07    0.20544E+05
    24    0.14163E+02   -0.45945E-05    0.19328E-03    0.47400E+07    0.19833E+05
    25    0.13148E+02    0.10484E-12    0.65313E-06    0.47578E+07    0.19153E+05
    26    0.12154E+02    0.45677E-05    0.17382E-03    0.47706E+07    0.18503E+05
    27    0.11358E+02    0.88860E-13    0.54937E-06    0.47792E+07    0.17882E+05
    28    0.10558E+02    0.62322E-06   -0.24429E-03    0.47837E+07    0.17287E+05
    29    0.98792E+01    0.47835E-13    0.33605E-06    0.47843E+07    0.16718E+05
    30    0.93044E+01   -0.21393E-05    0.16715E-04    0.47813E+07    0.16171E+05
    31    0.86428E+01    0.26343E-13    0.14608E-06    0.47749E+07    0.15647E+05
    32    0.80686E+01    0.18985E-05    0.16032E-03    0.47658E+07    0.15145E+05
    33    0.76019E+01    0.21143E-13    0.52154E-07    0.47541E+07    0.14663E+05
    34    0.71251E+01    0.58091E-06   -0.27666E-03    0.47401E+07    0.14202E+05
    35    0.67189E+01    0.17105E-13    0.56833E-07    0.47238E+07    0.13759E+05
    36    0.63826E+01   -0.13653E-06    0.46382E-03    0.47055E+07    0.13333E+05
    37    0.59646E+01    0.15300E-13    0.11854E-06    0.46854E+07    0.12925E+05
    38    0.56035E+01    0.41830E-05   -0.55392E-03    0.46636E+07    0.12533E+05
    39    0.53407E+01    0.55145E-05   -0.64611E-03    0.46403E+07    0.12156E+05
    40    0.50260E+01    0.26159E-13    0.21424E-06    0.46156E+07    0.11793E+05
    41    0.48630E+01   -0.10177E-04    0.12921E-02    0.45896E+07    0.11444E+05
    42    0.46139E+01   -0.18179E-04    0.24752E-02    0.45623E+07    0.11108E+05
    43    0.43950E+01   -0.16190E-04    0.26483E-02    0.45340E+07    0.10785E+05
    44    0.40251E+01   -0.11250E-04    0.18018E-02    0.45046E+07    0.10473E+05
    45    0.38433E+01    0.32546E-13    0.21611E-06    0.44744E+07    0.10174E+05
    46    0.37506E+01    0.21386E-04   -0.44408E-02    0.44435E+07    0.98846E+04
    47    0.36050E+01    0.45231E-04   -0.10322E-01    0.44118E+07    0.96061E+04
    48    0.33464E+01    0.68040E-04   -0.13066E-01    0.43796E+07    0.93377E+04
    49    0.30635E+01    0.64032E-04   -0.86922E-02    0.43468E+07    0.90789E+04
    50    0.29934E+01    0.10103E-13    0.98707E-07    0.43136E+07    0.88293E+04
    51    0.29227E+01   -0.15865E-03    0.87114E-02    0.42799E+07    0.85885E+04
    52    0.30633E+01   -0.32573E-03    0.12776E-01    0.42459E+07    0.83561E+04
    53    0.30283E+01   -0.34961E-03    0.92855E-02    0.42117E+07    0.81318E+04
    54    0.27277E+01   -0.23463E-03    0.33016E-02    0.41772E+07    0.79153E+04
    55    0.23686E+01    0.40316E-14    0.25220E-07    0.41425E+07    0.77062E+04
    56    0.21630E+01    0.21343E-03   -0.17291E-02    0.41076E+07    0.75041E+04
    57    0.20449E+01    0.29820E-03   -0.18358E-02    0.40726E+07    0.73089E+04
    58    0.20273E+01    0.26287E-03   -0.12124E-02    0.40375E+07    0.71201E+04
    59    0.19747E+01    0.14575E-03   -0.77348E-03    0.40023E+07    0.69377E+04
    60    0.19000E+01    0.26487E-14    0.22217E-07    0.39671E+07    0.67612E+04
    61    0.21098E+01   -0.80085E-04    0.18113E-02    0.39319E+07    0.65904E+04
    62    0.20033E+01   -0.10301E-03    0.37228E-02    0.38967E+07    0.64251E+04
    63    0.17933E+01   -0.10297E-03    0.47585E-02    0.38615E+07    0.62651E+04
    64    0.17669E+01   -0.62183E-04    0.37191E-02    0.38264E+07    0.61103E+04
    65    0.15425E+01    0.55318E-14    0.43650E-07    0.37914E+07    0.59605E+04
    66    0.14066E+01    0.21984E-04   -0.46037E-02    0.37565E+07    0.58154E+04
    67    0.11980E+01    0.10896E-04   -0.77600E-02    0.37218E+07    0.56749E+04
    68    0.12005E+01    0.13330E-04   -0.83024E-02    0.36873E+07    0.55388E+04
    69    0.11780E+01   -0.58331E-05   -0.49903E-02    0.36530E+07    0.54070E+04
    70    0.12660E+01    0.86727E-14    0.49413E-07    0.36189E+07    0.52793E+04
    71    0.13086E+01    0.25785E-04    0.38996E-02    0.35850E+07    0.51555E+04
    72    0.13226E+01    0.53062E-04    0.55055E-02    0.35513E+07    0.50355E+04
    73    0.12566E+01    0.56304E-04    0.45079E-02    0.35178E+07    0.49191E+04
    74    0.11331E+01    0.32269E-04    0.20827E-02    0.34846E+07    0.48063E+04
    75    0.10494E+01    0.50630E-14    0.37805E-07    0.34516E+07    0.46968E+04
    76    0.94651E+00   -0.30693E-04   -0.95234E-03    0.34188E+07    0.45905E+04
    77    0.88457E+00   -0.57223E-04   -0.10189E-02    0.33863E+07    0.44874E+04
    78    0.91632E+00   -0.41664E-04   -0.21692E-02    0.33540E+07    0.43873E+04
    79    0.87165E+00   -0.27803E-04   -0.11730E-02    0.33220E+07    0.42900E+04
    80    0.87760E+00    0.21565E-14    0.23748E-07    0.32903E+07    0.41957E+04
    81    0.84290E+00    0.27379E-05    0.31531E-03    0.32588E+07    0.41040E+04
    82    0.84310E+00    0.12525E-04    0.24967E-03    0.32277E+07    0.40150E+04
    83    0.80976E+00    0.14258E-04   -0.27075E-03    0.31969E+07    0.39286E+04
