#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    17    0.25599E+02    0.68799E-06    0.92030E-04    0.91736E-02    0.27756E-01    0.68799E-06    0.61420E-13    0.24457E-11    0.89663E-09    0.14176E-08    0.92030E-04    0.24457E-11    0.34461E-09    0.36064E-07    0.10789E-06    0.91736E-02    0.89663E-09    0.36064E-07    0.99968E-04    0.13160E-03    0.27756E-01    0.14176E-08    0.10789E-06    0.13160E-03    0.18725E-03
    18    0.22858E+02   -0.52563E-03    0.83506E-04    0.95514E-02    0.28290E-01   -0.52563E-03    0.11488E-04    0.15959E-11    0.56629E-09    0.87422E-09    0.83506E-04    0.15959E-11    0.31122E-09    0.37492E-07    0.10957E-06    0.95514E-02    0.56629E-09    0.37492E-07    0.11109E-03    0.14687E-03    0.28290E-01    0.87422E-09    0.10957E-06    0.14687E-03    0.20936E-03
    19    0.21267E+02    0.28824E-06    0.76053E-04    0.99086E-02    0.28775E-01    0.28824E-06    0.27997E-13    0.10493E-11    0.31058E-09    0.49501E-09    0.76053E-04    0.10493E-11    0.28225E-09    0.38842E-07    0.11110E-06    0.99086E-02    0.31058E-09    0.38842E-07    0.12279E-03    0.16297E-03    0.28775E-01    0.49501E-09    0.11110E-06    0.16297E-03    0.23273E-03
    20    0.19515E+02   -0.10655E-04    0.69491E-04    0.10246E-01    0.29213E-01   -0.10655E-04    0.10034E-04    0.93363E-12    0.29145E-09    0.50663E-09    0.69491E-04    0.93363E-12    0.25692E-09    0.40116E-07    0.11247E-06    0.10246E-01    0.29145E-09    0.40116E-07    0.13505E-03    0.17992E-03    0.29213E-01    0.50663E-09    0.11247E-06    0.17992E-03    0.25734E-03
    21    0.17886E+02    0.31922E-06    0.63689E-04    0.10565E-01    0.29609E-01    0.31922E-06    0.23783E-13    0.11527E-11    0.53787E-09    0.93027E-09    0.63689E-04    0.11527E-11    0.23467E-09    0.41321E-07    0.11371E-06    0.10565E-01    0.53787E-09    0.41321E-07    0.14788E-03    0.19770E-03    0.29609E-01    0.93027E-09    0.11371E-06    0.19770E-03    0.28321E-03
    22    0.16513E+02   -0.42682E-04    0.58536E-04    0.10867E-01    0.29967E-01   -0.42682E-04   -0.67106E-05    0.15513E-11    0.10168E-08    0.16962E-08    0.58536E-04    0.15513E-11    0.21503E-09    0.42463E-07    0.11484E-06    0.10867E-01    0.10168E-08    0.42463E-07    0.16128E-03    0.21632E-03    0.29967E-01    0.16962E-08    0.11484E-06    0.21632E-03    0.31033E-03
    23    0.15200E+02    0.54586E-06    0.53941E-04    0.11152E-01    0.30291E-01    0.54586E-06    0.64732E-13    0.19621E-11    0.15804E-08    0.25769E-08    0.53941E-04    0.19621E-11    0.19761E-09    0.43543E-07    0.11585E-06    0.11152E-01    0.15804E-08    0.43543E-07    0.17524E-03    0.23578E-03    0.30291E-01    0.25769E-08    0.11585E-06    0.23578E-03    0.33870E-03
    24    0.14038E+02    0.19327E-03    0.49824E-04    0.11422E-01    0.30581E-01    0.19327E-03   -0.45945E-05    0.22381E-11    0.20682E-08    0.33299E-08    0.49824E-04    0.22381E-11    0.18207E-09    0.44563E-07    0.11676E-06    0.11422E-01    0.20682E-08    0.44563E-07    0.18977E-03    0.25606E-03    0.30581E-01    0.33299E-08    0.11676E-06    0.25606E-03    0.36830E-03
    25    0.13033E+02    0.64720E-06    0.46124E-04    0.11677E-01    0.30839E-01    0.64720E-06    0.10349E-12    0.23234E-11    0.23852E-08    0.38127E-08    0.46124E-04    0.23234E-11    0.16817E-09    0.45526E-07    0.11757E-06    0.11677E-01    0.23852E-08    0.45526E-07    0.20485E-03    0.27717E-03    0.30839E-01    0.38127E-08    0.11757E-06    0.27717E-03    0.39913E-03
    26    0.12050E+02    0.17381E-03    0.42786E-04    0.11918E-01    0.31070E-01    0.17381E-03    0.45677E-05    0.22010E-11    0.24680E-08    0.39318E-08    0.42786E-04    0.22010E-11    0.15569E-09    0.46438E-07    0.11830E-06    0.11918E-01    0.24680E-08    0.46438E-07    0.22049E-03    0.29910E-03    0.31070E-01    0.39318E-08    0.11830E-06    0.29910E-03    0.43118E-03
    27    0.11262E+02    0.53818E-06    0.39768E-04    0.12146E-01    0.31275E-01    0.53818E-06    0.86141E-13    0.19188E-11    0.23160E-08    0.36899E-08    0.39768E-04    0.19188E-11    0.14445E-09    0.47299E-07    0.11893E-06    0.12146E-01    0.23160E-08    0.47299E-07    0.23668E-03    0.32185E-03    0.31275E-01    0.36899E-08    0.11893E-06    0.32185E-03    0.46443E-03
    28    0.10469E+02   -0.24430E-03    0.37029E-04    0.12360E-01    0.31455E-01   -0.24430E-03    0.62322E-06    0.15413E-11    0.19569E-08    0.31326E-08    0.37029E-04    0.15413E-11    0.13428E-09    0.48111E-07    0.11949E-06    0.12360E-01    0.19569E-08    0.48111E-07    0.25341E-03    0.34540E-03    0.31455E-01    0.31326E-08    0.11949E-06    0.34540E-03    0.49889E-03
    29    0.97977E+01    0.32485E-06    0.34537E-04    0.12562E-01    0.31612E-01    0.32485E-06    0.45839E-13    0.11349E-11    0.14690E-08    0.23801E-08    0.34537E-04    0.11349E-11    0.12506E-09    0.48874E-07    0.11998E-06    0.12562E-01    0.14690E-08    0.48874E-07    0.27068E-03    0.36974E-03    0.31612E-01    0.23801E-08    0.11998E-06    0.36974E-03    0.53451E-03
    30    0.92290E+01    0.16706E-04    0.32261E-04    0.12751E-01    0.31744E-01    0.16706E-04   -0.21393E-05    0.76061E-12    0.94395E-09    0.15722E-08    0.32261E-04    0.76061E-12    0.11667E-09    0.49590E-07    0.12038E-06    0.12751E-01    0.94395E-09    0.49590E-07    0.28846E-03    0.39485E-03    0.31744E-01    0.15722E-08    0.12038E-06    0.39485E-03    0.57129E-03
