#    L    TT             EE             TE             PP             TP          
     2    0.34108E+03    0.79722E-10   -0.12734E-04    0.97551E+06    0.34068E+05
     3    0.23832E+03    0.24439E-10    0.78472E-05    0.14912E+07    0.37959E+05
     4    0.17875E+03    0.65331E-11    0.63861E-05    0.19418E+07    0.39208E+05
     5    0.14030E+03    0.21836E-11    0.32183E-05    0.23338E+07    0.39212E+05
     6    0.11363E+03    0.89707E-12    0.29848E-05    0.26745E+07    0.38573E+05
     7    0.94179E+02    0.59582E-12    0.41008E-05    0.29714E+07    0.37596E+05
     8    0.79456E+02    0.61825E-12    0.43926E-05    0.32306E+07    0.36447E+05
     9    0.67996E+02    0.50349E-12    0.34112E-05    0.34577E+07    0.35222E+05
    10    0.58863E+02    0.25897E-12    0.20246E-05    0.36567E+07    0.33971E+05
    11    0.51461E+02    0.97008E-13    0.10964E-05    0.38321E+07    0.32732E+05
    12    0.45503E+02    0.10382E-03   -0.23711E-03    0.39858E+07    0.31515E+05
    13    0.40249E+02    0.10881E-12    0.98591E-06    0.41203E+07    0.30330E+05
    14    0.35898E+02   -0.27194E-04    0.79675E-04    0.42385E+07    0.29189E+05
    15    0.32263E+02    0.12489E-12    0.11746E-05    0.43419E+07    0.28092E+05
    16    0.29070E+02   -0.22586E-04    0.32413E-03    0.44321E+07    0.27041E+05
    17    0.26360E+02    0.63719E-13    0.71162E-06    0.45105E+07    0.26036E+05
    18    0.23534E+02    0.11488E-04   -0.52562E-03    0.45785E+07    0.25076E+05
    19    0.21870E+02    0.29004E-13    0.29750E-06    0.46369E+07    0.24159E+05
    20    0.20055E+02    0.10034E-04   -0.10647E-04    0.46862E+07    0.23281E+05
    21    0.18371E+02    0.24613E-13    0.32949E-06    0.47275E+07    0.22443E+05
    22    0.16951E+02   -0.67106E-05   -0.42669E-04    0.47619E+07    0.21643E+05
    23    0.15596E+02    0.66897E-13    0.56330E-06    0.47898E+07    0.20879E+05
    24    0.14396E+02   -0.45945E-05    0.19329E-03    0.48118E+07    0.20150E+05
    25    0.13359E+02    0.10683E-12    0.66725E-06    0.48283E+07    0.19453E+05
