#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    17    0.25605E+02    0.41824E-06    0.91652E-04    0.92932E-02    0.27743E-01    0.41824E-06    0.32347E-13    0.14978E-11    0.72928E-09    0.11091E-08    0.91652E-04    0.14978E-11    0.34024E-09    0.36532E-07    0.10708E-06    0.92932E-02    0.72928E-09    0.36532E-07    0.10085E-03    0.13280E-03    0.27743E-01    0.11091E-08    0.10708E-06    0.13280E-03    0.18849E-03
    18    0.22835E+02   -0.52581E-03    0.83057E-04    0.96724E-02    0.28251E-01   -0.52581E-03    0.11488E-04    0.94816E-12    0.39976E-09    0.64070E-09    0.83057E-04    0.94816E-12    0.30691E-09    0.37965E-07    0.10867E-06    0.96724E-02    0.39976E-09    0.37965E-07    0.11205E-03    0.14817E-03    0.28251E-01    0.64070E-09    0.10867E-06    0.14817E-03    0.21068E-03
    19    0.21220E+02    0.25119E-06    0.75547E-04    0.10031E-01    0.28709E-01    0.25119E-06    0.17751E-13    0.86922E-12    0.24030E-09    0.47610E-09    0.75547E-04    0.86922E-12    0.27800E-09    0.39318E-07    0.11010E-06    0.10031E-01    0.24030E-09    0.39318E-07    0.12381E-03    0.16438E-03    0.28709E-01    0.47610E-09    0.11010E-06    0.16438E-03    0.23412E-03
    20    0.19447E+02   -0.10573E-04    0.68939E-04    0.10368E-01    0.29119E-01   -0.10573E-04    0.10034E-04    0.11632E-11    0.34944E-09    0.72709E-09    0.68939E-04    0.11632E-11    0.25275E-09    0.40594E-07    0.11138E-06    0.10368E-01    0.34944E-09    0.40594E-07    0.13614E-03    0.18143E-03    0.29119E-01    0.72709E-09    0.11138E-06    0.18143E-03    0.25879E-03
    21    0.17800E+02    0.46949E-06    0.63100E-04    0.10687E-01    0.29487E-01    0.46949E-06    0.41635E-13    0.16173E-11    0.66422E-09    0.12734E-08    0.63100E-04    0.16173E-11    0.23058E-09    0.41798E-07    0.11253E-06    0.10687E-01    0.66422E-09    0.41798E-07    0.14904E-03    0.19930E-03    0.29487E-01    0.12734E-08    0.11253E-06    0.19930E-03    0.28470E-03
    22    0.16413E+02   -0.42533E-04    0.57918E-04    0.10989E-01    0.29818E-01   -0.42533E-04   -0.67106E-05    0.20151E-11    0.10761E-08    0.19334E-08    0.57918E-04    0.20151E-11    0.21102E-09    0.42938E-07    0.11356E-06    0.10989E-01    0.10761E-08    0.42938E-07    0.16250E-03    0.21802E-03    0.29818E-01    0.19334E-08    0.11356E-06    0.21802E-03    0.31186E-03
    23    0.15087E+02    0.64215E-06    0.53300E-04    0.11274E-01    0.30112E-01    0.64215E-06    0.79916E-13    0.22414E-11    0.14558E-08    0.25130E-08    0.53300E-04    0.22414E-11    0.19369E-09    0.44014E-07    0.11449E-06    0.11274E-01    0.14558E-08    0.44014E-07    0.17652E-03    0.23756E-03    0.30112E-01    0.25130E-08    0.11449E-06    0.23756E-03    0.34024E-03
    24    0.13914E+02    0.19329E-03    0.49165E-04    0.11543E-01    0.30373E-01    0.19329E-03   -0.45945E-05    0.22313E-11    0.16879E-08    0.28445E-08    0.49165E-04    0.22313E-11    0.17824E-09    0.45029E-07    0.11531E-06    0.11543E-01    0.16879E-08    0.45029E-07    0.19109E-03    0.25792E-03    0.30373E-01    0.28445E-08    0.11531E-06    0.25792E-03    0.36985E-03
    25    0.12901E+02    0.57549E-06    0.45451E-04    0.11796E-01    0.30603E-01    0.57549E-06    0.74267E-13    0.20198E-11    0.17347E-08    0.28796E-08    0.45451E-04    0.20198E-11    0.16443E-09    0.45987E-07    0.11602E-06    0.11796E-01    0.17347E-08    0.45987E-07    0.20622E-03    0.27910E-03    0.30603E-01    0.28796E-08    0.11602E-06    0.27910E-03    0.40066E-03
    26    0.11909E+02    0.17367E-03    0.42103E-04    0.12035E-01    0.30805E-01    0.17367E-03    0.45677E-05    0.16712E-11    0.15894E-08    0.26176E-08    0.42103E-04    0.16712E-11    0.15204E-09    0.46890E-07    0.11665E-06    0.12035E-01    0.15894E-08    0.46890E-07    0.22189E-03    0.30109E-03    0.30805E-01    0.26176E-08    0.11665E-06    0.30109E-03    0.43267E-03
