#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2    0.32879E+03   -0.11884E-04    0.14414E-02   -0.20671E-03    0.93038E-02   -0.11884E-04    0.75488E-10   -0.39993E-10   -0.10111E-08    0.43373E-09    0.14414E-02   -0.39993E-10    0.76048E-08   -0.10367E-08    0.47073E-07   -0.20671E-03   -0.10111E-08   -0.10367E-08    0.24469E-05    0.27066E-05    0.93038E-02    0.43373E-09    0.47073E-07    0.27066E-05    0.37617E-05
     3    0.23049E+03    0.75948E-05    0.95447E-03    0.67104E-03    0.11569E-01    0.75948E-05    0.23226E-10    0.28017E-10   -0.58937E-10    0.59567E-09    0.95447E-03    0.28017E-10    0.46021E-08    0.30450E-08    0.54801E-07    0.67104E-03   -0.58937E-10    0.30450E-08    0.47435E-05    0.54340E-05    0.11569E-01    0.59567E-09    0.54801E-07    0.54340E-05    0.75040E-05
     4    0.17327E+03    0.61384E-05    0.69463E-03    0.15383E-02    0.13622E-01    0.61384E-05    0.62323E-11    0.22567E-10    0.46351E-09    0.77981E-09    0.69463E-03    0.22567E-10    0.31649E-08    0.66810E-08    0.61841E-07    0.15383E-02    0.46351E-09    0.66810E-08    0.77092E-05    0.90476E-05    0.13622E-01    0.77981E-09    0.61841E-07    0.90476E-05    0.12485E-04
     5    0.13624E+03    0.31104E-05    0.53437E-03    0.23843E-02    0.15498E-01    0.31104E-05    0.20883E-11    0.11604E-10    0.41549E-09    0.54847E-09    0.53437E-03    0.11604E-10    0.23398E-08    0.10071E-07    0.68228E-07    0.23843E-02    0.41549E-09    0.10071E-07    0.11322E-04    0.13537E-04    0.15498E-01    0.54847E-09    0.68228E-07    0.13537E-04    0.18705E-04
     6    0.11051E+03    0.29240E-05    0.42643E-03    0.31895E-02    0.17195E-01    0.29240E-05    0.86088E-12    0.10334E-10    0.48518E-10    0.34707E-09    0.42643E-03    0.10334E-10    0.18121E-08    0.13229E-07    0.73932E-07    0.31895E-02    0.48518E-10    0.13229E-07    0.15564E-04    0.18888E-04    0.17195E-01    0.34707E-09    0.73932E-07    0.18888E-04    0.26152E-04
     7    0.91699E+02    0.40089E-05    0.34936E-03    0.39420E-02    0.18725E-01    0.40089E-05    0.57875E-12    0.13923E-10    0.38825E-09    0.11685E-08    0.34936E-03    0.13923E-10    0.14501E-08    0.16149E-07    0.79012E-07    0.39420E-02    0.38825E-09    0.16149E-07    0.20420E-04    0.25090E-04    0.18725E-01    0.11685E-08    0.79012E-07    0.25090E-04    0.34825E-04
     8    0.77445E+02    0.42646E-05    0.29200E-03    0.46432E-02    0.20107E-01    0.42646E-05    0.60023E-12    0.15112E-10    0.12328E-08    0.22475E-08    0.29200E-03    0.15112E-10    0.11891E-08    0.18850E-07    0.83553E-07    0.46432E-02    0.12328E-08    0.18850E-07    0.25872E-04    0.32129E-04    0.20107E-01    0.22475E-08    0.83553E-07    0.32129E-04    0.44715E-04
     9    0.66337E+02    0.32869E-05    0.24794E-03    0.52998E-02    0.21363E-01    0.32869E-05    0.48373E-12    0.11942E-10    0.14975E-08    0.22877E-08    0.24794E-03    0.11942E-10    0.99383E-09    0.21368E-07    0.87643E-07    0.52998E-02    0.14975E-08    0.21368E-07    0.31916E-04    0.40006E-04    0.21363E-01    0.22877E-08    0.87643E-07    0.40006E-04    0.55832E-04
    10    0.57474E+02    0.19375E-05    0.21323E-03    0.59130E-02    0.22499E-01    0.19375E-05    0.24590E-12    0.71393E-11    0.91324E-09    0.13209E-08    0.21323E-03    0.71393E-11    0.84331E-09    0.23712E-07    0.91318E-07    0.59130E-02    0.91324E-09    0.23712E-07    0.38542E-04    0.48713E-04    0.22499E-01    0.13209E-08    0.91318E-07    0.48713E-04    0.68170E-04
    11    0.50284E+02    0.10506E-05    0.18535E-03    0.64899E-02    0.23536E-01    0.10506E-05    0.92728E-13    0.37661E-11    0.14345E-09    0.35803E-09    0.18535E-03    0.37661E-11    0.72474E-09    0.25909E-07    0.94653E-07    0.64899E-02    0.14345E-09    0.25909E-07    0.45750E-04    0.58257E-04    0.23536E-01    0.35803E-09    0.94653E-07    0.58257E-04    0.81744E-04
    12    0.44496E+02   -0.23714E-03    0.16253E-03    0.70308E-02    0.24477E-01   -0.23714E-03    0.10382E-03    0.27813E-11   -0.12026E-09    0.19294E-09    0.16253E-03    0.27813E-11    0.62921E-09    0.27966E-07    0.97658E-07    0.70308E-02   -0.12026E-09    0.27966E-07    0.53533E-04    0.68632E-04    0.24477E-01    0.19294E-09    0.97658E-07    0.68632E-04    0.96550E-04
    13    0.39380E+02    0.96983E-06    0.14364E-03    0.75387E-02    0.25330E-01    0.96983E-06    0.10836E-12    0.31922E-11    0.11314E-09    0.67165E-09    0.14364E-03    0.31922E-11    0.55130E-09    0.29893E-07    0.10037E-06    0.75387E-02    0.11314E-09    0.29893E-07    0.61891E-04    0.79840E-04    0.25330E-01    0.67165E-09    0.10037E-06    0.79840E-04    0.11259E-03
    14    0.35141E+02    0.79653E-04    0.12776E-03    0.80169E-02    0.26107E-01    0.79653E-04   -0.27194E-04    0.37793E-11    0.62436E-09    0.13978E-08    0.12776E-03    0.37793E-11    0.48668E-09    0.31705E-07    0.10283E-06    0.80169E-02    0.62436E-09    0.31705E-07    0.70823E-04    0.91885E-04    0.26107E-01    0.13978E-08    0.10283E-06    0.91885E-04    0.12988E-03
    15    0.31601E+02    0.11447E-05    0.11431E-03    0.84678E-02    0.26815E-01    0.11447E-05    0.12117E-12    0.39355E-11    0.10598E-08    0.19116E-08    0.11431E-03    0.39355E-11    0.43255E-09    0.33412E-07    0.10506E-06    0.84678E-02    0.10598E-08    0.33412E-07    0.80330E-04    0.10477E-03    0.26815E-01    0.19116E-08    0.10506E-06    0.10477E-03    0.14843E-03
    16    0.28486E+02    0.32409E-03    0.10280E-03    0.88930E-02    0.27458E-01    0.32409E-03   -0.22586E-04    0.33679E-11    0.11257E-08    0.18653E-08    0.10280E-03    0.33679E-11    0.38669E-09    0.35020E-07    0.10709E-06    0.88930E-02    0.11257E-08    0.35020E-07    0.90410E-04    0.11849E-03    0.27458E-01    0.18653E-08    0.10709E-06    0.11849E-03    0.16822E-03
    17    0.25843E+02    0.68311E-06    0.92874E-04    0.92946E-02    0.28043E-01    0.68311E-06    0.60660E-13    0.24287E-11    0.90264E-09    0.14231E-08    0.92874E-04    0.24287E-11    0.34753E-09    0.36539E-07    0.10894E-06    0.92946E-02    0.90264E-09    0.36539E-07    0.10107E-03    0.13306E-03    0.28043E-01    0.14231E-08    0.10894E-06    0.13306E-03    0.18928E-03
    18    0.23075E+02   -0.52564E-03    0.84251E-04    0.96745E-02    0.28576E-01   -0.52564E-03    0.11488E-04    0.15750E-11    0.56809E-09    0.87493E-09    0.84251E-04    0.15750E-11    0.31378E-09    0.37975E-07    0.11062E-06    0.96745E-02    0.56809E-09    0.37975E-07    0.11230E-03    0.14848E-03    0.28576E-01    0.87493E-09    0.11062E-06    0.14848E-03    0.21161E-03
    19    0.21459E+02    0.28575E-06    0.76714E-04    0.10034E-01    0.29060E-01    0.28575E-06    0.27445E-13    0.10396E-11    0.31410E-09    0.50092E-09    0.76714E-04    0.10396E-11    0.28452E-09    0.39331E-07    0.11214E-06    0.10034E-01    0.31410E-09    0.39331E-07    0.12410E-03    0.16474E-03    0.29060E-01    0.50092E-09    0.11214E-06    0.16474E-03    0.23519E-03
    20    0.19686E+02   -0.10652E-04    0.70079E-04    0.10372E-01    0.29496E-01   -0.10652E-04    0.10034E-04    0.94303E-12    0.30225E-09    0.52622E-09    0.70079E-04    0.94303E-12    0.25893E-09    0.40611E-07    0.11350E-06    0.10372E-01    0.30225E-09    0.40611E-07    0.13648E-03    0.18184E-03    0.29496E-01    0.52622E-09    0.11350E-06    0.18184E-03    0.26003E-03
    21    0.18039E+02    0.32765E-06    0.64215E-04    0.10692E-01    0.29890E-01    0.32765E-06    0.24289E-13    0.11809E-11    0.55765E-09    0.96558E-09    0.64215E-04    0.11809E-11    0.23647E-09    0.41821E-07    0.11474E-06    0.10692E-01    0.55765E-09    0.41821E-07    0.14943E-03    0.19978E-03    0.29890E-01    0.96558E-09    0.11474E-06    0.19978E-03    0.28612E-03
    22    0.16651E+02   -0.42671E-04    0.59007E-04    0.10996E-01    0.30246E-01   -0.42671E-04   -0.67106E-05    0.15909E-11    0.10430E-08    0.17424E-08    0.59007E-04    0.15909E-11    0.21663E-09    0.42966E-07    0.11586E-06    0.10996E-01    0.10430E-08    0.42966E-07    0.16294E-03    0.21857E-03    0.30246E-01    0.17424E-08    0.11586E-06    0.21857E-03    0.31348E-03
    23    0.15324E+02    0.55821E-06    0.54365E-04    0.11282E-01    0.30567E-01    0.55821E-06    0.66522E-13    0.20040E-11    0.16080E-08    0.26253E-08    0.54365E-04    0.20040E-11    0.19905E-09    0.44049E-07    0.11686E-06    0.11282E-01    0.16080E-08    0.44049E-07    0.17703E-03    0.23820E-03    0.30567E-01    0.26253E-08    0.11686E-06    0.23820E-03    0.34209E-03
    24    0.14149E+02    0.19328E-03    0.50206E-04    0.11553E-01    0.30854E-01    0.19328E-03   -0.45945E-05    0.22733E-11    0.20908E-08    0.33701E-08    0.50206E-04    0.22733E-11    0.18337E-09    0.45071E-07    0.11776E-06    0.11553E-01    0.20908E-08    0.45071E-07    0.19168E-03    0.25866E-03    0.30854E-01    0.33701E-08    0.11776E-06    0.25866E-03    0.37194E-03
    25    0.13134E+02    0.65419E-06    0.46468E-04    0.11808E-01    0.31110E-01    0.65419E-06    0.10426E-12    0.23460E-11    0.23980E-08    0.38370E-08    0.46468E-04    0.23460E-11    0.16934E-09    0.46036E-07    0.11856E-06    0.11808E-01    0.23980E-08    0.46036E-07    0.20689E-03    0.27995E-03    0.31110E-01    0.38370E-08    0.11856E-06    0.27995E-03    0.40302E-03
    26    0.12141E+02    0.17381E-03    0.43098E-04    0.12049E-01    0.31338E-01    0.17381E-03    0.45677E-05    0.22092E-11    0.24688E-08    0.39361E-08    0.43098E-04    0.22092E-11    0.15675E-09    0.46948E-07    0.11927E-06    0.12049E-01    0.24688E-08    0.46948E-07    0.22265E-03    0.30206E-03    0.31338E-01    0.39361E-08    0.11927E-06    0.30206E-03    0.43532E-03
    27    0.11345E+02    0.53737E-06    0.40051E-04    0.12277E-01    0.31539E-01    0.53737E-06    0.85151E-13    0.19137E-11    0.23046E-08    0.36740E-08    0.40051E-04    0.19137E-11    0.14541E-09    0.47809E-07    0.11990E-06    0.12277E-01    0.23046E-08    0.47809E-07    0.23897E-03    0.32498E-03    0.31539E-01    0.36740E-08    0.11990E-06    0.32498E-03    0.46884E-03
    28    0.10544E+02   -0.24430E-03    0.37286E-04    0.12492E-01    0.31716E-01   -0.24430E-03    0.62322E-06    0.15265E-11    0.19352E-08    0.30996E-08    0.37286E-04    0.15265E-11    0.13515E-09    0.48621E-07    0.12044E-06    0.12492E-01    0.19352E-08    0.48621E-07    0.25583E-03    0.34872E-03    0.31716E-01    0.30996E-08    0.12044E-06    0.34872E-03    0.50355E-03
    29    0.98663E+01    0.31974E-06    0.34771E-04    0.12693E-01    0.31869E-01    0.31974E-06    0.44770E-13    0.11148E-11    0.14412E-08    0.23370E-08    0.34771E-04    0.11148E-11    0.12585E-09    0.49384E-07    0.12092E-06    0.12693E-01    0.14412E-08    0.49384E-07    0.27322E-03    0.37324E-03    0.31869E-01    0.23370E-08    0.12092E-06    0.37324E-03    0.53944E-03
    30    0.92916E+01    0.16701E-04    0.32474E-04    0.12882E-01    0.31997E-01    0.16701E-04   -0.21393E-05    0.73981E-12    0.91635E-09    0.15287E-08    0.32474E-04    0.73981E-12    0.11739E-09    0.50098E-07    0.12131E-06    0.12882E-01    0.91635E-09    0.50098E-07    0.29114E-03    0.39854E-03    0.31997E-01    0.15287E-08    0.12131E-06    0.39854E-03    0.57648E-03
    31    0.86302E+01    0.13430E-06    0.30374E-04    0.13059E-01    0.32105E-01    0.13430E-06    0.25174E-13    0.43882E-12    0.45548E-09    0.81627E-09    0.30374E-04    0.43882E-12    0.10967E-09    0.50768E-07    0.12164E-06    0.13059E-01    0.45548E-09    0.50768E-07    0.30958E-03    0.42461E-03    0.32105E-01    0.81627E-09    0.12164E-06    0.42461E-03    0.61466E-03
    32    0.80562E+01    0.16031E-03    0.28451E-04    0.13225E-01    0.32194E-01    0.16031E-03    0.18985E-05    0.23716E-12    0.14012E-09    0.32117E-09    0.28451E-04    0.23716E-12    0.10262E-09    0.51395E-07    0.12190E-06    0.13225E-01    0.14012E-09    0.51395E-07    0.32852E-03    0.45143E-03    0.32194E-01    0.32117E-09    0.12190E-06    0.45143E-03    0.65396E-03
    33    0.75897E+01    0.49104E-07    0.26685E-04    0.13380E-01    0.32265E-01    0.49104E-07    0.20604E-13    0.13654E-12   -0.35536E-11    0.84906E-10    0.26685E-04    0.13654E-12    0.96163E-10    0.51982E-07    0.12210E-06    0.13380E-01   -0.35536E-11    0.51982E-07    0.34797E-03    0.47899E-03    0.32265E-01    0.84906E-10    0.12210E-06    0.47899E-03    0.69435E-03
    34    0.71131E+01   -0.27666E-03    0.25062E-04    0.13524E-01    0.32319E-01   -0.27666E-03    0.58091E-06    0.12944E-12    0.31318E-10    0.12022E-09    0.25062E-04    0.12944E-12    0.90237E-10    0.52530E-07    0.12225E-06    0.13524E-01    0.31318E-10    0.52530E-07    0.36790E-03    0.50728E-03    0.32319E-01    0.12022E-09    0.12225E-06    0.50728E-03    0.73580E-03
    35    0.67070E+01    0.61439E-07    0.23565E-04    0.13659E-01    0.32358E-01    0.61439E-07    0.16730E-13    0.19498E-12    0.22964E-09    0.40485E-09    0.23565E-04    0.19498E-12    0.84787E-10    0.53039E-07    0.12235E-06    0.13659E-01    0.22964E-09    0.53039E-07    0.38831E-03    0.53627E-03    0.32358E-01    0.40485E-09    0.12235E-06    0.53627E-03    0.77830E-03
    36    0.63709E+01    0.46383E-03    0.22183E-04    0.13784E-01    0.32381E-01    0.46383E-03   -0.13653E-06    0.30877E-12    0.56774E-09    0.90281E-09    0.22183E-04    0.30877E-12    0.79765E-10    0.53512E-07    0.12240E-06    0.13784E-01    0.56774E-09    0.53512E-07    0.40918E-03    0.56594E-03    0.32381E-01    0.90281E-09    0.12240E-06    0.56594E-03    0.82182E-03
