#    L    TT             EE             TE             PP             TP          
     2    0.35384E+03    0.84048E-10   -0.13616E-04    0.10053E+07    0.35268E+05
     3    0.24643E+03    0.25673E-10    0.80909E-05    0.15334E+07    0.39179E+05
     4    0.18440E+03    0.68356E-11    0.66147E-05    0.19938E+07    0.40385E+05
     5    0.14448E+03    0.22755E-11    0.33261E-05    0.23935E+07    0.40325E+05
     6    0.11685E+03    0.93178E-12    0.30756E-05    0.27402E+07    0.39615E+05
     7    0.96724E+02    0.61634E-12    0.42243E-05    0.30417E+07    0.38568E+05
     8    0.81515E+02    0.63821E-12    0.45246E-05    0.33045E+07    0.37353E+05
     9    0.69693E+02    0.51954E-12    0.35125E-05    0.35344E+07    0.36068E+05
    10    0.60281E+02    0.26725E-12    0.20830E-05    0.37355E+07    0.34759E+05
    11    0.52660E+02    0.10008E-12    0.11260E-05    0.39125E+07    0.33469E+05
    12    0.46527E+02    0.10382E-03   -0.23709E-03    0.40673E+07    0.32204E+05
    13    0.41132E+02    0.11178E-12    0.10095E-05    0.42026E+07    0.30975E+05
    14    0.36664E+02   -0.27194E-04    0.79702E-04    0.43211E+07    0.29793E+05
    15    0.32933E+02    0.12814E-12    0.12024E-05    0.44246E+07    0.28659E+05
    16    0.29659E+02   -0.22586E-04    0.32415E-03    0.45147E+07    0.27573E+05
    17    0.26880E+02    0.65299E-13    0.72783E-06    0.45929E+07    0.26536E+05
    18    0.23997E+02    0.11488E-04   -0.52561E-03    0.46604E+07    0.25547E+05
    19    0.22282E+02    0.29694E-13    0.30384E-06    0.47182E+07    0.24603E+05
    20    0.20424E+02    0.10034E-04   -0.10642E-04    0.47668E+07    0.23700E+05
    21    0.18702E+02    0.25185E-13    0.33653E-06    0.48073E+07    0.22838E+05
    22    0.17249E+02   -0.67106E-05   -0.42659E-04    0.48408E+07    0.22017E+05
    23    0.15866E+02    0.68381E-13    0.57524E-06    0.48677E+07    0.21233E+05
    24    0.14641E+02   -0.45945E-05    0.19331E-03    0.48886E+07    0.20485E+05
    25    0.13581E+02    0.10912E-12    0.68097E-06    0.49041E+07    0.19770E+05
    26    0.12549E+02    0.45677E-05    0.17384E-03    0.49146E+07    0.19087E+05
    27    0.11718E+02    0.90656E-13    0.56511E-06    0.49208E+07    0.18435E+05
    28    0.10886E+02    0.62322E-06   -0.24428E-03    0.49228E+07    0.17812E+05
    29    0.10179E+02    0.48166E-13    0.34019E-06    0.49210E+07    0.17215E+05
    30    0.95795E+01   -0.21393E-05    0.16716E-04    0.49154E+07    0.16643E+05
    31    0.88953E+01    0.26797E-13    0.14477E-06    0.49065E+07    0.16095E+05
    32    0.83007E+01    0.18985E-05    0.16031E-03    0.48948E+07    0.15571E+05
    33    0.78156E+01    0.21729E-13    0.51746E-07    0.48805E+07    0.15068E+05
    34    0.73221E+01    0.58091E-06   -0.27666E-03    0.48639E+07    0.14587E+05
    35    0.69006E+01    0.17586E-13    0.60634E-07    0.48450E+07    0.14125E+05
    36    0.65505E+01   -0.13653E-06    0.46383E-03    0.48242E+07    0.13682E+05
    37    0.61199E+01    0.16015E-13    0.12637E-06    0.48015E+07    0.13256E+05
    38    0.57473E+01    0.41830E-05   -0.55391E-03    0.47772E+07    0.12848E+05
    39    0.54740E+01    0.55145E-05   -0.64610E-03    0.47514E+07    0.12456E+05
    40    0.51496E+01    0.27553E-13    0.22409E-06    0.47242E+07    0.12079E+05
    41    0.49778E+01   -0.10177E-04    0.12921E-02    0.46957E+07    0.11717E+05
    42    0.47207E+01   -0.18179E-04    0.24752E-02    0.46660E+07    0.11368E+05
    43    0.44943E+01   -0.16190E-04    0.26483E-02    0.46352E+07    0.11033E+05
    44    0.41175E+01   -0.11250E-04    0.18018E-02    0.46035E+07    0.10710E+05
    45    0.39294E+01    0.33156E-13    0.22117E-06    0.45709E+07    0.10399E+05
    46    0.38309E+01    0.21386E-04   -0.44408E-02    0.45377E+07    0.10100E+05
    47    0.36798E+01    0.45231E-04   -0.10322E-01    0.45037E+07    0.98113E+04
    48    0.34163E+01    0.68040E-04   -0.13066E-01    0.44692E+07    0.95335E+04
    49    0.31288E+01    0.64032E-04   -0.86922E-02    0.44342E+07    0.92658E+04
    50    0.30544E+01    0.10173E-13    0.99341E-07    0.43988E+07    0.90078E+04
    51    0.29797E+01   -0.15865E-03    0.87114E-02    0.43630E+07    0.87589E+04
