#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    17    0.25823E+02    0.65737E-06    0.92770E-04    0.92945E-02    0.28018E-01    0.65737E-06    0.57611E-13    0.23379E-11    0.89103E-09    0.13980E-08    0.92770E-04    0.23379E-11    0.34691E-09    0.36538E-07    0.10878E-06    0.92945E-02    0.89103E-09    0.36538E-07    0.10105E-03    0.13304E-03    0.28018E-01    0.13980E-08    0.10878E-06    0.13304E-03    0.18921E-03
    18    0.23054E+02   -0.52566E-03    0.84150E-04    0.96744E-02    0.28549E-01   -0.52566E-03    0.11488E-04    0.14992E-11    0.55698E-09    0.85506E-09    0.84150E-04    0.14992E-11    0.31321E-09    0.37974E-07    0.11046E-06    0.96744E-02    0.55698E-09    0.37974E-07    0.11228E-03    0.14845E-03    0.28549E-01    0.85506E-09    0.11046E-06    0.14845E-03    0.21153E-03
    19    0.21439E+02    0.27541E-06    0.76615E-04    0.10033E-01    0.29030E-01    0.27541E-06    0.25744E-13    0.10004E-11    0.31301E-09    0.50124E-09    0.76615E-04    0.10004E-11    0.28397E-09    0.39330E-07    0.11197E-06    0.10033E-01    0.31301E-09    0.39330E-07    0.12408E-03    0.16471E-03    0.29030E-01    0.50124E-09    0.11197E-06    0.16471E-03    0.23510E-03
    20    0.19666E+02   -0.10651E-04    0.69983E-04    0.10372E-01    0.29464E-01   -0.10651E-04    0.10034E-04    0.94423E-12    0.31584E-09    0.55310E-09    0.69983E-04    0.94423E-12    0.25842E-09    0.40610E-07    0.11333E-06    0.10372E-01    0.31584E-09    0.40610E-07    0.13645E-03    0.18180E-03    0.29464E-01    0.55310E-09    0.11333E-06    0.18180E-03    0.25992E-03
    21    0.18019E+02    0.33795E-06    0.64120E-04    0.10692E-01    0.29856E-01    0.33795E-06    0.24864E-13    0.12131E-11    0.58258E-09    0.10126E-08    0.64120E-04    0.12131E-11    0.23597E-09    0.41819E-07    0.11455E-06    0.10692E-01    0.58258E-09    0.41819E-07    0.14939E-03    0.19974E-03    0.29856E-01    0.10126E-08    0.11455E-06    0.19974E-03    0.28600E-03
    22    0.16631E+02   -0.42657E-04    0.58915E-04    0.10995E-01    0.30210E-01   -0.42657E-04   -0.67106E-05    0.16353E-11    0.10687E-08    0.17917E-08    0.58915E-04    0.16353E-11    0.21616E-09    0.42963E-07    0.11566E-06    0.10995E-01    0.10687E-08    0.42963E-07    0.16290E-03    0.21852E-03    0.30210E-01    0.17917E-08    0.11566E-06    0.21852E-03    0.31334E-03
    23    0.15304E+02    0.57045E-06    0.54275E-04    0.11281E-01    0.30529E-01    0.57045E-06    0.68517E-13    0.20426E-11    0.16227E-08    0.26578E-08    0.54275E-04    0.20426E-11    0.19860E-09    0.44046E-07    0.11666E-06    0.11281E-01    0.16227E-08    0.44046E-07    0.17698E-03    0.23814E-03    0.30529E-01    0.26578E-08    0.11666E-06    0.23814E-03    0.34193E-03
    24    0.14130E+02    0.19329E-03    0.50118E-04    0.11552E-01    0.30813E-01    0.19329E-03   -0.45945E-05    0.22920E-11    0.20847E-08    0.33693E-08    0.50118E-04    0.22920E-11    0.18294E-09    0.45067E-07    0.11756E-06    0.11552E-01    0.20847E-08    0.45067E-07    0.19163E-03    0.25859E-03    0.30813E-01    0.33693E-08    0.11756E-06    0.25859E-03    0.37176E-03
    25    0.13115E+02    0.65350E-06    0.46382E-04    0.11807E-01    0.31067E-01    0.65350E-06    0.10322E-12    0.23386E-11    0.23663E-08    0.37948E-08    0.46382E-04    0.23386E-11    0.16893E-09    0.46031E-07    0.11835E-06    0.11807E-01    0.23663E-08    0.46031E-07    0.20683E-03    0.27987E-03    0.31067E-01    0.37948E-08    0.11835E-06    0.27987E-03    0.40282E-03
    26    0.12121E+02    0.17380E-03    0.43014E-04    0.12048E-01    0.31293E-01    0.17380E-03    0.45677E-05    0.21769E-11    0.24126E-08    0.38538E-08    0.43014E-04    0.21769E-11    0.15635E-09    0.46943E-07    0.11905E-06    0.12048E-01    0.24126E-08    0.46943E-07    0.22258E-03    0.30197E-03    0.31293E-01    0.38538E-08    0.11905E-06    0.30197E-03    0.43510E-03
    27    0.11326E+02    0.52426E-06    0.39968E-04    0.12276E-01    0.31492E-01    0.52426E-06    0.81204E-13    0.18626E-11    0.22292E-08    0.35593E-08    0.39968E-04    0.18626E-11    0.14503E-09    0.47804E-07    0.11967E-06    0.12276E-01    0.22292E-08    0.47804E-07    0.23889E-03    0.32489E-03    0.31492E-01    0.35593E-08    0.11967E-06    0.32489E-03    0.46858E-03
    28    0.10525E+02   -0.24432E-03    0.37206E-04    0.12490E-01    0.31667E-01   -0.24432E-03    0.62322E-06    0.14659E-11    0.18491E-08    0.29663E-08    0.37206E-04    0.14659E-11    0.13479E-09    0.48614E-07    0.12021E-06    0.12490E-01    0.18491E-08    0.48614E-07    0.25574E-03    0.34861E-03    0.31667E-01    0.29663E-08    0.12021E-06    0.34861E-03    0.50327E-03
    29    0.98473E+01    0.30347E-06    0.34692E-04    0.12691E-01    0.31817E-01    0.30347E-06    0.41726E-13    0.10538E-11    0.13556E-08    0.22028E-08    0.34692E-04    0.10538E-11    0.12550E-09    0.49376E-07    0.12068E-06    0.12691E-01    0.13556E-08    0.49376E-07    0.27313E-03    0.37312E-03    0.31817E-01    0.22028E-08    0.12068E-06    0.37312E-03    0.53913E-03
    30    0.92728E+01    0.16686E-04    0.32397E-04    0.12880E-01    0.31944E-01    0.16686E-04   -0.21393E-05    0.68644E-12    0.84349E-09    0.14129E-08    0.32397E-04    0.68644E-12    0.11705E-09    0.50089E-07    0.12107E-06    0.12880E-01    0.84349E-09    0.50089E-07    0.29103E-03    0.39840E-03    0.31944E-01    0.14129E-08    0.12107E-06    0.39840E-03    0.57613E-03
    31    0.86116E+01    0.12344E-06    0.30299E-04    0.13056E-01    0.32049E-01    0.12344E-06    0.23947E-13    0.39879E-12    0.40442E-09    0.73349E-09    0.30299E-04    0.39879E-12    0.10934E-09    0.50758E-07    0.12138E-06    0.13056E-01    0.40442E-09    0.50758E-07    0.30945E-03    0.42445E-03    0.32049E-01    0.73349E-09    0.12138E-06    0.42445E-03    0.61427E-03
    32    0.80378E+01    0.16030E-03    0.28377E-04    0.13222E-01    0.32136E-01    0.16030E-03    0.18985E-05    0.21354E-12    0.11526E-09    0.27904E-09    0.28377E-04    0.21354E-12    0.10230E-09    0.51384E-07    0.12164E-06    0.13222E-01    0.11526E-09    0.51384E-07    0.32839E-03    0.45125E-03    0.32136E-01    0.27904E-09    0.12164E-06    0.45125E-03    0.65352E-03
    33    0.75716E+01    0.47235E-07    0.26614E-04    0.13376E-01    0.32205E-01    0.47235E-07    0.19900E-13    0.12979E-12   -0.25742E-11    0.83800E-10    0.26614E-04    0.12979E-12    0.95858E-10    0.51969E-07    0.12184E-06    0.13376E-01   -0.25742E-11    0.51969E-07    0.34781E-03    0.47879E-03    0.32205E-01    0.83800E-10    0.12184E-06    0.47879E-03    0.69387E-03
    34    0.70952E+01   -0.27666E-03    0.24991E-04    0.13521E-01    0.32257E-01   -0.27666E-03    0.58091E-06    0.13760E-12    0.53728E-10    0.15419E-09    0.24991E-04    0.13760E-12    0.89942E-10    0.52516E-07    0.12198E-06    0.13521E-01    0.53728E-10    0.52516E-07    0.36773E-03    0.50705E-03    0.32257E-01    0.15419E-09    0.12198E-06    0.50705E-03    0.73528E-03
    35    0.66894E+01    0.66877E-07    0.23496E-04    0.13655E-01    0.32294E-01    0.66877E-07    0.16261E-13    0.21463E-12    0.26798E-09    0.46565E-09    0.23496E-04    0.21463E-12    0.84502E-10    0.53024E-07    0.12207E-06    0.13655E-01    0.26798E-09    0.53024E-07    0.38812E-03    0.53601E-03    0.32294E-01    0.46565E-09    0.12207E-06    0.53601E-03    0.77772E-03
    36    0.63535E+01    0.46384E-03    0.22116E-04    0.13779E-01    0.32315E-01    0.46384E-03   -0.13653E-06    0.33552E-12    0.61575E-09    0.98050E-09    0.22116E-04    0.33552E-12    0.79488E-10    0.53495E-07    0.12212E-06    0.13779E-01    0.61575E-09    0.53495E-07    0.40896E-03    0.56565E-03    0.32315E-01    0.98050E-09    0.12212E-06    0.56565E-03    0.82118E-03
    37    0.59359E+01    0.13480E-06    0.20840E-04    0.13894E-01    0.32322E-01    0.13480E-06    0.15910E-13    0.47527E-12    0.10586E-08    0.16394E-08    0.20840E-04    0.47527E-12    0.74861E-10    0.53929E-07    0.12211E-06    0.13894E-01    0.10586E-08    0.53929E-07    0.43025E-03    0.59596E-03    0.32322E-01    0.16394E-08    0.12211E-06    0.59596E-03    0.86562E-03
    38    0.55753E+01   -0.55390E-03    0.19658E-04    0.13999E-01    0.32315E-01   -0.55390E-03    0.41830E-05    0.61121E-12    0.15516E-08    0.23737E-08    0.19658E-04    0.61121E-12    0.70582E-10    0.54327E-07    0.12206E-06    0.13999E-01    0.15516E-08    0.54327E-07    0.45197E-03    0.62690E-03    0.32315E-01    0.23737E-08    0.12206E-06    0.62690E-03    0.91099E-03
    39    0.53129E+01   -0.64610E-03    0.18562E-04    0.14095E-01    0.32294E-01   -0.64610E-03    0.55145E-05    0.72963E-12    0.20382E-08    0.30993E-08    0.18562E-04    0.72963E-12    0.66619E-10    0.54690E-07    0.12196E-06    0.14095E-01    0.20382E-08    0.54690E-07    0.47411E-03    0.65845E-03    0.32294E-01    0.30993E-08    0.12196E-06    0.65845E-03    0.95727E-03
    40    0.49986E+01    0.22511E-06    0.17544E-04    0.14182E-01    0.32261E-01    0.22511E-06    0.27964E-13    0.81905E-12    0.24588E-08    0.37280E-08    0.17544E-04    0.81905E-12    0.62943E-10    0.55018E-07    0.12182E-06    0.14182E-01    0.24588E-08    0.55018E-07    0.49664E-03    0.69060E-03    0.32261E-01    0.37280E-08    0.12182E-06    0.69060E-03    0.10044E-02
    41    0.48361E+01    0.12921E-02    0.16596E-04    0.14260E-01    0.32216E-01    0.12921E-02   -0.10177E-04    0.87073E-12    0.27640E-08    0.41868E-08    0.16596E-04    0.87073E-12    0.59524E-10    0.55313E-07    0.12163E-06    0.14260E-01    0.27640E-08    0.55313E-07    0.51955E-03    0.72330E-03    0.32216E-01    0.41868E-08    0.12163E-06    0.72330E-03    0.10524E-02
    42    0.45875E+01    0.24752E-02    0.15712E-04    0.14329E-01    0.32159E-01    0.24752E-02   -0.18179E-04    0.88674E-12    0.29451E-08    0.44628E-08    0.15712E-04    0.88674E-12    0.56342E-10    0.55575E-07    0.12141E-06    0.14329E-01    0.29451E-08    0.55575E-07    0.54282E-03    0.75655E-03    0.32159E-01    0.44628E-08    0.12141E-06    0.75655E-03    0.11012E-02
    43    0.43690E+01    0.26483E-02    0.14889E-04    0.14391E-01    0.32091E-01    0.26483E-02   -0.16190E-04    0.87188E-12    0.30037E-08    0.45581E-08    0.14889E-04    0.87188E-12    0.53379E-10    0.55806E-07    0.12115E-06    0.14391E-01    0.30037E-08    0.55806E-07    0.56645E-03    0.79032E-03    0.32091E-01    0.45581E-08    0.12115E-06    0.79032E-03    0.11507E-02
    44    0.39996E+01    0.18018E-02    0.14121E-04    0.14444E-01    0.32013E-01    0.18018E-02   -0.11250E-04    0.83097E-12    0.29413E-08    0.44750E-08    0.14121E-04    0.83097E-12    0.50618E-10    0.56008E-07    0.12085E-06    0.14444E-01    0.29413E-08    0.56008E-07    0.59042E-03    0.82460E-03    0.32013E-01    0.44750E-08    0.12085E-06    0.82460E-03    0.12010E-02
    45    0.38182E+01    0.20944E-06    0.13403E-04    0.14490E-01    0.31926E-01    0.20944E-06    0.30694E-13    0.76879E-12    0.27592E-08    0.42156E-08    0.13403E-04    0.76879E-12    0.48038E-10    0.56180E-07    0.12052E-06    0.14490E-01    0.27592E-08    0.56180E-07    0.61471E-03    0.85937E-03    0.31926E-01    0.42156E-08    0.12052E-06    0.85937E-03    0.12521E-02
    46    0.37259E+01   -0.44409E-02    0.12731E-04    0.14529E-01    0.31830E-01   -0.44409E-02    0.21386E-04    0.69035E-12    0.24642E-08    0.37895E-08    0.12731E-04    0.69035E-12    0.45625E-10    0.56326E-07    0.12015E-06    0.14529E-01    0.24642E-08    0.56326E-07    0.63932E-03    0.89460E-03    0.31830E-01    0.37895E-08    0.12015E-06    0.89460E-03    0.13038E-02
    47    0.35807E+01   -0.10322E-01    0.12100E-04    0.14561E-01    0.31726E-01   -0.10322E-01    0.45231E-04    0.60135E-12    0.20830E-08    0.32362E-08    0.12100E-04    0.60135E-12    0.43364E-10    0.56445E-07    0.11976E-06    0.14561E-01    0.20830E-08    0.56445E-07    0.66424E-03    0.93029E-03    0.31726E-01    0.32362E-08    0.11976E-06    0.93029E-03    0.13562E-02
    48    0.33226E+01   -0.13066E-01    0.11510E-04    0.14586E-01    0.31614E-01   -0.13066E-01    0.68040E-04    0.50771E-12    0.16476E-08    0.26025E-08    0.11510E-04    0.50771E-12    0.41246E-10    0.56541E-07    0.11935E-06    0.14586E-01    0.16476E-08    0.56541E-07    0.68945E-03    0.96641E-03    0.31614E-01    0.26025E-08    0.11935E-06    0.96641E-03    0.14092E-02
    49    0.30401E+01   -0.86922E-02    0.10956E-04    0.14606E-01    0.31496E-01   -0.86922E-02    0.64032E-04    0.41534E-12    0.11900E-08    0.19354E-08    0.10956E-04    0.41534E-12    0.39261E-10    0.56613E-07    0.11890E-06    0.14606E-01    0.11900E-08    0.56613E-07    0.71493E-03    0.10029E-02    0.31496E-01    0.19354E-08    0.11890E-06    0.10029E-02    0.14628E-02
    50    0.29705E+01    0.90405E-07    0.10435E-04    0.14620E-01    0.31371E-01    0.90405E-07    0.92353E-14    0.33015E-12    0.74205E-09    0.12817E-08    0.10435E-04    0.33015E-12    0.37396E-10    0.56664E-07    0.11844E-06    0.14620E-01    0.74205E-09    0.56664E-07    0.74069E-03    0.10399E-02    0.31371E-01    0.12817E-08    0.11844E-06    0.10399E-02    0.15170E-02
    51    0.29001E+01    0.87114E-02    0.99454E-05    0.14629E-01    0.31241E-01    0.87114E-02   -0.15865E-03    0.25700E-12    0.33278E-09    0.68396E-09    0.99454E-05    0.25700E-12    0.35643E-10    0.56695E-07    0.11795E-06    0.14629E-01    0.33278E-09    0.56695E-07    0.76670E-03    0.10772E-02    0.31241E-01    0.68396E-09    0.11795E-06    0.10772E-02    0.15718E-02
    52    0.30412E+01    0.12776E-01    0.94846E-05    0.14633E-01    0.31106E-01    0.12776E-01   -0.32573E-03    0.19651E-12   -0.20515E-10    0.16690E-09    0.94846E-05    0.19651E-12    0.33994E-10    0.56707E-07    0.11745E-06    0.14633E-01   -0.20515E-10    0.56707E-07    0.79295E-03    0.11149E-02    0.31106E-01    0.16690E-09    0.11745E-06    0.11149E-02    0.16271E-02
