#    L    TT             EE             TE             PP             TP          
     2    0.32875E+03    0.73184E-10   -0.11588E-04    0.94325E+06    0.32891E+05
     3    0.23043E+03    0.22530E-10    0.73386E-05    0.14439E+07    0.36743E+05
     4    0.17320E+03    0.60270E-11    0.57739E-05    0.18820E+07    0.38019E+05
     5    0.13616E+03    0.19801E-11    0.31040E-05    0.22636E+07    0.38071E+05
     6    0.11042E+03    0.82869E-12    0.32970E-05    0.25953E+07    0.37485E+05
     7    0.91607E+02    0.61596E-12    0.43192E-05    0.28844E+07    0.36562E+05
     8    0.77346E+02    0.60568E-12    0.41780E-05    0.31369E+07    0.35464E+05
     9    0.66233E+02    0.42430E-12    0.28930E-05    0.33580E+07    0.34288E+05
    10    0.57366E+02    0.19313E-12    0.15438E-05    0.35518E+07    0.33080E+05
    11    0.50172E+02    0.93917E-13    0.86432E-06    0.37224E+07    0.31882E+05
    12    0.44380E+02    0.10382E-03   -0.23713E-03    0.38718E+07    0.30702E+05
    13    0.39262E+02    0.14013E-12    0.10619E-05    0.40025E+07    0.29550E+05
    14    0.35022E+02   -0.27194E-04    0.79695E-04    0.41170E+07    0.28439E+05
    15    0.31480E+02    0.10958E-12    0.10784E-05    0.42171E+07    0.27371E+05
    16    0.28364E+02   -0.22586E-04    0.32395E-03    0.43043E+07    0.26345E+05
    17    0.25720E+02    0.42516E-13    0.52034E-06    0.43798E+07    0.25363E+05
    18    0.22951E+02    0.11488E-04   -0.52576E-03    0.44452E+07    0.24425E+05
    19    0.21336E+02    0.18995E-13    0.24358E-06    0.45009E+07    0.23528E+05
    20    0.19563E+02    0.10034E-04   -0.10622E-04    0.45479E+07    0.22669E+05
    21    0.17916E+02    0.31611E-13    0.40622E-06    0.45869E+07    0.21847E+05
    22    0.16528E+02   -0.67106E-05   -0.42582E-04    0.46191E+07    0.21063E+05
    23    0.15203E+02    0.77385E-13    0.62417E-06    0.46450E+07    0.20315E+05
    24    0.14029E+02   -0.45945E-05    0.19331E-03    0.46650E+07    0.19599E+05
    25    0.13014E+02    0.91402E-13    0.62743E-06    0.46796E+07    0.18914E+05
    26    0.12022E+02    0.45677E-05    0.17374E-03    0.46894E+07    0.18260E+05
    27    0.11227E+02    0.57492E-13    0.44134E-06    0.46949E+07    0.17635E+05
    28    0.10428E+02    0.62322E-06   -0.24441E-03    0.46964E+07    0.17036E+05
    29    0.97508E+01    0.25854E-13    0.22122E-06    0.46941E+07    0.16463E+05
    30    0.91774E+01   -0.21393E-05    0.16622E-04    0.46881E+07    0.15914E+05
    31    0.85174E+01    0.16112E-13    0.83811E-07    0.46788E+07    0.15386E+05
    32    0.79448E+01    0.18985E-05    0.16029E-03    0.46668E+07    0.14882E+05
    33    0.74798E+01    0.13865E-13    0.59407E-07    0.46523E+07    0.14398E+05
    34    0.70047E+01    0.58091E-06   -0.27662E-03    0.46355E+07    0.13934E+05
    35    0.66001E+01    0.13027E-13    0.11241E-06    0.46165E+07    0.13489E+05
    36    0.62656E+01   -0.13653E-06    0.46389E-03    0.45955E+07    0.13062E+05
    37    0.58492E+01    0.18049E-13    0.18557E-06    0.45727E+07    0.12652E+05
    38    0.54899E+01    0.41830E-05   -0.55386E-03    0.45483E+07    0.12258E+05
    39    0.52289E+01    0.55145E-05   -0.64606E-03    0.45224E+07    0.11879E+05
    40    0.49159E+01    0.31327E-13    0.24780E-06    0.44951E+07    0.11516E+05
    41    0.47547E+01   -0.10177E-04    0.12921E-02    0.44666E+07    0.11166E+05
    42    0.45074E+01   -0.18179E-04    0.24752E-02    0.44368E+07    0.10829E+05
    43    0.42902E+01   -0.16190E-04    0.26483E-02    0.44061E+07    0.10505E+05
    44    0.39221E+01   -0.11250E-04    0.18018E-02    0.43744E+07    0.10193E+05
    45    0.37421E+01    0.24014E-13    0.18399E-06    0.43418E+07    0.98930E+04
    46    0.36511E+01    0.21386E-04   -0.44409E-02    0.43086E+07    0.96037E+04
    47    0.35072E+01    0.45231E-04   -0.10322E-01    0.42747E+07    0.93251E+04
    48    0.32503E+01    0.68040E-04   -0.13066E-01    0.42402E+07    0.90567E+04
    49    0.29691E+01    0.64032E-04   -0.86923E-02    0.42053E+07    0.87980E+04
    50    0.29008E+01    0.74070E-14    0.68149E-07    0.41699E+07    0.85486E+04
    51    0.28316E+01   -0.15865E-03    0.87113E-02    0.41342E+07    0.83081E+04
    52    0.29739E+01   -0.32573E-03    0.12776E-01    0.40982E+07    0.80761E+04
    53    0.29406E+01   -0.34961E-03    0.92855E-02    0.40619E+07    0.78524E+04
    54    0.26416E+01   -0.23463E-03    0.33016E-02    0.40255E+07    0.76364E+04
    55    0.22841E+01    0.38207E-14    0.25113E-07    0.39889E+07    0.74280E+04
    56    0.20800E+01    0.21343E-03   -0.17291E-02    0.39522E+07    0.72267E+04
    57    0.19635E+01    0.29820E-03   -0.18358E-02    0.39154E+07    0.70323E+04
    58    0.19474E+01    0.26287E-03   -0.12124E-02    0.38785E+07    0.68445E+04
    59    0.18962E+01    0.14575E-03   -0.77347E-03    0.38416E+07    0.66630E+04
    60    0.18231E+01    0.25784E-14    0.37582E-07    0.38047E+07    0.64875E+04
    61    0.20343E+01   -0.80085E-04    0.18113E-02    0.37678E+07    0.63178E+04
    62    0.19292E+01   -0.10301E-03    0.37229E-02    0.37310E+07    0.61537E+04
    63    0.17207E+01   -0.10297E-03    0.47585E-02    0.36943E+07    0.59950E+04
    64    0.16956E+01   -0.62183E-04    0.37192E-02    0.36577E+07    0.58414E+04
    65    0.14726E+01    0.69850E-14    0.53420E-07    0.36212E+07    0.56929E+04
    66    0.13381E+01    0.21984E-04   -0.46037E-02    0.35849E+07    0.55491E+04
    67    0.11307E+01    0.10896E-04   -0.77600E-02    0.35488E+07    0.54100E+04
    68    0.11345E+01    0.13330E-04   -0.83024E-02    0.35130E+07    0.52754E+04
    69    0.11133E+01   -0.58331E-05   -0.49903E-02    0.34773E+07    0.51451E+04
    70    0.12026E+01    0.63756E-14    0.48625E-07    0.34419E+07    0.50189E+04
    71    0.12464E+01    0.25785E-04    0.38996E-02    0.34068E+07    0.48967E+04
    72    0.12616E+01    0.53062E-04    0.55055E-02    0.33719E+07    0.47782E+04
    73    0.11967E+01    0.56304E-04    0.45079E-02    0.33373E+07    0.46635E+04
    74    0.10744E+01    0.32269E-04    0.20827E-02    0.33029E+07    0.45523E+04
    75    0.99187E+00    0.32816E-14    0.34542E-07    0.32689E+07    0.44445E+04
    76    0.89010E+00   -0.30693E-04   -0.95235E-03    0.32351E+07    0.43399E+04
    77    0.82925E+00   -0.57223E-04   -0.10189E-02    0.32015E+07    0.42385E+04
    78    0.86208E+00   -0.41664E-04   -0.21692E-02    0.31683E+07    0.41401E+04
    79    0.81848E+00   -0.27803E-04   -0.11730E-02    0.31354E+07    0.40447E+04
    80    0.82547E+00    0.28128E-14    0.23106E-07    0.31029E+07    0.39521E+04
    81    0.79179E+00    0.27379E-05    0.31531E-03    0.30706E+07    0.38623E+04
    82    0.79299E+00    0.12525E-04    0.24967E-03    0.30387E+07    0.37752E+04
    83    0.76063E+00    0.14258E-04   -0.27075E-03    0.30072E+07    0.36906E+04
    84    0.77481E+00    0.15117E-04    0.16588E-03    0.29761E+07    0.36086E+04
    85    0.69279E+00    0.20627E-14    0.17541E-07    0.29453E+07    0.35289E+04
    86    0.59395E+00   -0.80104E-05   -0.13641E-03    0.29149E+07    0.34517E+04
    87    0.70330E+00   -0.26216E-04    0.24022E-03    0.28849E+07    0.33766E+04
    88    0.57654E+00   -0.26302E-04    0.83363E-03    0.28552E+07    0.33038E+04
    89    0.58652E+00   -0.96688E-05   -0.13813E-03    0.28260E+07    0.32330E+04
    90    0.58609E+00    0.11251E-14    0.13984E-07    0.27971E+07    0.31642E+04
    91    0.50274E+00    0.88892E-05    0.16983E-03    0.27686E+07    0.30973E+04
    92    0.48829E+00    0.16379E-04    0.62229E-03    0.27405E+07    0.30323E+04
    93    0.54638E+00    0.29435E-04    0.82642E-03    0.27127E+07    0.29691E+04
    94    0.45778E+00    0.25308E-04    0.17369E-02    0.26854E+07    0.29076E+04
    95    0.44896E+00    0.18391E-04    0.20800E-02    0.26584E+07    0.28479E+04
    96    0.22642E+00    0.82198E-05    0.20674E-02    0.26317E+07    0.27898E+04
    97    0.23948E+00   -0.56680E-05    0.19112E-02    0.26055E+07    0.27334E+04
    98    0.26891E+00   -0.16308E-04    0.33088E-02    0.25796E+07    0.26785E+04
    99    0.16977E+00   -0.46450E-04    0.27578E-02    0.25540E+07    0.26252E+04
   100    0.16855E+00   -0.81699E-04    0.41844E-02    0.25288E+07    0.25733E+04
   101    0.12028E+00   -0.48236E-04    0.40862E-02    0.25040E+07    0.25229E+04
   102    0.40003E+00   -0.80235E-04    0.41607E-02    0.24795E+07    0.24738E+04
   103    0.41714E+00   -0.89020E-04    0.31342E-02    0.24553E+07    0.24261E+04
   104    0.47238E+00   -0.60196E-04    0.34469E-02    0.24315E+07    0.23797E+04
   105    0.49508E+00   -0.53656E-04    0.30823E-02    0.24080E+07    0.23346E+04
   106    0.56315E+00    0.19279E-04    0.22523E-02    0.23849E+07    0.22906E+04
   107    0.38309E+00    0.24434E-04    0.19114E-02    0.23621E+07    0.22478E+04
   108    0.40422E+00    0.50485E-04    0.78595E-03    0.23396E+07    0.22061E+04
   109    0.40731E+00    0.37543E-04   -0.16941E-03    0.23175E+07    0.21655E+04
   110    0.32171E+00    0.11251E-14    0.60753E-08    0.22957E+07    0.21259E+04
   111    0.22602E+00    0.25783E-04   -0.72092E-03    0.22742E+07    0.20872E+04
   112    0.12735E+00    0.51254E-04   -0.21128E-02    0.22530E+07    0.20496E+04
   113    0.10776E+00    0.86308E-04   -0.32119E-02    0.22321E+07    0.20128E+04
   114    0.26507E-01    0.66557E-04   -0.37972E-02    0.22116E+07    0.19769E+04
   115    0.39941E-01    0.15046E-03   -0.43908E-02    0.21913E+07    0.19419E+04
   116   -0.66987E-01    0.12507E-03   -0.47717E-02    0.21714E+07    0.19078E+04
   117    0.10656E-01    0.74553E-04   -0.47190E-02    0.21517E+07    0.18745E+04
   118    0.13210E+00    0.15738E-03   -0.54974E-02    0.21324E+07    0.18421E+04
   119    0.15658E+00    0.23488E-03   -0.54004E-02    0.21133E+07    0.18104E+04
   120    0.24045E+00    0.16838E-03   -0.49499E-02    0.20945E+07    0.17795E+04
   121    0.24296E+00    0.26490E-03   -0.46678E-02    0.20760E+07    0.17494E+04
   122    0.24617E+00    0.23721E-03   -0.43333E-02    0.20578E+07    0.17200E+04
   123    0.25790E+00    0.16949E-03   -0.44681E-02    0.20398E+07    0.16913E+04
   124    0.28593E+00    0.14592E-03   -0.26230E-02    0.20222E+07    0.16633E+04
   125    0.26378E+00    0.10210E-03   -0.15484E-02    0.20047E+07    0.16360E+04
   126    0.27354E+00    0.12222E-03   -0.10233E-02    0.19876E+07    0.16093E+04
   127    0.24872E+00    0.67608E-04   -0.82677E-03    0.19707E+07    0.15832E+04
   128    0.19711E+00    0.96719E-04   -0.73800E-03    0.19541E+07    0.15577E+04
   129    0.20080E+00    0.70884E-04   -0.53605E-03    0.19377E+07    0.15329E+04
   130    0.19330E+00    0.11251E-14    0.63982E-08    0.19215E+07    0.15086E+04
   131    0.18275E+00    0.40701E-04   -0.11275E-02    0.19056E+07    0.14848E+04
   132    0.25290E+00    0.45184E-04   -0.14194E-02    0.18900E+07    0.14615E+04
   133    0.26499E+00    0.86669E-04   -0.35664E-02    0.18746E+07    0.14388E+04
   134    0.30311E+00    0.16409E-03   -0.35737E-02    0.18594E+07    0.14166E+04
   135    0.37707E+00    0.20211E-03   -0.48750E-02    0.18444E+07    0.13949E+04
   136    0.34810E+00    0.19965E-03   -0.42183E-02    0.18297E+07    0.13736E+04
   137    0.37459E+00    0.22994E-03   -0.42943E-02    0.18151E+07    0.13528E+04
   138    0.39205E+00    0.21763E-03   -0.40796E-02    0.18008E+07    0.13325E+04
   139    0.26172E+00    0.31022E-03   -0.32936E-02    0.17867E+07    0.13126E+04
   140    0.29055E+00    0.28381E-03   -0.31413E-02    0.17728E+07    0.12932E+04
   141    0.19120E+00    0.21161E-03   -0.18566E-02    0.17591E+07    0.12742E+04
   142    0.19634E+00    0.16683E-03   -0.64437E-03    0.17456E+07    0.12555E+04
   143    0.24148E+00    0.14843E-03    0.33035E-04    0.17323E+07    0.12373E+04
   144    0.18787E+00    0.81045E-04    0.45624E-03    0.17192E+07    0.12195E+04
   145    0.11960E+00    0.11218E-03    0.90586E-03    0.17063E+07    0.12020E+04
   146    0.26932E+00    0.17933E-04    0.91965E-03    0.16935E+07    0.11849E+04
   147    0.20115E+00    0.20080E-04    0.15210E-02    0.16809E+07    0.11682E+04
   148    0.14773E+00   -0.31007E-04    0.76213E-03    0.16685E+07    0.11517E+04
   149    0.19315E+00   -0.62107E-04   -0.33364E-03    0.16563E+07    0.11356E+04
   150    0.12438E+00    0.00000E+00    0.48584E-09    0.16442E+07    0.11199E+04
   151    0.99469E-01    0.77267E-04   -0.16144E-02    0.16323E+07    0.11044E+04
   152   -0.21939E-01    0.80850E-04   -0.38724E-02    0.16206E+07    0.10892E+04
   153   -0.83380E-01    0.14206E-03   -0.46709E-02    0.16089E+07    0.10743E+04
   154   -0.15124E+00    0.24362E-03   -0.63636E-02    0.15975E+07    0.10597E+04
   155   -0.21763E+00    0.36829E-03   -0.83328E-02    0.15862E+07    0.10454E+04
   156   -0.42322E+00    0.49880E-03   -0.10704E-01    0.15750E+07    0.10313E+04
   157   -0.46298E+00    0.61790E-03   -0.12116E-01    0.15640E+07    0.10175E+04
   158   -0.55186E+00    0.78259E-03   -0.13437E-01    0.15532E+07    0.10040E+04
   159   -0.68198E+00    0.82706E-03   -0.14794E-01    0.15424E+07    0.99070E+03
   160   -0.77114E+00    0.88262E-03   -0.14824E-01    0.15318E+07    0.97767E+03
   161   -0.81147E+00    0.10063E-02   -0.15139E-01    0.15214E+07    0.96489E+03
   162   -0.86933E+00    0.10322E-02   -0.15864E-01    0.15110E+07    0.95234E+03
   163   -0.78829E+00    0.10175E-02   -0.15639E-01    0.15008E+07    0.94003E+03
   164   -0.85756E+00    0.10190E-02   -0.16075E-01    0.14907E+07    0.92795E+03
   165   -0.77213E+00    0.94538E-03   -0.15068E-01    0.14808E+07    0.91609E+03
   166   -0.67267E+00    0.92781E-03   -0.14230E-01    0.14709E+07    0.90445E+03
   167   -0.47699E+00    0.72622E-03   -0.14427E-01    0.14612E+07    0.89302E+03
   168   -0.40005E+00    0.69477E-03   -0.13558E-01    0.14516E+07    0.88179E+03
   169   -0.28540E+00    0.51905E-03   -0.11747E-01    0.14421E+07    0.87076E+03
   170   -0.12513E+00    0.40467E-03   -0.10605E-01    0.14327E+07    0.85992E+03
   171   -0.59918E-01    0.33435E-03   -0.80286E-02    0.14234E+07    0.84928E+03
   172   -0.75869E-02    0.21656E-03   -0.56291E-02    0.14142E+07    0.83881E+03
   173   -0.34524E-01    0.34034E-04   -0.35315E-02    0.14051E+07    0.82852E+03
   174    0.15734E-01    0.66645E-04   -0.18610E-02    0.13961E+07    0.81841E+03
   175    0.76796E-01    0.00000E+00    0.39064E-11    0.13872E+07    0.80846E+03
   176    0.81155E-02    0.36738E-04    0.19737E-02    0.13785E+07    0.79867E+03
