#    L    TT             EE             TE             PP             TP          
    75    0.10581E+01    0.55787E-14    0.39185E-07    0.34791E+07    0.47348E+04
    76    0.95499E+00   -0.30693E-04   -0.95234E-03    0.34464E+07    0.46282E+04
    77    0.89287E+00   -0.57223E-04   -0.10189E-02    0.34140E+07    0.45247E+04
    78    0.92445E+00   -0.41664E-04   -0.21692E-02    0.33818E+07    0.44243E+04
    79    0.87962E+00   -0.27803E-04   -0.11730E-02    0.33499E+07    0.43268E+04
    80    0.88541E+00    0.23440E-14    0.24465E-07    0.33183E+07    0.42321E+04
    81    0.85056E+00    0.27379E-05    0.31531E-03    0.32870E+07    0.41402E+04
    82    0.85061E+00    0.12525E-04    0.24967E-03    0.32560E+07    0.40510E+04
    83    0.81712E+00    0.14258E-04   -0.27075E-03    0.32253E+07    0.39643E+04
    84    0.83019E+00    0.15117E-04    0.16587E-03    0.31950E+07    0.38801E+04
    85    0.74709E+00    0.16877E-14    0.15513E-07    0.31650E+07    0.37983E+04
    86    0.64718E+00   -0.80104E-05   -0.13641E-03    0.31353E+07    0.37188E+04
    87    0.75549E+00   -0.26216E-04    0.24021E-03    0.31060E+07    0.36416E+04
    88    0.62771E+00   -0.26302E-04    0.83362E-03    0.30770E+07    0.35666E+04
    89    0.63669E+00   -0.96688E-05   -0.13813E-03    0.30483E+07    0.34936E+04
    90    0.63527E+00    0.11251E-14    0.12021E-07    0.30200E+07    0.34226E+04
    91    0.55095E+00    0.88892E-05    0.16983E-03    0.29920E+07    0.33535E+04
    92    0.53556E+00    0.16379E-04    0.62228E-03    0.29644E+07    0.32863E+04
    93    0.59273E+00    0.29435E-04    0.82642E-03    0.29371E+07    0.32209E+04
    94    0.50322E+00    0.25308E-04    0.17369E-02    0.29102E+07    0.31572E+04
    95    0.49351E+00    0.18391E-04    0.20800E-02    0.28835E+07    0.30952E+04
    96    0.27010E+00    0.82198E-05    0.20674E-02    0.28572E+07    0.30349E+04
    97    0.28230E+00   -0.56680E-05    0.19112E-02    0.28313E+07    0.29763E+04
    98    0.31089E+00   -0.16308E-04    0.33087E-02    0.28056E+07    0.29192E+04
    99    0.21094E+00   -0.46450E-04    0.27578E-02    0.27803E+07    0.28636E+04
   100    0.20891E+00   -0.81699E-04    0.41844E-02    0.27553E+07    0.28096E+04
   101    0.15986E+00   -0.48236E-04    0.40862E-02    0.27306E+07    0.27569E+04
   102    0.43883E+00   -0.80235E-04    0.41607E-02    0.27063E+07    0.27057E+04
   103    0.45519E+00   -0.89020E-04    0.31342E-02    0.26822E+07    0.26558E+04
   104    0.50968E+00   -0.60196E-04    0.34469E-02    0.26585E+07    0.26072E+04
   105    0.53166E+00   -0.53656E-04    0.30823E-02    0.26350E+07    0.25598E+04
   106    0.59902E+00    0.19279E-04    0.22523E-02    0.26119E+07    0.25137E+04
   107    0.41826E+00    0.24434E-04    0.19114E-02    0.25891E+07    0.24687E+04
   108    0.43871E+00    0.50485E-04    0.78595E-03    0.25665E+07    0.24249E+04
