#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2    0.35384E+03   -0.13616E-04    0.15446E-02   -0.16800E-03    0.10006E-01   -0.13616E-04    0.84048E-10   -0.46159E-10   -0.11226E-08    0.47122E-09    0.15446E-02   -0.46159E-10    0.80772E-08   -0.90326E-09    0.50163E-07   -0.16800E-03   -0.11226E-08   -0.90326E-09    0.25812E-05    0.28496E-05    0.10006E-01    0.47122E-09    0.50163E-07    0.28496E-05    0.39666E-05
     3    0.24643E+03    0.80909E-05    0.10168E-02    0.77154E-03    0.12371E-01    0.80909E-05    0.25673E-10    0.29805E-10   -0.67543E-10    0.64400E-09    0.10168E-02    0.29805E-10    0.48673E-08    0.34611E-08    0.58153E-07    0.77154E-03   -0.67543E-10    0.34611E-08    0.49986E-05    0.57205E-05    0.12371E-01    0.64400E-09    0.58153E-07    0.57205E-05    0.79068E-05
     4    0.18440E+03    0.66147E-05    0.73697E-03    0.16957E-02    0.14506E-01    0.66147E-05    0.68356E-11    0.24290E-10    0.49736E-09    0.83679E-09    0.73697E-03    0.24290E-10    0.33373E-08    0.73334E-08    0.65437E-07    0.16957E-02    0.49736E-09    0.73334E-08    0.81171E-05    0.95218E-05    0.14506E-01    0.83679E-09    0.65437E-07    0.95218E-05    0.13146E-04
     5    0.14448E+03    0.33261E-05    0.56514E-03    0.25934E-02    0.16453E-01    0.33261E-05    0.22755E-11    0.12400E-10    0.45126E-09    0.59171E-09    0.56514E-03    0.12400E-10    0.24615E-08    0.10929E-07    0.72037E-07    0.25934E-02    0.45126E-09    0.10929E-07    0.11913E-04    0.14241E-04    0.16453E-01    0.59171E-09    0.72037E-07    0.14241E-04    0.19683E-04
     6    0.11685E+03    0.30756E-05    0.44981E-03    0.34449E-02    0.18208E-01    0.30756E-05    0.93178E-12    0.10870E-10    0.54957E-10    0.36338E-09    0.44981E-03    0.10870E-10    0.19026E-08    0.14267E-07    0.77920E-07    0.34449E-02    0.54957E-10    0.14267E-07    0.16366E-04    0.19862E-04    0.18208E-01    0.36338E-09    0.77920E-07    0.19862E-04    0.27504E-04
     7    0.96724E+02    0.42243E-05    0.36770E-03    0.42377E-02    0.19785E-01    0.42243E-05    0.61634E-12    0.14665E-10    0.40403E-09    0.12238E-08    0.36770E-03    0.14665E-10    0.15200E-08    0.17342E-07    0.83145E-07    0.42377E-02    0.40403E-09    0.17342E-07    0.21458E-04    0.26371E-04    0.19785E-01    0.12238E-08    0.83145E-07    0.26371E-04    0.36601E-04
     8    0.81515E+02    0.45246E-05    0.30674E-03    0.49739E-02    0.21206E-01    0.45246E-05    0.63821E-12    0.16026E-10    0.13044E-08    0.23818E-08    0.30674E-03    0.16026E-10    0.12445E-08    0.20178E-07    0.87804E-07    0.49739E-02    0.13044E-08    0.20178E-07    0.27171E-04    0.33752E-04    0.21206E-01    0.23818E-08    0.87804E-07    0.33752E-04    0.46967E-04
     9    0.69693E+02    0.35125E-05    0.26002E-03    0.56610E-02    0.22493E-01    0.35125E-05    0.51954E-12    0.12758E-10    0.16023E-08    0.24487E-08    0.26002E-03    0.12758E-10    0.10388E-08    0.22812E-07    0.91990E-07    0.56610E-02    0.16023E-08    0.22812E-07    0.33500E-04    0.42005E-04    0.22493E-01    0.24487E-08    0.91990E-07    0.42005E-04    0.58608E-04
    10    0.60281E+02    0.20830E-05    0.22327E-03    0.63009E-02    0.23655E-01    0.20830E-05    0.26725E-12    0.76765E-11    0.99342E-09    0.14331E-08    0.22327E-03    0.76765E-11    0.88038E-09    0.25256E-07    0.95741E-07    0.63009E-02    0.99342E-09    0.25256E-07    0.40431E-04    0.51121E-04    0.23655E-01    0.14331E-08    0.95741E-07    0.51121E-04    0.71517E-04
    11    0.52660E+02    0.11260E-05    0.19382E-03    0.69011E-02    0.24713E-01    0.11260E-05    0.10008E-12    0.40445E-11    0.17227E-09    0.39993E-09    0.19382E-03    0.40445E-11    0.75576E-09    0.27542E-07    0.99136E-07    0.69011E-02    0.17227E-09    0.27542E-07    0.47965E-04    0.61103E-04    0.24713E-01    0.39993E-09    0.99136E-07    0.61103E-04    0.85706E-04
    12    0.46527E+02   -0.23709E-03    0.16975E-03    0.74624E-02    0.25670E-01   -0.23709E-03    0.10382E-03    0.29328E-11   -0.12228E-09    0.20185E-09    0.16975E-03    0.29328E-11    0.65547E-09    0.29675E-07    0.10219E-06    0.74624E-02   -0.12228E-09    0.29675E-07    0.56094E-04    0.71946E-04    0.25670E-01    0.20185E-09    0.10219E-06    0.71946E-04    0.10117E-03
    13    0.41132E+02    0.10095E-05    0.14984E-03    0.79880E-02    0.26535E-01    0.10095E-05    0.11178E-12    0.33240E-11    0.11035E-09    0.68963E-09    0.14984E-03    0.33240E-11    0.57377E-09    0.31668E-07    0.10493E-06    0.79880E-02    0.11035E-09    0.31668E-07    0.64816E-04    0.83649E-04    0.26535E-01    0.68963E-09    0.10493E-06    0.83649E-04    0.11791E-03
    14    0.36664E+02    0.79702E-04    0.13314E-03    0.84818E-02    0.27321E-01    0.79702E-04   -0.27194E-04    0.39439E-11    0.64598E-09    0.14537E-08    0.13314E-03    0.39439E-11    0.50607E-09    0.33538E-07    0.10741E-06    0.84818E-02    0.64598E-09    0.33538E-07    0.74130E-04    0.96216E-04    0.27321E-01    0.14537E-08    0.10741E-06    0.96216E-04    0.13594E-03
    15    0.32933E+02    0.12024E-05    0.11901E-03    0.89461E-02    0.28034E-01    0.12024E-05    0.12814E-12    0.41340E-11    0.11093E-08    0.20043E-08    0.11901E-03    0.41340E-11    0.44942E-09    0.35294E-07    0.10966E-06    0.89461E-02    0.11093E-08    0.35294E-07    0.84035E-04    0.10965E-03    0.28034E-01    0.20043E-08    0.10966E-06    0.10965E-03    0.15526E-03
    16    0.29659E+02    0.32415E-03    0.10692E-03    0.93830E-02    0.28681E-01    0.32415E-03   -0.22586E-04    0.35624E-11    0.11859E-08    0.19670E-08    0.10692E-03    0.35624E-11    0.40145E-09    0.36946E-07    0.11169E-06    0.93830E-02    0.11859E-08    0.36946E-07    0.94530E-04    0.12394E-03    0.28681E-01    0.19670E-08    0.11169E-06    0.12394E-03    0.17586E-03
