#    L    TT             EE             TE             PP             TP          
     2    0.32879E+03    0.75884E-10   -0.11943E-04    0.94716E+06    0.32915E+05
     3    0.23050E+03    0.23344E-10    0.76399E-05    0.14511E+07    0.36784E+05
     4    0.17328E+03    0.62680E-11    0.62207E-05    0.18925E+07    0.38075E+05
     5    0.13626E+03    0.21099E-11    0.31238E-05    0.22774E+07    0.38142E+05
     6    0.11052E+03    0.86970E-12    0.28428E-05    0.26127E+07    0.37571E+05
     7    0.91720E+02    0.57072E-12    0.39234E-05    0.29053E+07    0.36662E+05
     8    0.77467E+02    0.59613E-12    0.42620E-05    0.31613E+07    0.35579E+05
     9    0.66361E+02    0.49632E-12    0.33636E-05    0.33861E+07    0.34415E+05
    10    0.57499E+02    0.26153E-12    0.20291E-05    0.35834E+07    0.33220E+05
    11    0.50310E+02    0.97284E-13    0.11030E-05    0.37576E+07    0.32033E+05
    12    0.44522E+02    0.10382E-03   -0.23713E-03    0.39106E+07    0.30863E+05
    13    0.39406E+02    0.10106E-12    0.94917E-06    0.40449E+07    0.29723E+05
    14    0.35168E+02   -0.27194E-04    0.79638E-04    0.41630E+07    0.28621E+05
    15    0.31628E+02    0.12267E-12    0.11519E-05    0.42667E+07    0.27562E+05
    16    0.28514E+02   -0.22586E-04    0.32412E-03    0.43573E+07    0.26545E+05
    17    0.25871E+02    0.65278E-13    0.72127E-06    0.44364E+07    0.25572E+05
    18    0.23102E+02    0.11488E-04   -0.52561E-03    0.45053E+07    0.24641E+05
    19    0.21487E+02    0.30199E-13    0.30346E-06    0.45645E+07    0.23751E+05
    20    0.19714E+02    0.10034E-04   -0.10652E-04    0.46149E+07    0.22899E+05
    21    0.18066E+02    0.23730E-13    0.31308E-06    0.46574E+07    0.22084E+05
    22    0.16678E+02   -0.67106E-05   -0.42692E-04    0.46931E+07    0.21306E+05
    23    0.15351E+02    0.63224E-13    0.53790E-06    0.47223E+07    0.20563E+05
    24    0.14176E+02   -0.45945E-05    0.19327E-03    0.47456E+07    0.19853E+05
    25    0.13161E+02    0.10499E-12    0.65218E-06    0.47635E+07    0.19173E+05
