#    L    TT             EE             TE             PP             TP          
     2    0.22837E+03    0.44626E-10   -0.58846E-05    0.70579E+06    0.23387E+05
     3    0.16537E+03    0.14231E-10    0.55736E-05    0.11035E+07    0.26901E+05
     4    0.12719E+03    0.39768E-11    0.43436E-05    0.14600E+07    0.28417E+05
     5    0.10180E+03    0.13892E-11    0.22460E-05    0.17770E+07    0.28919E+05
     6    0.83780E+02    0.59168E-12    0.21492E-05    0.20580E+07    0.28856E+05
     7    0.70381E+02    0.41107E-12    0.29610E-05    0.23075E+07    0.28468E+05
     8    0.60077E+02    0.43619E-12    0.31742E-05    0.25291E+07    0.27890E+05
     9    0.51946E+02    0.35666E-12    0.24749E-05    0.27267E+07    0.27205E+05
    10    0.45386E+02    0.18330E-12    0.14822E-05    0.29027E+07    0.26459E+05
    11    0.40011E+02    0.68904E-13    0.81900E-06    0.30604E+07    0.25688E+05
    12    0.35683E+02    0.10382E-03   -0.23731E-03    0.32010E+07    0.24904E+05
    13    0.31755E+02    0.80898E-13    0.76019E-06    0.33264E+07    0.24122E+05
    14    0.28497E+02   -0.27194E-04    0.79413E-04    0.34385E+07    0.23351E+05
    15    0.25774E+02    0.94138E-13    0.90814E-06    0.35387E+07    0.22599E+05
    16    0.23348E+02   -0.22586E-04    0.32390E-03    0.36279E+07    0.21866E+05
    17    0.21289E+02    0.48681E-13    0.55586E-06    0.37074E+07    0.21156E+05
    18    0.19021E+02    0.11488E-04   -0.52572E-03    0.37781E+07    0.20470E+05
    19    0.17835E+02    0.22400E-13    0.23614E-06    0.38405E+07    0.19807E+05
    20    0.16435E+02    0.10034E-04   -0.10701E-04    0.38953E+07    0.19167E+05
    21    0.15113E+02    0.19141E-13    0.26139E-06    0.39432E+07    0.18550E+05
    22    0.14009E+02   -0.67106E-05   -0.42761E-04    0.39850E+07    0.17957E+05
    23    0.12932E+02    0.52559E-13    0.44747E-06    0.40211E+07    0.17386E+05
    24    0.11978E+02   -0.45945E-05    0.19316E-03    0.40519E+07    0.16837E+05
    25    0.11158E+02    0.84642E-13    0.53368E-06    0.40778E+07    0.16309E+05
    26    0.10339E+02    0.45677E-05    0.17370E-03    0.40994E+07    0.15801E+05
    27    0.96977E+01    0.70949E-13    0.44720E-06    0.41169E+07    0.15313E+05
    28    0.90358E+01    0.62322E-06   -0.24437E-03    0.41307E+07    0.14844E+05
    29    0.84823E+01    0.37984E-13    0.27272E-06    0.41410E+07    0.14392E+05
    30    0.80198E+01   -0.21393E-05    0.16672E-04    0.41477E+07    0.13956E+05
    31    0.74596E+01    0.21169E-13    0.11874E-06    0.41514E+07    0.13537E+05
    32    0.69772E+01    0.18985E-05    0.16030E-03    0.41524E+07    0.13134E+05
    33    0.65936E+01    0.17175E-13    0.44517E-07    0.41509E+07    0.12746E+05
    34    0.61923E+01    0.58091E-06   -0.27666E-03    0.41471E+07    0.12372E+05
    35    0.58548E+01    0.14011E-13    0.51580E-07    0.41411E+07    0.12012E+05
    36    0.55812E+01   -0.13653E-06    0.46381E-03    0.41331E+07    0.11666E+05
    37    0.52204E+01    0.12921E-13    0.10494E-06    0.41233E+07    0.11332E+05
    38    0.49116E+01    0.41830E-05   -0.55394E-03    0.41118E+07    0.11010E+05
    39    0.46968E+01    0.55145E-05   -0.64613E-03    0.40987E+07    0.10700E+05
    40    0.44262E+01    0.22490E-13    0.18537E-06    0.40842E+07    0.10401E+05
    41    0.43037E+01   -0.10177E-04    0.12921E-02    0.40683E+07    0.10112E+05
    42    0.40920E+01   -0.18179E-04    0.24751E-02    0.40511E+07    0.98333E+04
    43    0.39074E+01   -0.16190E-04    0.26483E-02    0.40327E+07    0.95644E+04
    44    0.35692E+01   -0.11250E-04    0.18018E-02    0.40132E+07    0.93047E+04
    45    0.34167E+01    0.27366E-13    0.18452E-06    0.39928E+07    0.90540E+04
    46    0.33511E+01    0.21386E-04   -0.44409E-02    0.39715E+07    0.88118E+04
    47    0.32305E+01    0.45231E-04   -0.10322E-01    0.39494E+07    0.85779E+04
    48    0.29952E+01    0.68040E-04   -0.13066E-01    0.39266E+07    0.83519E+04
    49    0.27339E+01    0.64032E-04   -0.86922E-02    0.39031E+07    0.81335E+04
    50    0.26839E+01    0.84852E-14    0.84032E-07    0.38790E+07    0.79224E+04
    51    0.26317E+01   -0.15865E-03    0.87114E-02    0.38544E+07    0.77183E+04
    52    0.27898E+01   -0.32573E-03    0.12776E-01    0.38294E+07    0.75210E+04
    53    0.27709E+01   -0.34961E-03    0.92855E-02    0.38039E+07    0.73302E+04
    54    0.24853E+01   -0.23463E-03    0.33016E-02    0.37780E+07    0.71456E+04
    55    0.21403E+01    0.35628E-14    0.22365E-07    0.37518E+07    0.69670E+04
    56    0.19478E+01    0.21343E-03   -0.17291E-02    0.37253E+07    0.67941E+04
    57    0.18419E+01    0.29820E-03   -0.18358E-02    0.36985E+07    0.66267E+04
    58    0.18358E+01    0.26287E-03   -0.12124E-02    0.36715E+07    0.64646E+04
    59    0.17939E+01    0.14575E-03   -0.77348E-03    0.36443E+07    0.63076E+04
    60    0.17293E+01    0.23205E-14    0.20602E-07    0.36169E+07    0.61554E+04
    61    0.19484E+01   -0.80085E-04    0.18113E-02    0.35893E+07    0.60080E+04
    62    0.18507E+01   -0.10301E-03    0.37228E-02    0.35616E+07    0.58650E+04
    63    0.16491E+01   -0.10297E-03    0.47585E-02    0.35339E+07    0.57265E+04
    64    0.16304E+01   -0.62183E-04    0.37191E-02    0.35060E+07    0.55921E+04
    65    0.14133E+01    0.50161E-14    0.39290E-07    0.34782E+07    0.54619E+04
