#    L    TT             EE             TE             PP             TP          
     2    0.32877E+03    0.74601E-10   -0.11765E-04    0.94528E+06    0.32903E+05
     3    0.23047E+03    0.22958E-10    0.74980E-05    0.14476E+07    0.36764E+05
     4    0.17324E+03    0.61532E-11    0.59860E-05    0.18874E+07    0.38048E+05
     5    0.13621E+03    0.20448E-11    0.30964E-05    0.22708E+07    0.38107E+05
     6    0.11047E+03    0.84574E-12    0.30746E-05    0.26043E+07    0.37529E+05
     7    0.91664E+02    0.59359E-12    0.41495E-05    0.28953E+07    0.36613E+05
     8    0.77407E+02    0.60467E-12    0.42470E-05    0.31496E+07    0.35523E+05
     9    0.66297E+02    0.45946E-12    0.31340E-05    0.33726E+07    0.34353E+05
    10    0.57433E+02    0.22063E-12    0.17720E-05    0.35682E+07    0.33152E+05
    11    0.50241E+02    0.89051E-13    0.96446E-06    0.37407E+07    0.31959E+05
    12    0.44452E+02    0.10382E-03   -0.23714E-03    0.38920E+07    0.30784E+05
    13    0.39335E+02    0.12169E-12    0.10079E-05    0.40245E+07    0.29638E+05
    14    0.35096E+02   -0.27194E-04    0.79676E-04    0.41409E+07    0.28532E+05
    15    0.31554E+02    0.11723E-12    0.11236E-05    0.42429E+07    0.27469E+05
    16    0.28440E+02   -0.22586E-04    0.32404E-03    0.43318E+07    0.26448E+05
    17    0.25796E+02    0.52651E-13    0.61402E-06    0.44093E+07    0.25470E+05
    18    0.23028E+02    0.11488E-04   -0.52570E-03    0.44764E+07    0.24536E+05
    19    0.21412E+02    0.23164E-13    0.26107E-06    0.45340E+07    0.23642E+05
    20    0.19639E+02    0.10034E-04   -0.10645E-04    0.45827E+07    0.22787E+05
    21    0.17992E+02    0.26345E-13    0.35769E-06    0.46236E+07    0.21969E+05
    22    0.16604E+02   -0.67106E-05   -0.42633E-04    0.46576E+07    0.21188E+05
    23    0.15278E+02    0.71815E-13    0.59044E-06    0.46852E+07    0.20442E+05
    24    0.14103E+02   -0.45945E-05    0.19330E-03    0.47069E+07    0.19729E+05
    25    0.13089E+02    0.10073E-12    0.64991E-06    0.47232E+07    0.19047E+05
    26    0.12096E+02    0.45677E-05    0.17379E-03    0.47348E+07    0.18395E+05
    27    0.11300E+02    0.74155E-13    0.50047E-06    0.47420E+07    0.17772E+05
    28    0.10500E+02    0.62322E-06   -0.24435E-03    0.47452E+07    0.17176E+05
    29    0.98224E+01    0.36613E-13    0.27639E-06    0.47445E+07    0.16605E+05
    30    0.92482E+01   -0.21393E-05    0.16663E-04    0.47401E+07    0.16057E+05
    31    0.85873E+01    0.21699E-13    0.10733E-06    0.47325E+07    0.15532E+05
    32    0.80138E+01    0.18985E-05    0.16029E-03    0.47221E+07    0.15028E+05
    33    0.75479E+01    0.18371E-13    0.46986E-07    0.47092E+07    0.14546E+05
    34    0.70718E+01    0.58091E-06   -0.27665E-03    0.46939E+07    0.14083E+05
    35    0.66663E+01    0.15300E-13    0.78400E-07    0.46764E+07    0.13640E+05
    36    0.63308E+01   -0.13653E-06    0.46385E-03    0.46569E+07    0.13213E+05
    37    0.59135E+01    0.16472E-13    0.14990E-06    0.46357E+07    0.12804E+05
    38    0.55532E+01    0.41830E-05   -0.55389E-03    0.46127E+07    0.12411E+05
    39    0.52912E+01    0.55145E-05   -0.64608E-03    0.45883E+07    0.12034E+05
    40    0.49773E+01    0.29323E-13    0.23355E-06    0.45625E+07    0.11671E+05
    41    0.48151E+01   -0.10177E-04    0.12921E-02    0.45353E+07    0.11321E+05
    42    0.45668E+01   -0.18179E-04    0.24752E-02    0.45070E+07    0.10985E+05
    43    0.43487E+01   -0.16190E-04    0.26483E-02    0.44776E+07    0.10661E+05
    44    0.39796E+01   -0.11250E-04    0.18018E-02    0.44472E+07    0.10350E+05
    45    0.37986E+01    0.28889E-13    0.20266E-06    0.44159E+07    0.10050E+05
    46    0.37066E+01    0.21386E-04   -0.44409E-02    0.43840E+07    0.97606E+04
    47    0.35618E+01    0.45231E-04   -0.10322E-01    0.43513E+07    0.94821E+04
    48    0.33040E+01    0.68040E-04   -0.13066E-01    0.43181E+07    0.92137E+04
    49    0.30218E+01    0.64032E-04   -0.86922E-02    0.42844E+07    0.89549E+04
    50    0.29525E+01    0.86493E-14    0.83460E-07    0.42502E+07    0.87054E+04
    51    0.28825E+01   -0.15865E-03    0.87114E-02    0.42157E+07    0.84648E+04
    52    0.30239E+01   -0.32573E-03    0.12776E-01    0.41808E+07    0.82326E+04
    53    0.29896E+01   -0.34961E-03    0.92855E-02    0.41457E+07    0.80085E+04
    54    0.26897E+01   -0.23463E-03    0.33016E-02    0.41103E+07    0.77923E+04
    55    0.23313E+01    0.42192E-14    0.24437E-07    0.40748E+07    0.75835E+04
    56    0.21264E+01    0.21343E-03   -0.17291E-02    0.40391E+07    0.73818E+04
    57    0.20090E+01    0.29820E-03   -0.18358E-02    0.40033E+07    0.71869E+04
    58    0.19920E+01    0.26287E-03   -0.12124E-02    0.39674E+07    0.69986E+04
    59    0.19401E+01    0.14575E-03   -0.77348E-03    0.39315E+07    0.68166E+04
    60    0.18661E+01    0.24377E-14    0.28710E-07    0.38955E+07    0.66405E+04
    61    0.20765E+01   -0.80085E-04    0.18113E-02    0.38596E+07    0.64702E+04
    62    0.19706E+01   -0.10301E-03    0.37228E-02    0.38237E+07    0.63055E+04
    63    0.17613E+01   -0.10297E-03    0.47585E-02    0.37878E+07    0.61461E+04
    64    0.17355E+01   -0.62183E-04    0.37191E-02    0.37520E+07    0.59918E+04
    65    0.15117E+01    0.64225E-14    0.47803E-07    0.37164E+07    0.58425E+04
    66    0.13764E+01    0.21984E-04   -0.46037E-02    0.36809E+07    0.56981E+04
    67    0.11683E+01    0.10896E-04   -0.77600E-02    0.36456E+07    0.55582E+04
    68    0.11714E+01    0.13330E-04   -0.83024E-02    0.36105E+07    0.54228E+04
    69    0.11495E+01   -0.58331E-05   -0.49903E-02    0.35756E+07    0.52916E+04
    70    0.12381E+01    0.76414E-14    0.48043E-07    0.35409E+07    0.51646E+04
    71    0.12812E+01    0.25785E-04    0.38996E-02    0.35065E+07    0.50415E+04
    72    0.12958E+01    0.53062E-04    0.55055E-02    0.34723E+07    0.49222E+04
    73    0.12302E+01    0.56304E-04    0.45079E-02    0.34383E+07    0.48066E+04
    74    0.11073E+01    0.32269E-04    0.20827E-02    0.34046E+07    0.46945E+04
    75    0.10241E+01    0.37035E-14    0.35344E-07    0.33711E+07    0.45857E+04
    76    0.92168E+00   -0.30693E-04   -0.95235E-03    0.33379E+07    0.44802E+04
    77    0.86023E+00   -0.57223E-04   -0.10189E-02    0.33049E+07    0.43778E+04
    78    0.89245E+00   -0.41664E-04   -0.21692E-02    0.32722E+07    0.42785E+04
    79    0.84826E+00   -0.27803E-04   -0.11730E-02    0.32398E+07    0.41821E+04
    80    0.85467E+00    0.21565E-14    0.22957E-07    0.32078E+07    0.40885E+04
    81    0.82042E+00    0.27379E-05    0.31531E-03    0.31760E+07    0.39977E+04
    82    0.82107E+00    0.12525E-04    0.24967E-03    0.31445E+07    0.39095E+04
    83    0.78815E+00    0.14258E-04   -0.27075E-03    0.31134E+07    0.38239E+04
    84    0.80179E+00    0.15117E-04    0.16588E-03    0.30827E+07    0.37408E+04
    85    0.71925E+00    0.17814E-14    0.16463E-07    0.30523E+07    0.36601E+04
    86    0.61989E+00   -0.80104E-05   -0.13641E-03    0.30222E+07    0.35818E+04
    87    0.72873E+00   -0.26216E-04    0.24022E-03    0.29925E+07    0.35057E+04
    88    0.60148E+00   -0.26302E-04    0.83363E-03    0.29632E+07    0.34318E+04
    89    0.61097E+00   -0.96688E-05   -0.13813E-03    0.29342E+07    0.33599E+04
    90    0.61006E+00    0.10313E-14    0.13331E-07    0.29056E+07    0.32901E+04
    91    0.52624E+00    0.88892E-05    0.16983E-03    0.28774E+07    0.32221E+04
    92    0.51133E+00    0.16379E-04    0.62229E-03    0.28495E+07    0.31560E+04
    93    0.56898E+00    0.29435E-04    0.82642E-03    0.28220E+07    0.30918E+04
    94    0.47993E+00    0.25308E-04    0.17369E-02    0.27948E+07    0.30292E+04
    95    0.47068E+00    0.18391E-04    0.20800E-02    0.27680E+07    0.29684E+04
    96    0.24772E+00    0.82198E-05    0.20674E-02    0.27415E+07    0.29093E+04
    97    0.26036E+00   -0.56680E-05    0.19112E-02    0.27154E+07    0.28518E+04
    98    0.28939E+00   -0.16308E-04    0.33088E-02    0.26897E+07    0.27958E+04
    99    0.18985E+00   -0.46450E-04    0.27578E-02    0.26642E+07    0.27414E+04
   100    0.18824E+00   -0.81699E-04    0.41844E-02    0.26391E+07    0.26885E+04
   101    0.13959E+00   -0.48236E-04    0.40862E-02    0.26144E+07    0.26370E+04
   102    0.41896E+00   -0.80235E-04    0.41607E-02    0.25900E+07    0.25869E+04
   103    0.43571E+00   -0.89020E-04    0.31342E-02    0.25659E+07    0.25381E+04
   104    0.49058E+00   -0.60196E-04    0.34469E-02    0.25421E+07    0.24907E+04
   105    0.51293E+00   -0.53656E-04    0.30823E-02    0.25187E+07    0.24444E+04
   106    0.58066E+00    0.19279E-04    0.22523E-02    0.24955E+07    0.23994E+04
   107    0.40026E+00    0.24434E-04    0.19114E-02    0.24727E+07    0.23556E+04
   108    0.42106E+00    0.50485E-04    0.78595E-03    0.24503E+07    0.23129E+04
   109    0.42383E+00    0.37543E-04   -0.16941E-03    0.24281E+07    0.22712E+04
   110    0.33791E+00    0.75007E-15    0.56756E-08    0.24062E+07    0.22305E+04
   111    0.24191E+00    0.25783E-04   -0.72092E-03    0.23847E+07    0.21909E+04
   112    0.14293E+00    0.51254E-04   -0.21128E-02    0.23634E+07    0.21521E+04
   113    0.12305E+00    0.86308E-04   -0.32119E-02    0.23425E+07    0.21144E+04
   114    0.41500E-01    0.66557E-04   -0.37972E-02    0.23218E+07    0.20775E+04
   115    0.54647E-01    0.15046E-03   -0.43908E-02    0.23014E+07    0.20415E+04
   116   -0.52562E-01    0.12507E-03   -0.47717E-02    0.22814E+07    0.20064E+04
   117    0.24805E-01    0.74553E-04   -0.47190E-02    0.22616E+07    0.19721E+04
   118    0.14598E+00    0.15738E-03   -0.54974E-02    0.22421E+07    0.19386E+04
   119    0.17019E+00    0.23488E-03   -0.54004E-02    0.22228E+07    0.19060E+04
   120    0.25381E+00    0.16838E-03   -0.49499E-02    0.22039E+07    0.18741E+04
