#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2    0.22837E+03   -0.58846E-05    0.10243E-02   -0.30967E-03    0.64945E-02   -0.58846E-05    0.44626E-10   -0.18806E-10   -0.59971E-09    0.29199E-09    0.10243E-02   -0.18806E-10    0.56707E-08   -0.13767E-08    0.34540E-07   -0.30967E-03   -0.59971E-09   -0.13767E-08    0.18787E-05    0.20973E-05    0.64945E-02    0.29199E-09    0.34540E-07    0.20973E-05    0.28936E-05
     3    0.16537E+03    0.55736E-05    0.69818E-03    0.30863E-03    0.83092E-02    0.55736E-05    0.14231E-10    0.20731E-10   -0.34570E-10    0.39711E-09    0.69818E-03    0.20731E-10    0.35028E-08    0.15214E-08    0.41045E-07    0.30863E-03   -0.34570E-10    0.15214E-08    0.36598E-05    0.42123E-05    0.83092E-02    0.39711E-09    0.41045E-07    0.42123E-05    0.57925E-05
     4    0.12719E+03    0.43436E-05    0.51857E-03    0.93554E-03    0.99850E-02    0.43436E-05    0.39768E-11    0.16048E-10    0.31643E-09    0.55082E-09    0.51857E-03    0.16048E-10    0.24438E-08    0.41601E-08    0.46966E-07    0.93554E-03    0.31643E-09    0.41601E-08    0.59709E-05    0.70231E-05    0.99850E-02    0.55082E-09    0.46966E-07    0.70231E-05    0.96680E-05
     5    0.10180E+03    0.22460E-05    0.40530E-03    0.15602E-02    0.11540E-01    0.22460E-05    0.13892E-11    0.84226E-11    0.29771E-09    0.40350E-09    0.40530E-03    0.84226E-11    0.18275E-08    0.66706E-08    0.52369E-07    0.15602E-02    0.29771E-09    0.66706E-08    0.87985E-05    0.10527E-04    0.11540E-01    0.40350E-09    0.52369E-07    0.10527E-04    0.14528E-04
     6    0.83780E+02    0.21492E-05    0.32765E-03    0.21662E-02    0.12967E-01    0.21492E-05    0.59168E-12    0.76308E-11    0.33878E-10    0.25403E-09    0.32765E-03    0.76308E-11    0.14290E-08    0.90531E-08    0.57246E-07    0.21662E-02    0.33878E-10    0.90531E-08    0.12132E-04    0.14718E-04    0.12967E-01    0.25403E-09    0.57246E-07    0.14718E-04    0.20374E-04
     7    0.70381E+02    0.29610E-05    0.27141E-03    0.27429E-02    0.14273E-01    0.29610E-05    0.41107E-12    0.10305E-10    0.27035E-09    0.84443E-09    0.27141E-03    0.10305E-10    0.11531E-08    0.11295E-07    0.61641E-07    0.27429E-02    0.27035E-09    0.11295E-07    0.15964E-04    0.19594E-04    0.14273E-01    0.84443E-09    0.61641E-07    0.19594E-04    0.27211E-04
     8    0.60077E+02    0.31742E-05    0.22903E-03    0.32895E-02    0.15469E-01    0.31742E-05    0.43619E-12    0.11253E-10    0.89035E-09    0.16472E-08    0.22903E-03    0.11253E-10    0.95251E-09    0.13405E-07    0.65618E-07    0.32895E-02    0.89035E-09    0.13405E-07    0.20283E-04    0.25150E-04    0.15469E-01    0.16472E-08    0.65618E-07    0.25150E-04    0.35043E-04
     9    0.51946E+02    0.24749E-05    0.19613E-03    0.38093E-02    0.16570E-01    0.24749E-05    0.35666E-12    0.89889E-11    0.11015E-08    0.17010E-08    0.19613E-03    0.89889E-11    0.80137E-09    0.15403E-07    0.69244E-07    0.38093E-02    0.11015E-08    0.15403E-07    0.25091E-04    0.31394E-04    0.16570E-01    0.17010E-08    0.69244E-07    0.31394E-04    0.43886E-04
    10    0.45386E+02    0.14822E-05    0.16996E-03    0.43020E-02    0.17579E-01    0.14822E-05    0.18330E-12    0.54609E-11    0.68205E-09    0.99818E-09    0.16996E-03    0.54609E-11    0.68410E-09    0.17290E-07    0.72543E-07    0.43020E-02    0.68205E-09    0.17290E-07    0.30383E-04    0.38325E-04    0.17579E-01    0.99818E-09    0.72543E-07    0.38325E-04    0.53744E-04
    11    0.40011E+02    0.81900E-06    0.14876E-03    0.47717E-02    0.18512E-01    0.81900E-06    0.68904E-13    0.29436E-11    0.10901E-09    0.27716E-09    0.14876E-03    0.29436E-11    0.59116E-09    0.19083E-07    0.75572E-07    0.47717E-02    0.10901E-09    0.19083E-07    0.36163E-04    0.45952E-04    0.18512E-01    0.27716E-09    0.75572E-07    0.45952E-04    0.64635E-04
    12    0.35683E+02   -0.23731E-03    0.13127E-03    0.52181E-02    0.19368E-01   -0.23731E-03    0.10382E-03    0.22004E-11   -0.95542E-10    0.14516E-09    0.13127E-03    0.22004E-11    0.51588E-09    0.20784E-07    0.78336E-07    0.52181E-02   -0.95542E-10    0.20784E-07    0.42430E-04    0.54278E-04    0.19368E-01    0.14516E-09    0.78336E-07    0.54278E-04    0.76566E-04
    13    0.31755E+02    0.76019E-06    0.11669E-03    0.56424E-02    0.20156E-01    0.76019E-06    0.80898E-13    0.25142E-11    0.75104E-10    0.50357E-09    0.11669E-03    0.25142E-11    0.45415E-09    0.22398E-07    0.80863E-07    0.56424E-02    0.75104E-10    0.22398E-07    0.49186E-04    0.63311E-04    0.20156E-01    0.50357E-09    0.80863E-07    0.63311E-04    0.89548E-04
    14    0.28497E+02    0.79413E-04    0.10435E-03    0.60468E-02    0.20882E-01    0.79413E-04   -0.27194E-04    0.29809E-11    0.46681E-09    0.10657E-08    0.10435E-03    0.29809E-11    0.40271E-09    0.23935E-07    0.83187E-07    0.60468E-02    0.46681E-09    0.23935E-07    0.56435E-04    0.73057E-04    0.20882E-01    0.10657E-08    0.83187E-07    0.73057E-04    0.10360E-03
    15    0.25774E+02    0.90814E-06    0.93841E-04    0.64324E-02    0.21551E-01    0.90814E-06    0.94138E-13    0.31240E-11    0.80761E-09    0.14743E-08    0.93841E-04    0.31240E-11    0.35943E-09    0.25399E-07    0.85327E-07    0.64324E-02    0.80761E-09    0.25399E-07    0.64181E-04    0.83524E-04    0.21551E-01    0.14743E-08    0.85327E-07    0.83524E-04    0.11872E-03
    16    0.23348E+02    0.32390E-03    0.84789E-04    0.68001E-02    0.22169E-01    0.32390E-03   -0.22586E-04    0.27003E-11    0.86750E-09    0.14530E-08    0.84789E-04    0.27003E-11    0.32260E-09    0.26794E-07    0.87300E-07    0.68001E-02    0.86750E-09    0.26794E-07    0.72425E-04    0.94719E-04    0.22169E-01    0.14530E-08    0.87300E-07    0.94719E-04    0.13494E-03
    17    0.21289E+02    0.55586E-06    0.76944E-04    0.71512E-02    0.22738E-01    0.55586E-06    0.48681E-13    0.19742E-11    0.70222E-09    0.11199E-08    0.76944E-04    0.19742E-11    0.29102E-09    0.28126E-07    0.89121E-07    0.71512E-02    0.70222E-09    0.28126E-07    0.81174E-04    0.10665E-03    0.22738E-01    0.11199E-08    0.89121E-07    0.10665E-03    0.15225E-03
    18    0.19021E+02   -0.52572E-03    0.70095E-04    0.74868E-02    0.23265E-01   -0.52572E-03    0.11488E-04    0.12966E-11    0.44363E-09    0.69300E-09    0.70095E-04    0.12966E-11    0.26371E-09    0.29398E-07    0.90802E-07    0.74868E-02    0.44363E-09    0.29398E-07    0.90430E-04    0.11932E-03    0.23265E-01    0.69300E-09    0.90802E-07    0.11932E-03    0.17068E-03
    19    0.17835E+02    0.23614E-06    0.64080E-04    0.78071E-02    0.23750E-01    0.23614E-06    0.22400E-13    0.85846E-12    0.24248E-09    0.39393E-09    0.64080E-04    0.85846E-12    0.23993E-09    0.30613E-07    0.92348E-07    0.78071E-02    0.24248E-09    0.30613E-07    0.10020E-03    0.13274E-03    0.23750E-01    0.39393E-09    0.92348E-07    0.13274E-03    0.19022E-03
    20    0.16435E+02   -0.10701E-04    0.58760E-04    0.81126E-02    0.24195E-01   -0.10701E-04    0.10034E-04    0.76546E-12    0.22829E-09    0.40497E-09    0.58760E-04    0.76546E-12    0.21907E-09    0.31771E-07    0.93766E-07    0.81126E-02    0.22829E-09    0.31771E-07    0.11047E-03    0.14691E-03    0.24195E-01    0.40497E-09    0.93766E-07    0.14691E-03    0.21088E-03
    21    0.15113E+02    0.26139E-06    0.54038E-04    0.84042E-02    0.24604E-01    0.26139E-06    0.19141E-13    0.94310E-12    0.42685E-09    0.74702E-09    0.54038E-04    0.94310E-12    0.20070E-09    0.32877E-07    0.95070E-07    0.84042E-02    0.42685E-09    0.32877E-07    0.12126E-03    0.16183E-03    0.24604E-01    0.74702E-09    0.95070E-07    0.16183E-03    0.23266E-03
    22    0.14009E+02   -0.42761E-04    0.49828E-04    0.86830E-02    0.24981E-01   -0.42761E-04   -0.67106E-05    0.12686E-11    0.81439E-09    0.13681E-08    0.49828E-04    0.12686E-11    0.18442E-09    0.33934E-07    0.96277E-07    0.86830E-02    0.81439E-09    0.33934E-07    0.13256E-03    0.17751E-03    0.24981E-01    0.13681E-08    0.96277E-07    0.17751E-03    0.25557E-03
    23    0.12932E+02    0.44747E-06    0.46060E-04    0.89492E-02    0.25328E-01    0.44747E-06    0.52559E-13    0.16068E-11    0.12727E-08    0.20857E-08    0.46060E-04    0.16068E-11    0.16994E-09    0.34944E-07    0.97388E-07    0.89492E-02    0.12727E-08    0.34944E-07    0.14438E-03    0.19395E-03    0.25328E-01    0.20857E-08    0.97388E-07    0.19395E-03    0.27962E-03
    24    0.11978E+02    0.19316E-03    0.42673E-04    0.92030E-02    0.25645E-01    0.19316E-03   -0.45945E-05    0.18375E-11    0.16728E-08    0.27045E-08    0.42673E-04    0.18375E-11    0.15700E-09    0.35907E-07    0.98406E-07    0.92030E-02    0.16728E-08    0.35907E-07    0.15671E-03    0.21114E-03    0.25645E-01    0.27045E-08    0.98406E-07    0.21114E-03    0.30480E-03
    25    0.11158E+02    0.53368E-06    0.39617E-04    0.94450E-02    0.25935E-01    0.53368E-06    0.84642E-13    0.19136E-11    0.19364E-08    0.31070E-08    0.39617E-04    0.19136E-11    0.14538E-09    0.36825E-07    0.99337E-07    0.94450E-02    0.19364E-08    0.36825E-07    0.16956E-03    0.22910E-03    0.25935E-01    0.31070E-08    0.99337E-07    0.22910E-03    0.33110E-03
    26    0.10339E+02    0.17370E-03    0.36852E-04    0.96760E-02    0.26200E-01    0.17370E-03    0.45677E-05    0.18194E-11    0.20108E-08    0.32147E-08    0.36852E-04    0.18194E-11    0.13492E-09    0.37702E-07    0.10019E-06    0.96760E-02    0.20108E-08    0.37702E-07    0.18293E-03    0.24781E-03    0.26200E-01    0.32147E-08    0.10019E-06    0.24781E-03    0.35852E-03
    27    0.96977E+01    0.44720E-06    0.34344E-04    0.98963E-02    0.26442E-01    0.44720E-06    0.70949E-13    0.15927E-11    0.18934E-08    0.30270E-08    0.34344E-04    0.15927E-11    0.12548E-09    0.38539E-07    0.10096E-06    0.98963E-02    0.18934E-08    0.38539E-07    0.19680E-03    0.26727E-03    0.26442E-01    0.30270E-08    0.10096E-06    0.26727E-03    0.38707E-03
    28    0.90358E+01   -0.24437E-03    0.32062E-04    0.10106E-01    0.26662E-01   -0.24437E-03    0.62322E-06    0.12856E-11    0.16050E-08    0.25782E-08    0.32062E-04    0.12856E-11    0.11692E-09    0.39336E-07    0.10167E-06    0.10106E-01    0.16050E-08    0.39336E-07    0.21118E-03    0.28748E-03    0.26662E-01    0.25782E-08    0.10167E-06    0.28748E-03    0.41673E-03
    29    0.84823E+01    0.27272E-06    0.29979E-04    0.10305E-01    0.26861E-01    0.27272E-06    0.37984E-13    0.95228E-12    0.12087E-08    0.19658E-08    0.29979E-04    0.95228E-12    0.10913E-09    0.40093E-07    0.10231E-06    0.10305E-01    0.12087E-08    0.40093E-07    0.22607E-03    0.30844E-03    0.26861E-01    0.19658E-08    0.10231E-06    0.30844E-03    0.44749E-03
    30    0.80198E+01    0.16672E-04    0.28071E-04    0.10494E-01    0.27038E-01    0.16672E-04   -0.21393E-05    0.64346E-12    0.77921E-09    0.13038E-08    0.28071E-04    0.64346E-12    0.10203E-09    0.40811E-07    0.10288E-06    0.10494E-01    0.77921E-09    0.40811E-07    0.24145E-03    0.33012E-03    0.27038E-01    0.13038E-08    0.10288E-06    0.33012E-03    0.47934E-03
