#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2    0.32880E+03   -0.11979E-04    0.14416E-02   -0.20675E-03    0.93054E-02   -0.11979E-04    0.76153E-10   -0.40352E-10   -0.10115E-08    0.43949E-09    0.14416E-02   -0.40352E-10    0.76129E-08   -0.10376E-08    0.47118E-07   -0.20675E-03   -0.10115E-08   -0.10376E-08    0.24474E-05    0.27072E-05    0.93054E-02    0.43949E-09    0.47118E-07    0.27072E-05    0.37627E-05
     3    0.23051E+03    0.76652E-05    0.95475E-03    0.67098E-03    0.11572E-01    0.76652E-05    0.23426E-10    0.28300E-10   -0.64367E-10    0.58824E-09    0.95475E-03    0.28300E-10    0.46080E-08    0.30442E-08    0.54866E-07    0.67098E-03   -0.64367E-10    0.30442E-08    0.47446E-05    0.54352E-05    0.11572E-01    0.58824E-09    0.54866E-07    0.54352E-05    0.75061E-05
     4    0.17329E+03    0.62656E-05    0.69491E-03    0.15382E-02    0.13627E-01    0.62656E-05    0.62916E-11    0.23014E-10    0.45270E-09    0.78134E-09    0.69491E-03    0.23014E-10    0.31694E-08    0.66803E-08    0.61924E-07    0.15382E-02    0.45270E-09    0.66803E-08    0.77110E-05    0.90497E-05    0.13627E-01    0.78134E-09    0.61924E-07    0.90497E-05    0.12489E-04
     5    0.13627E+03    0.31341E-05    0.53465E-03    0.23842E-02    0.15505E-01    0.31341E-05    0.21227E-11    0.11702E-10    0.43959E-09    0.57812E-09    0.53465E-03    0.11702E-10    0.23435E-08    0.10070E-07    0.68328E-07    0.23842E-02    0.43959E-09    0.10070E-07    0.11325E-04    0.13540E-04    0.15505E-01    0.57812E-09    0.68328E-07    0.13540E-04    0.18711E-04
     6    0.11053E+03    0.28045E-05    0.42669E-03    0.31894E-02    0.17205E-01    0.28045E-05    0.87530E-12    0.99448E-11    0.58923E-10    0.32636E-09    0.42669E-03    0.99448E-11    0.18152E-08    0.13228E-07    0.74050E-07    0.31894E-02    0.58923E-10    0.13228E-07    0.15568E-04    0.18893E-04    0.17205E-01    0.32636E-09    0.74050E-07    0.18893E-04    0.26162E-04
     7    0.91731E+02    0.38808E-05    0.34962E-03    0.39419E-02    0.18738E-01    0.38808E-05    0.56745E-12    0.13476E-10    0.34160E-09    0.10860E-08    0.34962E-03    0.13476E-10    0.14528E-08    0.16148E-07    0.79146E-07    0.39419E-02    0.34160E-09    0.16148E-07    0.20426E-04    0.25096E-04    0.18738E-01    0.10860E-08    0.79146E-07    0.25096E-04    0.34839E-04
     8    0.77479E+02    0.42599E-05    0.29225E-03    0.46431E-02    0.20123E-01    0.42599E-05    0.59435E-12    0.15076E-10    0.11914E-08    0.22094E-08    0.29225E-03    0.15076E-10    0.11915E-08    0.18850E-07    0.83704E-07    0.46431E-02    0.11914E-08    0.18850E-07    0.25879E-04    0.32137E-04    0.20123E-01    0.22094E-08    0.83704E-07    0.32137E-04    0.44734E-04
     9    0.66373E+02    0.34019E-05    0.24819E-03    0.52997E-02    0.21382E-01    0.34019E-05    0.50298E-12    0.12342E-10    0.15306E-08    0.23601E-08    0.24819E-03    0.12342E-10    0.99595E-09    0.21368E-07    0.87811E-07    0.52997E-02    0.15306E-08    0.21368E-07    0.31925E-04    0.40016E-04    0.21382E-01    0.23601E-08    0.87811E-07    0.40016E-04    0.55857E-04
    10    0.57512E+02    0.20762E-05    0.21347E-03    0.59129E-02    0.22521E-01    0.20762E-05    0.27010E-12    0.76513E-11    0.10025E-08    0.14491E-08    0.21347E-03    0.76513E-11    0.84523E-09    0.23711E-07    0.91502E-07    0.59129E-02    0.10025E-08    0.23711E-07    0.38553E-04    0.48726E-04    0.22521E-01    0.14491E-08    0.91502E-07    0.48726E-04    0.68203E-04
    11    0.50322E+02    0.11314E-05    0.18559E-03    0.64897E-02    0.23562E-01    0.11314E-05    0.10038E-12    0.40906E-11    0.21892E-09    0.44338E-09    0.18559E-03    0.40906E-11    0.72648E-09    0.25909E-07    0.94853E-07    0.64897E-02    0.21892E-09    0.25909E-07    0.45763E-04    0.58272E-04    0.23562E-01    0.44338E-09    0.94853E-07    0.58272E-04    0.81785E-04
    12    0.44535E+02   -0.23713E-03    0.16276E-03    0.70306E-02    0.24507E-01   -0.23713E-03    0.10382E-03    0.28566E-11   -0.10428E-09    0.18873E-09    0.16276E-03    0.28566E-11    0.63082E-09    0.27965E-07    0.97873E-07    0.70306E-02   -0.10428E-09    0.27965E-07    0.53550E-04    0.68651E-04    0.24507E-01    0.18873E-09    0.97873E-07    0.68651E-04    0.96602E-04
    13    0.39420E+02    0.93960E-06    0.14386E-03    0.75385E-02    0.25364E-01    0.93960E-06    0.97572E-13    0.31085E-11    0.72885E-10    0.59730E-09    0.14386E-03    0.31085E-11    0.55279E-09    0.29892E-07    0.10060E-06    0.75385E-02    0.72885E-10    0.29892E-07    0.61911E-04    0.79863E-04    0.25364E-01    0.59730E-09    0.10060E-06    0.79863E-04    0.11266E-03
    14    0.35182E+02    0.79630E-04    0.12798E-03    0.80168E-02    0.26145E-01    0.79630E-04   -0.27194E-04    0.37072E-11    0.57050E-09    0.13206E-08    0.12798E-03    0.37072E-11    0.48806E-09    0.31705E-07    0.10307E-06    0.80168E-02    0.57050E-09    0.31705E-07    0.70847E-04    0.91912E-04    0.26145E-01    0.13206E-08    0.10307E-06    0.91912E-04    0.12996E-03
    15    0.31642E+02    0.11550E-05    0.11453E-03    0.84678E-02    0.26856E-01    0.11550E-05    0.12336E-12    0.39732E-11    0.10266E-08    0.18787E-08    0.11453E-03    0.39732E-11    0.43385E-09    0.33412E-07    0.10532E-06    0.84678E-02    0.10266E-08    0.33412E-07    0.80358E-04    0.10480E-03    0.26856E-01    0.18787E-08    0.10532E-06    0.10480E-03    0.14852E-03
    16    0.28528E+02    0.32414E-03    0.10301E-03    0.88931E-02    0.27503E-01    0.32414E-03   -0.22586E-04    0.35153E-11    0.11268E-08    0.18881E-08    0.10301E-03    0.35153E-11    0.38790E-09    0.35021E-07    0.10737E-06    0.88931E-02    0.11268E-08    0.35021E-07    0.90443E-04    0.11853E-03    0.27503E-01    0.18881E-08    0.10737E-06    0.11853E-03    0.16833E-03
    17    0.25885E+02    0.74075E-06    0.93076E-04    0.92948E-02    0.28092E-01    0.74075E-06    0.67711E-13    0.26329E-11    0.92940E-09    0.14810E-08    0.93076E-04    0.26329E-11    0.34867E-09    0.36540E-07    0.10923E-06    0.92948E-02    0.92940E-09    0.36540E-07    0.10110E-03    0.13311E-03    0.28092E-01    0.14810E-08    0.10923E-06    0.13311E-03    0.18941E-03
