#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2    0.78726E+02   -0.21054E-06    0.38378E-03   -0.24444E-03    0.23133E-02   -0.21054E-06    0.92648E-11    0.52771E-12   -0.12629E-09    0.89959E-10    0.38378E-03    0.52771E-12    0.25222E-08   -0.10537E-08    0.14758E-07   -0.24444E-03   -0.12629E-09   -0.10537E-08    0.87226E-06    0.99499E-06    0.23133E-02    0.89959E-10    0.14758E-07    0.99499E-06    0.13492E-05
     3    0.62598E+02    0.21180E-05    0.28355E-03   -0.45903E-04    0.32150E-02    0.21180E-05    0.32903E-11    0.80926E-11   -0.93206E-11    0.12149E-09    0.28355E-03    0.80926E-11    0.16408E-08   -0.76492E-10    0.18510E-07   -0.45903E-04   -0.93206E-11   -0.76492E-10    0.17178E-05    0.19996E-05    0.32150E-02    0.12149E-09    0.18510E-07    0.19996E-05    0.27242E-05
     4    0.51461E+02    0.15419E-05    0.22305E-03    0.17727E-03    0.40952E-02    0.15419E-05    0.10410E-11    0.58154E-11    0.10321E-09    0.19764E-09    0.22305E-03    0.58154E-11    0.11873E-08    0.88576E-09    0.21942E-07    0.17727E-03    0.10321E-09    0.88576E-09    0.28281E-05    0.33436E-05    0.40952E-02    0.19764E-09    0.21942E-07    0.33436E-05    0.45832E-05
     5    0.43378E+02    0.86180E-06    0.18232E-03    0.41679E-03    0.49483E-02    0.86180E-06    0.40940E-12    0.32975E-11    0.10717E-09    0.15818E-09    0.18232E-03    0.32975E-11    0.91424E-09    0.18637E-08    0.25132E-07    0.41679E-03    0.10717E-09    0.18637E-08    0.42011E-05    0.50318E-05    0.49483E-02    0.15818E-09    0.25132E-07    0.50318E-05    0.69410E-05
     6    0.37246E+02    0.88947E-06    0.15293E-03    0.66385E-03    0.57643E-02    0.88947E-06    0.19250E-12    0.32080E-11    0.10792E-10    0.10668E-09    0.15293E-03    0.32080E-11    0.73299E-09    0.28463E-08    0.28090E-07    0.66385E-03    0.10792E-10    0.28463E-08    0.58368E-05    0.70693E-05    0.57643E-02    0.10668E-09    0.28090E-07    0.70693E-05    0.98100E-05
     7    0.32433E+02    0.12295E-05    0.13072E-03    0.91222E-03    0.65400E-02    0.12295E-05    0.15100E-12    0.43167E-11    0.99471E-10    0.33716E-09    0.13072E-03    0.43167E-11    0.60461E-09    0.38207E-08    0.30832E-07    0.91222E-03    0.99471E-10    0.38207E-08    0.77362E-05    0.94626E-05    0.65400E-02    0.33716E-09    0.30832E-07    0.94626E-05    0.13205E-04
     8    0.28562E+02    0.13202E-05    0.11336E-03    0.11597E-02    0.72762E-02    0.13202E-05    0.16935E-12    0.46981E-11    0.34313E-09    0.65842E-09    0.11336E-03    0.46981E-11    0.50930E-09    0.47834E-08    0.33385E-07    0.11597E-02    0.34313E-09    0.47834E-08    0.99007E-05    0.12218E-04    0.72762E-02    0.65842E-09    0.33385E-07    0.12218E-04    0.17142E-04
     9    0.25385E+02    0.10414E-05    0.99463E-04    0.14058E-02    0.79758E-02    0.10414E-05    0.13980E-12    0.37882E-11    0.43178E-09    0.68707E-09    0.99463E-04    0.37882E-11    0.43612E-09    0.57359E-08    0.35778E-07    0.14058E-02    0.43178E-09    0.57359E-08    0.12336E-04    0.15348E-04    0.79758E-02    0.68707E-09    0.35778E-07    0.15348E-04    0.21639E-04
    10    0.22732E+02    0.64059E-06    0.88086E-04    0.16490E-02    0.86382E-02    0.64059E-06    0.71715E-13    0.23632E-11    0.26575E-09    0.40609E-09    0.88086E-04    0.23632E-11    0.37837E-09    0.66733E-08    0.38018E-07    0.16490E-02    0.26575E-09    0.66733E-08    0.15045E-04    0.18860E-04    0.86382E-02    0.40609E-09    0.38018E-07    0.18860E-04    0.26714E-04
    11    0.20491E+02    0.37457E-06    0.78641E-04    0.18897E-02    0.92680E-02    0.37457E-06    0.27310E-13    0.13525E-11    0.31677E-10    0.11192E-09    0.78641E-04    0.13525E-11    0.33188E-09    0.75980E-08    0.40128E-07    0.18897E-02    0.31677E-10    0.75980E-08    0.18036E-04    0.22768E-04    0.92680E-02    0.11192E-09    0.40128E-07    0.22768E-04    0.32387E-04
    12    0.18723E+02   -0.23765E-03    0.70667E-04    0.21268E-02    0.98638E-02   -0.23765E-03    0.10382E-03    0.10849E-11   -0.51161E-10    0.64644E-10    0.70667E-04    0.10849E-11    0.29367E-09    0.85072E-08    0.42104E-07    0.21268E-02   -0.51161E-10    0.85072E-08    0.21315E-04    0.27083E-04    0.98638E-02    0.64644E-10    0.42104E-07    0.27083E-04    0.38673E-04
    13    0.16909E+02    0.37612E-06    0.63869E-04    0.23599E-02    0.10428E-01    0.37612E-06    0.36211E-13    0.12594E-11    0.26987E-10    0.23039E-09    0.63869E-04    0.12594E-11    0.26189E-09    0.94001E-08    0.43959E-07    0.23599E-02    0.26987E-10    0.94001E-08    0.24889E-04    0.31817E-04    0.10428E-01    0.23039E-09    0.43959E-07    0.31817E-04    0.45594E-04
    14    0.15420E+02    0.78967E-04    0.58012E-04    0.25893E-02    0.10962E-01    0.78967E-04   -0.27194E-04    0.14897E-11    0.20610E-09    0.49181E-09    0.58012E-04    0.14897E-11    0.23508E-09    0.10277E-07    0.45712E-07    0.25893E-02    0.20610E-09    0.10277E-07    0.28766E-04    0.36984E-04    0.10962E-01    0.49181E-09    0.45712E-07    0.36984E-04    0.53169E-04
    15    0.14189E+02    0.45281E-06    0.52929E-04    0.28146E-02    0.11469E-01    0.45281E-06    0.43708E-13    0.15612E-11    0.36437E-09    0.68596E-09    0.52929E-04    0.15612E-11    0.21224E-09    0.11138E-07    0.47371E-07    0.28146E-02    0.36437E-09    0.11138E-07    0.32953E-04    0.42596E-04    0.11469E-01    0.68596E-09    0.47371E-07    0.42596E-04    0.61418E-04
    16    0.13035E+02    0.32352E-03    0.48478E-04    0.30358E-02    0.11950E-01    0.32352E-03   -0.22586E-04    0.13609E-11    0.39635E-09    0.68331E-09    0.48478E-04    0.13609E-11    0.19259E-09    0.11983E-07    0.48945E-07    0.30358E-02    0.39635E-09    0.11983E-07    0.37459E-04    0.48665E-04    0.11950E-01    0.68331E-09    0.48945E-07    0.48665E-04    0.70361E-04
    17    0.12067E+02    0.28548E-06    0.44559E-04    0.32528E-02    0.12406E-01    0.28548E-06    0.23451E-13    0.10120E-11    0.32397E-09    0.53371E-09    0.44559E-04    0.10120E-11    0.17555E-09    0.12812E-07    0.50438E-07    0.32528E-02    0.32397E-09    0.12812E-07    0.42292E-04    0.55206E-04    0.12406E-01    0.53371E-09    0.50438E-07    0.55206E-04    0.80017E-04
