#    L    TT             EE             TE             PP             TP          
     2    0.32888E+03    0.81923E-10   -0.12887E-04    0.95486E+06    0.32963E+05
     3    0.23063E+03    0.25134E-10    0.79035E-05    0.14652E+07    0.36864E+05
     4    0.17344E+03    0.67881E-11    0.75839E-05    0.19131E+07    0.38186E+05
     5    0.13644E+03    0.24632E-11    0.41283E-05    0.23048E+07    0.38283E+05
     6    0.11073E+03    0.11528E-11    0.21529E-05    0.26469E+07    0.37741E+05
     7    0.91942E+02    0.59542E-12    0.21918E-05    0.29465E+07    0.36860E+05
     8    0.77705E+02    0.48422E-12    0.31659E-05    0.32096E+07    0.35803E+05
     9    0.66612E+02    0.60435E-12    0.37103E-05    0.34414E+07    0.34665E+05
    10    0.57761E+02    0.62761E-12    0.33344E-05    0.36457E+07    0.33494E+05
    11    0.50581E+02    0.45954E-12    0.24100E-05    0.38271E+07    0.32330E+05
    12    0.44800E+02    0.10382E-03   -0.23642E-03    0.39871E+07    0.31183E+05
    13    0.39690E+02    0.10600E-12    0.98960E-06    0.41284E+07    0.30062E+05
    14    0.35457E+02   -0.27194E-04    0.79369E-04    0.42536E+07    0.28981E+05
    15    0.31920E+02    0.95401E-13    0.93336E-06    0.43643E+07    0.27940E+05
    16    0.28808E+02   -0.22586E-04    0.32419E-03    0.44620E+07    0.26940E+05
    17    0.26167E+02    0.14254E-12    0.11032E-05    0.45480E+07    0.25983E+05
    18    0.23399E+02    0.11488E-04   -0.52506E-03    0.46238E+07    0.25068E+05
    19    0.21784E+02    0.11353E-12    0.84457E-06    0.46900E+07    0.24193E+05
    20    0.20011E+02    0.10034E-04   -0.10283E-04    0.47472E+07    0.23354E+05
    21    0.18362E+02    0.64931E-13    0.43133E-06    0.47965E+07    0.22552E+05
    22    0.16973E+02   -0.67106E-05   -0.42816E-04    0.48388E+07    0.21786E+05
    23    0.15644E+02    0.28397E-13    0.23846E-06    0.48747E+07    0.21054E+05
    24    0.14467E+02   -0.45945E-05    0.19290E-03    0.49046E+07    0.20354E+05
    25    0.13449E+02    0.28355E-13    0.31544E-06    0.49291E+07    0.19684E+05
    26    0.12453E+02    0.45677E-05    0.17360E-03    0.49487E+07    0.19043E+05
    27    0.11654E+02    0.75359E-13    0.49150E-06    0.49638E+07    0.18431E+05
    28    0.10850E+02    0.62322E-06   -0.24418E-03    0.49749E+07    0.17844E+05
    29    0.10168E+02    0.11797E-12    0.59647E-06    0.49820E+07    0.17282E+05
    30    0.95893E+01   -0.21393E-05    0.17083E-04    0.49853E+07    0.16742E+05
    31    0.89239E+01    0.11188E-12    0.57173E-06    0.49853E+07    0.16224E+05
    32    0.83459E+01    0.18985E-05    0.16075E-03    0.49824E+07    0.15728E+05
    33    0.78752E+01    0.72751E-13    0.45061E-06    0.49768E+07    0.15251E+05
    34    0.73944E+01    0.58091E-06   -0.27633E-03    0.49688E+07    0.14794E+05
    35    0.69840E+01    0.37914E-13    0.29644E-06    0.49584E+07    0.14355E+05
    36    0.66436E+01   -0.13653E-06    0.46396E-03    0.49460E+07    0.13934E+05
    37    0.62213E+01    0.21090E-13    0.16186E-06    0.49317E+07    0.13528E+05
    38    0.58560E+01    0.41830E-05   -0.55396E-03    0.49156E+07    0.13139E+05
    39    0.55890E+01    0.55145E-05   -0.64622E-03    0.48979E+07    0.12764E+05
    40    0.52701E+01    0.13911E-13    0.50903E-07    0.48786E+07    0.12403E+05
    41    0.51029E+01   -0.10177E-04    0.12919E-02    0.48580E+07    0.12056E+05
    42    0.48496E+01   -0.18179E-04    0.24750E-02    0.48360E+07    0.11722E+05
    43    0.46265E+01   -0.16190E-04    0.26481E-02    0.48129E+07    0.11399E+05
    44    0.42525E+01   -0.11250E-04    0.18016E-02    0.47887E+07    0.11088E+05
    45    0.40666E+01    0.87196E-14    0.69550E-07    0.47635E+07    0.10789E+05
    46    0.39698E+01    0.21386E-04   -0.44410E-02    0.47374E+07    0.10500E+05
    47    0.38201E+01    0.45231E-04   -0.10322E-01    0.47106E+07    0.10221E+05
    48    0.35575E+01    0.68040E-04   -0.13066E-01    0.46831E+07    0.99525E+04
    49    0.32707E+01    0.64032E-04   -0.86922E-02    0.46549E+07    0.96931E+04
    50    0.31967E+01    0.13572E-13    0.12643E-06    0.46262E+07    0.94425E+04
    51    0.31220E+01   -0.15865E-03    0.87114E-02    0.45970E+07    0.92006E+04
    52    0.32589E+01   -0.32573E-03    0.12776E-01    0.45673E+07    0.89668E+04
    53    0.32201E+01   -0.34961E-03    0.92856E-02    0.45373E+07    0.87410E+04
    54    0.29157E+01   -0.23463E-03    0.33016E-02    0.45068E+07    0.85226E+04
    55    0.25530E+01    0.11485E-13    0.10844E-06    0.44761E+07    0.83115E+04
    56    0.23438E+01    0.21343E-03   -0.17290E-02    0.44451E+07    0.81073E+04
    57    0.22221E+01    0.29820E-03   -0.18357E-02    0.44138E+07    0.79097E+04
