#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    16    0.95595E+03    0.10653E+01    0.11368E-03    0.59253E-04   -0.44856E-03    0.10653E+01    0.25107E-02   -0.25242E-07    0.48383E-08   -0.20402E-07    0.11368E-03   -0.25242E-07    0.46697E-09   -0.98259E-09    0.14919E-08    0.59253E-04    0.48383E-08   -0.98259E-09    0.17395E-05   -0.44609E-05   -0.44856E-03   -0.20402E-07    0.14919E-08   -0.44609E-05    0.13838E-04
    17    0.96936E+03    0.11618E+01    0.10359E-03    0.54620E-04   -0.40648E-03    0.11618E+01    0.31573E-02   -0.25248E-07    0.86987E-08   -0.27813E-07    0.10359E-03   -0.25248E-07    0.42194E-09   -0.93325E-09    0.14509E-08    0.54620E-04    0.86987E-08   -0.93325E-09    0.18011E-05   -0.45977E-05   -0.40648E-03   -0.27813E-07    0.14509E-08   -0.45977E-05    0.14316E-04
    18    0.98350E+03    0.12579E+01    0.94806E-04    0.46358E-04   -0.36258E-03    0.12579E+01    0.38966E-02   -0.25191E-07    0.10389E-07   -0.24086E-07    0.94806E-04   -0.25191E-07    0.38301E-09   -0.88818E-09    0.14106E-08    0.46358E-04    0.10389E-07   -0.88818E-09    0.18567E-05   -0.47185E-05   -0.36258E-03   -0.24086E-07    0.14106E-08   -0.47185E-05    0.14744E-04
    19    0.99914E+03    0.13535E+01    0.87114E-04    0.37702E-04   -0.32455E-03    0.13535E+01    0.47242E-02   -0.25074E-07    0.83690E-08   -0.12177E-07    0.87114E-04   -0.25074E-07    0.34914E-09   -0.84681E-09    0.13712E-08    0.37702E-04    0.83690E-08   -0.84681E-09    0.19068E-05   -0.48242E-05   -0.32455E-03   -0.12177E-07    0.13712E-08   -0.48242E-05    0.15127E-04
    20    0.10146E+04    0.14460E+01    0.80302E-04    0.31949E-04   -0.29840E-03    0.14460E+01    0.56925E-02   -0.24916E-07    0.24362E-08    0.18960E-08    0.80302E-04   -0.24916E-07    0.31943E-09   -0.80860E-09    0.13327E-08    0.31949E-04    0.24362E-08   -0.80860E-09    0.19514E-05   -0.49155E-05   -0.29840E-03    0.18960E-08    0.13327E-08   -0.49155E-05    0.15465E-04
    21    0.10302E+04    0.15352E+01    0.74243E-04    0.28934E-04   -0.27945E-03    0.15352E+01    0.67694E-02   -0.24734E-07   -0.39935E-08    0.11443E-07    0.74243E-04   -0.24734E-07    0.29325E-09   -0.77325E-09    0.12955E-08    0.28934E-04   -0.39935E-08   -0.77325E-09    0.19908E-05   -0.49934E-05   -0.27945E-03    0.11443E-07    0.12955E-08   -0.49934E-05    0.15762E-04
    22    0.10464E+04    0.16207E+01    0.68834E-04    0.27523E-04   -0.26136E-03    0.16207E+01    0.79885E-02   -0.24542E-07   -0.73081E-08    0.11628E-07    0.68834E-04   -0.24542E-07    0.27007E-09   -0.74051E-09    0.12594E-08    0.27523E-04   -0.73081E-08   -0.74051E-09    0.20255E-05   -0.50588E-05   -0.26136E-03    0.11628E-07    0.12594E-08   -0.50588E-05    0.16019E-04
    23    0.10630E+04    0.17023E+01    0.63981E-04    0.26174E-04   -0.24194E-03    0.17023E+01    0.93697E-02   -0.24346E-07   -0.67335E-08    0.56937E-08    0.63981E-04   -0.24346E-07    0.24944E-09   -0.71008E-09    0.12246E-08    0.26174E-04   -0.67335E-08   -0.71008E-09    0.20555E-05   -0.51125E-05   -0.24194E-03    0.56937E-08    0.12246E-08   -0.51125E-05    0.16240E-04
    24    0.10799E+04    0.17798E+01    0.59601E-04    0.23649E-04   -0.22085E-03    0.17798E+01    0.10898E-01   -0.24146E-07   -0.28466E-08   -0.13776E-08    0.59601E-04   -0.24146E-07    0.23099E-09   -0.68169E-09    0.11910E-08    0.23649E-04   -0.28466E-08   -0.68169E-09    0.20813E-05   -0.51553E-05   -0.22085E-03   -0.13776E-08    0.11910E-08   -0.51553E-05    0.16425E-04
    25    0.10973E+04    0.18521E+01    0.55638E-04    0.20311E-04   -0.20114E-03    0.18521E+01    0.12603E-01   -0.23939E-07    0.12114E-08   -0.57286E-08    0.55638E-04   -0.23939E-07    0.21443E-09   -0.65514E-09    0.11585E-08    0.20311E-04    0.12114E-08   -0.65514E-09    0.21029E-05   -0.51880E-05   -0.20114E-03   -0.57286E-08    0.11585E-08   -0.51880E-05    0.16578E-04
