#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2    0.32888E+03   -0.12887E-04    0.14436E-02   -0.20690E-03    0.93165E-02   -0.12887E-04    0.81923E-10   -0.44052E-10   -0.10177E-08    0.49722E-09    0.14436E-02   -0.44052E-10    0.76718E-08   -0.10428E-08    0.47451E-07   -0.20690E-03   -0.10177E-08   -0.10428E-08    0.24510E-05    0.27113E-05    0.93165E-02    0.49722E-09    0.47451E-07    0.27113E-05    0.37694E-05
     3    0.23063E+03    0.79035E-05    0.95673E-03    0.67060E-03    0.11593E-01    0.79035E-05    0.25134E-10    0.29132E-10   -0.83553E-10    0.51123E-09    0.95673E-03    0.29132E-10    0.46506E-08    0.30392E-08    0.55342E-07    0.67060E-03   -0.83553E-10    0.30392E-08    0.47518E-05    0.54435E-05    0.11593E-01    0.51123E-09    0.55342E-07    0.54435E-05    0.75212E-05
     4    0.17344E+03    0.75839E-05    0.69684E-03    0.15377E-02    0.13661E-01    0.75839E-05    0.67881E-11    0.27534E-10    0.24823E-09    0.66711E-09    0.69684E-03    0.27534E-10    0.32023E-08    0.66755E-08    0.62532E-07    0.15377E-02    0.24823E-09    0.66755E-08    0.77231E-05    0.90636E-05    0.13661E-01    0.66711E-09    0.62532E-07    0.90636E-05    0.12516E-04
     5    0.13644E+03    0.41283E-05    0.53653E-03    0.23837E-02    0.15556E-01    0.41283E-05    0.24632E-11    0.15268E-10    0.58448E-09    0.89428E-09    0.53653E-03    0.15268E-10    0.23703E-08    0.10066E-07    0.69064E-07    0.23837E-02    0.58448E-09    0.10066E-07    0.11343E-04    0.13561E-04    0.15556E-01    0.89428E-09    0.69064E-07    0.13561E-04    0.18756E-04
     6    0.11073E+03    0.21529E-05    0.42854E-03    0.31888E-02    0.17273E-01    0.21529E-05    0.11528E-11    0.79972E-11    0.29146E-09    0.34488E-09    0.42854E-03    0.79972E-11    0.18378E-08    0.13224E-07    0.74911E-07    0.31888E-02    0.29146E-09    0.13224E-07    0.15594E-04    0.18923E-04    0.17273E-01    0.34488E-09    0.74911E-07    0.18923E-04    0.26230E-04
     7    0.91942E+02    0.21918E-05    0.35142E-03    0.39409E-02    0.18825E-01    0.21918E-05    0.59542E-12    0.76428E-11   -0.68940E-10    0.17298E-09    0.35142E-03    0.76428E-11    0.14724E-08    0.16144E-07    0.80132E-07    0.39409E-02   -0.68940E-10    0.16144E-07    0.20461E-04    0.25137E-04    0.18825E-01    0.17298E-09    0.80132E-07    0.25137E-04    0.34936E-04
     8    0.77705E+02    0.31659E-05    0.29401E-03    0.46420E-02    0.20232E-01    0.31659E-05    0.48422E-12    0.11014E-10    0.47139E-09    0.12246E-08    0.29401E-03    0.11014E-10    0.12088E-08    0.18845E-07    0.84812E-07    0.46420E-02    0.47139E-09    0.18845E-07    0.25925E-04    0.32190E-04    0.20232E-01    0.12246E-08    0.84812E-07    0.32190E-04    0.44868E-04
     9    0.66612E+02    0.37103E-05    0.24991E-03    0.52987E-02    0.21514E-01    0.37103E-05    0.60435E-12    0.13262E-10    0.14408E-08    0.24758E-08    0.24991E-03    0.13262E-10    0.10114E-08    0.21364E-07    0.89039E-07    0.52987E-02    0.14408E-08    0.21364E-07    0.31984E-04    0.40085E-04    0.21514E-01    0.24758E-08    0.89039E-07    0.40085E-04    0.56036E-04
    10    0.57761E+02    0.33344E-05    0.21515E-03    0.59120E-02    0.22678E-01    0.33344E-05    0.62761E-12    0.12199E-10    0.18043E-08    0.27042E-08    0.21515E-03    0.12199E-10    0.85922E-09    0.23708E-07    0.92850E-07    0.59120E-02    0.18043E-08    0.23708E-07    0.38627E-04    0.48812E-04    0.22678E-01    0.27042E-08    0.92850E-07    0.48812E-04    0.68435E-04
    11    0.50581E+02    0.24100E-05    0.18723E-03    0.64888E-02    0.23744E-01    0.24100E-05    0.45954E-12    0.89275E-11    0.13371E-08    0.19077E-08    0.18723E-03    0.89275E-11    0.73926E-09    0.25906E-07    0.96317E-07    0.64888E-02    0.13371E-08    0.25906E-07    0.45854E-04    0.58379E-04    0.23744E-01    0.19077E-08    0.96317E-07    0.58379E-04    0.82081E-04
