#    L    TT             EE             TE             PP             TP          
    75    0.22665E+04    0.44793E+00   -0.92085E+01    0.55021E+07    0.82955E+04
    76    0.22959E+04    0.46402E+00   -0.97876E+01    0.54718E+07    0.81615E+04
    77    0.23258E+04    0.48031E+00   -0.10379E+02    0.54415E+07    0.80311E+04
    78    0.23560E+04    0.49683E+00   -0.10984E+02    0.54110E+07    0.79039E+04
    79    0.23865E+04    0.51352E+00   -0.11598E+02    0.53805E+07    0.77798E+04
    80    0.24173E+04    0.53039E+00   -0.12224E+02    0.53499E+07    0.76588E+04
    81    0.24483E+04    0.54738E+00   -0.12861E+02    0.53193E+07    0.75406E+04
    82    0.24796E+04    0.56450E+00   -0.13509E+02    0.52887E+07    0.74250E+04
    83    0.25111E+04    0.58174E+00   -0.14167E+02    0.52581E+07    0.73118E+04
    84    0.25429E+04    0.59909E+00   -0.14833E+02    0.52275E+07    0.72007E+04
    85    0.25749E+04    0.61652E+00   -0.15510E+02    0.51970E+07    0.70916E+04
    86    0.26071E+04    0.63403E+00   -0.16195E+02    0.51665E+07    0.69842E+04
    87    0.26398E+04    0.65160E+00   -0.16888E+02    0.51361E+07    0.68786E+04
    88    0.26724E+04    0.66924E+00   -0.17588E+02    0.51058E+07    0.67748E+04
    89    0.27055E+04    0.68694E+00   -0.18298E+02    0.50755E+07    0.66728E+04
    90    0.27389E+04    0.70464E+00   -0.19014E+02    0.50453E+07    0.65727E+04
    91    0.27724E+04    0.72236E+00   -0.19736E+02    0.50153E+07    0.64745E+04
    92    0.28062E+04    0.74006E+00   -0.20464E+02    0.49853E+07    0.63782E+04
    93    0.28404E+04    0.75774E+00   -0.21198E+02    0.49554E+07    0.62837E+04
    94    0.28746E+04    0.77536E+00   -0.21936E+02    0.49256E+07    0.61910E+04
    95    0.29092E+04    0.79292E+00   -0.22679E+02    0.48960E+07    0.61000E+04
    96    0.29438E+04    0.81040E+00   -0.23426E+02    0.48664E+07    0.60108E+04
    97    0.29789E+04    0.82778E+00   -0.24177E+02    0.48370E+07    0.59233E+04
    98    0.30143E+04    0.84506E+00   -0.24929E+02    0.48077E+07    0.58375E+04
    99    0.30497E+04    0.86220E+00   -0.25685E+02    0.47785E+07    0.57533E+04
   100    0.30855E+04    0.87918E+00   -0.26440E+02    0.47494E+07    0.56706E+04
   101    0.31215E+04    0.89608E+00   -0.27198E+02    0.47205E+07    0.55895E+04
   102    0.31580E+04    0.91274E+00   -0.27957E+02    0.46917E+07    0.55100E+04
   103    0.31944E+04    0.92923E+00   -0.28716E+02    0.46631E+07    0.54319E+04
   104    0.32312E+04    0.94556E+00   -0.29474E+02    0.46346E+07    0.53553E+04
   105    0.32681E+04    0.96163E+00   -0.30230E+02    0.46063E+07    0.52800E+04
   106    0.33053E+04    0.97754E+00   -0.30986E+02    0.45781E+07    0.52062E+04
   107    0.33424E+04    0.99312E+00   -0.31739E+02    0.45500E+07    0.51336E+04
   108    0.33799E+04    0.10084E+01   -0.32489E+02    0.45222E+07    0.50624E+04
   109    0.34177E+04    0.10234E+01   -0.33236E+02    0.44945E+07    0.49924E+04
   110    0.34555E+04    0.10381E+01   -0.33977E+02    0.44669E+07    0.49237E+04
   111    0.34935E+04    0.10525E+01   -0.34715E+02    0.44396E+07    0.48562E+04
   112    0.35318E+04    0.10666E+01   -0.35449E+02    0.44124E+07    0.47898E+04
