#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    16    0.95595E+03    0.10653E+01    0.11368E-03    0.00000E+00   -0.12358E-01    0.10653E+01    0.25107E-02   -0.25242E-07    0.00000E+00   -0.86925E-09    0.11368E-03   -0.25242E-07    0.46697E-09    0.00000E+00   -0.47659E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.12358E-01   -0.86925E-09   -0.47659E-07    0.00000E+00    0.60859E-05
    17    0.96936E+03    0.11618E+01    0.10359E-03    0.00000E+00   -0.12491E-01    0.11618E+01    0.31573E-02   -0.25248E-07    0.00000E+00   -0.67617E-09    0.10359E-03   -0.25248E-07    0.42194E-09    0.00000E+00   -0.47846E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.12491E-01   -0.67617E-09   -0.47846E-07    0.00000E+00    0.68342E-05
    18    0.98350E+03    0.12579E+01    0.94806E-04    0.00000E+00   -0.12598E-01    0.12579E+01    0.38966E-02   -0.25191E-07    0.00000E+00   -0.36496E-09    0.94806E-04   -0.25191E-07    0.38301E-09    0.00000E+00   -0.47960E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.12598E-01   -0.36496E-09   -0.47960E-07    0.00000E+00    0.76145E-05
    19    0.99914E+03    0.13535E+01    0.87114E-04    0.00000E+00   -0.12679E-01    0.13535E+01    0.47242E-02   -0.25074E-07    0.00000E+00   -0.89383E-10    0.87114E-04   -0.25074E-07    0.34914E-09    0.00000E+00   -0.48008E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.12679E-01   -0.89383E-10   -0.48008E-07    0.00000E+00    0.84239E-05
    20    0.10146E+04    0.14460E+01    0.80302E-04    0.00000E+00   -0.12738E-01    0.14460E+01    0.56925E-02   -0.24916E-07    0.00000E+00    0.28169E-10    0.80302E-04   -0.24916E-07    0.31943E-09    0.00000E+00   -0.47993E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.12738E-01    0.28169E-10   -0.47993E-07    0.00000E+00    0.92596E-05
    21    0.10302E+04    0.15352E+01    0.74243E-04    0.00000E+00   -0.12778E-01    0.15352E+01    0.67694E-02   -0.24734E-07    0.00000E+00    0.29228E-10    0.74243E-04   -0.24734E-07    0.29325E-09    0.00000E+00   -0.47924E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.12778E-01    0.29228E-10   -0.47924E-07    0.00000E+00    0.10120E-04
    22    0.10464E+04    0.16207E+01    0.68834E-04    0.00000E+00   -0.12800E-01    0.16207E+01    0.79885E-02   -0.24542E-07    0.00000E+00   -0.21732E-10    0.68834E-04   -0.24542E-07    0.27007E-09    0.00000E+00   -0.47811E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.12800E-01   -0.21732E-10   -0.47811E-07    0.00000E+00    0.11004E-04
    23    0.10630E+04    0.17023E+01    0.63981E-04    0.00000E+00   -0.12807E-01    0.17023E+01    0.93697E-02   -0.24346E-07    0.00000E+00   -0.13241E-09    0.63981E-04   -0.24346E-07    0.24944E-09    0.00000E+00   -0.47656E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.12807E-01   -0.13241E-09   -0.47656E-07    0.00000E+00    0.11909E-04
    24    0.10799E+04    0.17798E+01    0.59601E-04    0.00000E+00   -0.12799E-01    0.17798E+01    0.10898E-01   -0.24146E-07    0.00000E+00   -0.30509E-09    0.59601E-04   -0.24146E-07    0.23099E-09    0.00000E+00   -0.47463E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.12799E-01   -0.30509E-09   -0.47463E-07    0.00000E+00    0.12832E-04
    25    0.10973E+04    0.18521E+01    0.55638E-04    0.00000E+00   -0.12778E-01    0.18521E+01    0.12603E-01   -0.23939E-07    0.00000E+00   -0.44831E-09    0.55638E-04   -0.23939E-07    0.21443E-09    0.00000E+00   -0.47237E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.12778E-01   -0.44831E-09   -0.47237E-07    0.00000E+00    0.13772E-04
    26    0.11148E+04    0.19194E+01    0.52045E-04    0.00000E+00   -0.12747E-01    0.19194E+01    0.14486E-01   -0.23723E-07    0.00000E+00   -0.48610E-09    0.52045E-04   -0.23723E-07    0.19951E-09    0.00000E+00   -0.46984E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.12747E-01   -0.48610E-09   -0.46984E-07    0.00000E+00    0.14730E-04
    27    0.11328E+04    0.19803E+01    0.48779E-04    0.00000E+00   -0.12706E-01    0.19803E+01    0.16544E-01   -0.23497E-07    0.00000E+00   -0.49836E-09    0.48779E-04   -0.23497E-07    0.18603E-09    0.00000E+00   -0.46708E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.12706E-01   -0.49836E-09   -0.46708E-07    0.00000E+00    0.15703E-04
    28    0.11511E+04    0.20342E+01    0.45800E-04    0.00000E+00   -0.12654E-01    0.20342E+01    0.18803E-01   -0.23261E-07    0.00000E+00   -0.55926E-09    0.45800E-04   -0.23261E-07    0.17380E-09    0.00000E+00   -0.46411E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.12654E-01   -0.55926E-09   -0.46411E-07    0.00000E+00    0.16690E-04
    29    0.11698E+04    0.20810E+01    0.43078E-04    0.00000E+00   -0.12594E-01    0.20810E+01    0.21264E-01   -0.23017E-07    0.00000E+00   -0.56439E-09    0.43078E-04   -0.23017E-07    0.16267E-09    0.00000E+00   -0.46092E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.12594E-01   -0.56439E-09   -0.46092E-07    0.00000E+00    0.17688E-04
    30    0.11887E+04    0.21193E+01    0.40585E-04    0.00000E+00   -0.12528E-01    0.21193E+01    0.23937E-01   -0.22768E-07    0.00000E+00   -0.42143E-09    0.40585E-04   -0.22768E-07    0.15251E-09    0.00000E+00   -0.45753E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.12528E-01   -0.42143E-09   -0.45753E-07    0.00000E+00    0.18695E-04
    31    0.12076E+04    0.21490E+01    0.38294E-04    0.00000E+00   -0.12454E-01    0.21490E+01    0.26837E-01   -0.22518E-07    0.00000E+00   -0.26516E-09    0.38294E-04   -0.22518E-07    0.14320E-09    0.00000E+00   -0.45397E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.12454E-01   -0.26516E-09   -0.45397E-07    0.00000E+00    0.19711E-04
    32    0.12270E+04    0.21703E+01    0.36177E-04    0.00000E+00   -0.12373E-01    0.21703E+01    0.29969E-01   -0.22267E-07    0.00000E+00   -0.23451E-09    0.36177E-04   -0.22267E-07    0.13468E-09    0.00000E+00   -0.45028E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.12373E-01   -0.23451E-09   -0.45028E-07    0.00000E+00    0.20733E-04
    33    0.12467E+04    0.21822E+01    0.34221E-04    0.00000E+00   -0.12287E-01    0.21822E+01    0.33337E-01   -0.22016E-07    0.00000E+00   -0.25798E-09    0.34221E-04   -0.22016E-07    0.12684E-09    0.00000E+00   -0.44648E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.12287E-01   -0.25798E-09   -0.44648E-07    0.00000E+00    0.21762E-04
