#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2    0.14758E+04   -0.14176E-03    0.60254E-02    0.43648E-02    0.41660E-01   -0.14176E-03    0.63432E-09   -0.50973E-09   -0.82710E-08    0.22084E-08    0.60254E-02   -0.50973E-09    0.27370E-07    0.15432E-07    0.18160E-06    0.43648E-02   -0.82710E-08    0.15432E-07    0.74010E-05    0.77987E-05    0.41660E-01    0.22084E-08    0.18160E-06    0.77987E-05    0.11242E-04
     3    0.90260E+03    0.23098E-04    0.35202E-02    0.71692E-02    0.46117E-01    0.23098E-04    0.16882E-09    0.82151E-10   -0.67448E-09    0.30638E-08    0.35202E-02    0.82151E-10    0.15013E-07    0.28790E-07    0.19269E-06    0.71692E-02   -0.67448E-09    0.28790E-07    0.13946E-04    0.15594E-04    0.46117E-01    0.30638E-08    0.19269E-06    0.15594E-04    0.21993E-04
     4    0.61718E+03    0.25501E-04    0.23488E-02    0.98836E-02    0.49906E-01    0.25501E-04    0.38757E-10    0.92384E-10    0.21027E-08    0.32381E-08    0.23488E-02    0.92384E-10    0.96466E-08    0.40283E-07    0.20389E-06    0.98836E-02    0.21027E-08    0.40283E-07    0.22192E-04    0.25747E-04    0.49906E-01    0.32381E-08    0.20389E-06    0.25747E-04    0.35988E-04
     5    0.45112E+03    0.11923E-04    0.16900E-02    0.12389E-01    0.53179E-01    0.11923E-04    0.11053E-10    0.43928E-10    0.17274E-08    0.20451E-08    0.16900E-02    0.43928E-10    0.67642E-08    0.50347E-07    0.21405E-06    0.12389E-01    0.17274E-08    0.50347E-07    0.32023E-04    0.38136E-04    0.53179E-01    0.20451E-08    0.21405E-06    0.38136E-04    0.53100E-04
     6    0.34476E+03    0.97598E-05    0.12769E-02    0.14622E-01    0.55936E-01    0.97598E-05    0.39951E-11    0.34165E-10    0.26406E-09    0.11718E-08    0.12769E-02    0.34165E-10    0.50143E-08    0.59094E-07    0.22267E-06    0.14622E-01    0.26406E-09    0.59094E-07    0.43341E-04    0.52632E-04    0.55936E-01    0.11718E-08    0.22267E-06    0.52632E-04    0.73165E-04
     7    0.27205E+03    0.13177E-04    0.99893E-03    0.16562E-01    0.58227E-01    0.13177E-04    0.22609E-11    0.45514E-10    0.14489E-08    0.40098E-08    0.99893E-03    0.45514E-10    0.38649E-08    0.66599E-07    0.22979E-06    0.16562E-01    0.14489E-08    0.66599E-07    0.56047E-04    0.69112E-04    0.58227E-01    0.40098E-08    0.22979E-06    0.69112E-04    0.96048E-04
     8    0.21996E+03    0.14063E-04    0.80209E-03    0.18239E-01    0.60129E-01    0.14063E-04    0.21471E-11    0.49779E-10    0.43779E-08    0.77049E-08    0.80209E-03    0.49779E-10    0.30666E-08    0.73031E-07    0.23564E-06    0.18239E-01    0.43779E-08    0.73031E-07    0.70039E-04    0.87458E-04    0.60129E-01    0.77049E-08    0.23564E-06    0.87458E-04    0.12161E-03
     9    0.18131E+03    0.10779E-04    0.65737E-03    0.19703E-01    0.61719E-01    0.10779E-04    0.17191E-11    0.39215E-10    0.52524E-08    0.78001E-08    0.65737E-03    0.39215E-10    0.24888E-08    0.78607E-07    0.24046E-06    0.19703E-01    0.52524E-08    0.78607E-07    0.85264E-04    0.10760E-03    0.61719E-01    0.78001E-08    0.24046E-06    0.10760E-03    0.14978E-03
    10    0.15178E+03    0.62131E-05    0.54768E-03    0.20977E-01    0.63028E-01    0.62131E-05    0.88706E-12    0.22962E-10    0.32595E-08    0.45283E-08    0.54768E-03    0.22962E-10    0.20565E-08    0.83431E-07    0.24435E-06    0.20977E-01    0.32595E-08    0.83431E-07    0.10165E-03    0.12945E-03    0.63028E-01    0.45283E-08    0.24435E-06    0.12945E-03    0.18043E-03
    11    0.12873E+03    0.31416E-05    0.46260E-03    0.22098E-01    0.64117E-01    0.31416E-05    0.32961E-12    0.11304E-10    0.68002E-09    0.12868E-08    0.46260E-03    0.11304E-10    0.17250E-08    0.87654E-07    0.24752E-06    0.22098E-01    0.68002E-09    0.87654E-07    0.11915E-03    0.15294E-03    0.64117E-01    0.12868E-08    0.24752E-06    0.15294E-03    0.21351E-03
    12    0.11049E+03   -0.23575E-03    0.39510E-03    0.23081E-01    0.64997E-01   -0.23575E-03    0.10382E-03    0.73905E-11   -0.26292E-09    0.58040E-09    0.39510E-03    0.73905E-11    0.14644E-08    0.91335E-07    0.25000E-06    0.23081E-01   -0.26292E-09    0.91335E-07    0.13771E-03    0.17802E-03    0.64997E-01    0.58040E-09    0.25000E-06    0.17802E-03    0.24891E-03
    13    0.95481E+02    0.24945E-05    0.34086E-03    0.23942E-01    0.65697E-01    0.24945E-05    0.31344E-12    0.81080E-11    0.35148E-09    0.18722E-08    0.34086E-03    0.81080E-11    0.12569E-08    0.94547E-07    0.25189E-06    0.23942E-01    0.35148E-09    0.94547E-07    0.15730E-03    0.20462E-03    0.65697E-01    0.18722E-08    0.25189E-06    0.20462E-03    0.28658E-03
    14    0.83233E+02    0.81419E-04    0.29648E-03    0.24701E-01    0.66247E-01    0.81419E-04   -0.27194E-04    0.96380E-11    0.17944E-08    0.38948E-08    0.29648E-03    0.96380E-11    0.10883E-08    0.97364E-07    0.25331E-06    0.24701E-01    0.17944E-08    0.97364E-07    0.17787E-03    0.23269E-03    0.66247E-01    0.38948E-08    0.25331E-06    0.23269E-03    0.32645E-03
    15    0.73143E+02    0.29463E-05    0.25980E-03    0.25369E-01    0.66667E-01    0.29463E-05    0.34200E-12    0.10120E-10    0.30216E-08    0.53149E-08    0.25980E-03    0.10120E-10    0.94988E-09    0.99837E-07    0.25430E-06    0.25369E-01    0.30216E-08    0.99837E-07    0.19940E-03    0.26220E-03    0.66667E-01    0.53149E-08    0.25430E-06    0.26220E-03    0.36845E-03
    16    0.64607E+02    0.32560E-03    0.22910E-03    0.25958E-01    0.66971E-01    0.32560E-03   -0.22586E-04    0.86475E-11    0.31849E-08    0.51502E-08    0.22910E-03    0.86475E-11    0.83476E-09    0.10201E-06    0.25493E-06    0.25958E-01    0.31849E-08    0.10201E-06    0.22184E-03    0.29308E-03    0.66971E-01    0.51502E-08    0.25493E-06    0.29308E-03    0.41253E-03
    17    0.57441E+02    0.17262E-05    0.20322E-03    0.26477E-01    0.67174E-01    0.17262E-05    0.16640E-12    0.61669E-11    0.25355E-08    0.38902E-08    0.20322E-03    0.61669E-11    0.73822E-09    0.10391E-06    0.25525E-06    0.26477E-01    0.25355E-08    0.10391E-06    0.24518E-03    0.32532E-03    0.67174E-01    0.38902E-08    0.25525E-06    0.32532E-03    0.45863E-03
    18    0.50861E+02   -0.52500E-03    0.18119E-03    0.26934E-01    0.67292E-01   -0.52500E-03    0.11488E-04    0.39251E-11    0.15970E-08    0.23686E-08    0.18119E-03    0.39251E-11    0.65640E-09    0.10558E-06    0.25529E-06    0.26934E-01    0.15970E-08    0.10558E-06    0.26938E-03    0.35887E-03    0.67292E-01    0.23686E-08    0.25529E-06    0.35887E-03    0.50671E-03
    19    0.46013E+02    0.68503E-06    0.16230E-03    0.27336E-01    0.67330E-01    0.68503E-06    0.72908E-13    0.25131E-11    0.88501E-09    0.13238E-08    0.16230E-03    0.25131E-11    0.58658E-09    0.10704E-06    0.25509E-06    0.27336E-01    0.88501E-09    0.10704E-06    0.29442E-03    0.39368E-03    0.67330E-01    0.13238E-08    0.25509E-06    0.39368E-03    0.55669E-03
    20    0.41474E+02   -0.10307E-04    0.14597E-03    0.27685E-01    0.67294E-01   -0.10307E-04    0.10034E-04    0.22160E-11    0.81790E-09    0.13278E-08    0.14597E-03    0.22160E-11    0.52646E-09    0.10831E-06    0.25465E-06    0.27685E-01    0.81790E-09    0.10831E-06    0.32026E-03    0.42971E-03    0.67294E-01    0.13278E-08    0.25465E-06    0.42971E-03    0.60850E-03
    21    0.37450E+02    0.75821E-06    0.13178E-03    0.27988E-01    0.67195E-01    0.75821E-06    0.60350E-13    0.27513E-11    0.14349E-08    0.23813E-08    0.13178E-03    0.27513E-11    0.47443E-09    0.10940E-06    0.25402E-06    0.27988E-01    0.14349E-08    0.10940E-06    0.34689E-03    0.46693E-03    0.67195E-01    0.23813E-08    0.25402E-06    0.46693E-03    0.66211E-03
    22    0.34006E+02   -0.42091E-04    0.11939E-03    0.28252E-01    0.67045E-01   -0.42091E-04   -0.67106E-05    0.36967E-11    0.26145E-08    0.42536E-08    0.11939E-03    0.36967E-11    0.42912E-09    0.11035E-06    0.25323E-06    0.28252E-01    0.26145E-08    0.11035E-06    0.37427E-03    0.50530E-03    0.67045E-01    0.42536E-08    0.25323E-06    0.50530E-03    0.71746E-03
    23    0.30895E+02    0.12843E-05    0.10852E-03    0.28478E-01    0.66846E-01    0.12843E-05    0.15770E-12    0.46393E-11    0.39728E-08    0.63596E-08    0.10852E-03    0.46393E-11    0.38949E-09    0.11115E-06    0.25229E-06    0.28478E-01    0.39728E-08    0.11115E-06    0.40239E-03    0.54479E-03    0.66846E-01    0.63596E-08    0.25229E-06    0.54479E-03    0.77450E-03
    24    0.28160E+02    0.19410E-03    0.98921E-04    0.28670E-01    0.66603E-01    0.19410E-03   -0.45945E-05    0.52282E-11    0.51062E-08    0.80955E-08    0.98921E-04    0.52282E-11    0.35460E-09    0.11183E-06    0.25121E-06    0.28670E-01    0.51062E-08    0.11183E-06    0.43122E-03    0.58536E-03    0.66603E-01    0.80955E-08    0.25121E-06    0.58536E-03    0.83316E-03
    25    0.25777E+02    0.14827E-05    0.90422E-04    0.28831E-01    0.66320E-01    0.14827E-05    0.24430E-12    0.53503E-11    0.57954E-08    0.91370E-08    0.90422E-04    0.53503E-11    0.32378E-09    0.11239E-06    0.25002E-06    0.28831E-01    0.57954E-08    0.11239E-06    0.46073E-03    0.62697E-03    0.66320E-01    0.91370E-08    0.25002E-06    0.62697E-03    0.89339E-03
