#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2    0.31696E+03   -0.11122E-04    0.13926E-02   -0.22334E-03    0.89728E-02   -0.11122E-04    0.71729E-10   -0.37292E-10   -0.95957E-09    0.41791E-09    0.13926E-02   -0.37292E-10    0.73824E-08   -0.10937E-08    0.45620E-07   -0.22334E-03   -0.95957E-09   -0.10937E-08    0.23827E-05    0.26381E-05    0.89728E-02    0.41791E-09    0.45620E-07    0.26381E-05    0.36637E-05
     3    0.22293E+03    0.73794E-05    0.92489E-03    0.62482E-03    0.11189E-01    0.73794E-05    0.22147E-10    0.27249E-10   -0.56832E-10    0.57042E-09    0.92489E-03    0.27249E-10    0.44772E-08    0.28528E-08    0.53223E-07    0.62482E-03   -0.56832E-10    0.28528E-08    0.46214E-05    0.52968E-05    0.11189E-01    0.57042E-09    0.53223E-07    0.52968E-05    0.73113E-05
     4    0.16797E+03    0.59527E-05    0.67450E-03    0.14648E-02    0.13202E-01    0.59527E-05    0.59681E-11    0.21891E-10    0.44412E-09    0.75341E-09    0.67450E-03    0.21891E-10    0.30836E-08    0.63757E-08    0.60149E-07    0.14648E-02    0.44412E-09    0.63757E-08    0.75138E-05    0.88204E-05    0.13202E-01    0.75341E-09    0.60149E-07    0.88204E-05    0.12168E-04
     5    0.13231E+03    0.30136E-05    0.51973E-03    0.22859E-02    0.15045E-01    0.30136E-05    0.20109E-11    0.11251E-10    0.40654E-09    0.53748E-09    0.51973E-03    0.11251E-10    0.22825E-08    0.96665E-08    0.66435E-07    0.22859E-02    0.40654E-09    0.96665E-08    0.11039E-04    0.13200E-04    0.15045E-01    0.53748E-09    0.66435E-07    0.13200E-04    0.18236E-04
     6    0.10748E+03    0.28112E-05    0.41530E-03    0.30689E-02    0.16714E-01    0.28112E-05    0.83156E-12    0.99459E-11    0.48652E-10    0.33209E-09    0.41530E-03    0.99459E-11    0.17695E-08    0.12738E-07    0.72056E-07    0.30689E-02    0.48652E-10    0.12738E-07    0.15180E-04    0.18421E-04    0.16714E-01    0.33209E-09    0.72056E-07    0.18421E-04    0.25506E-04
     7    0.89297E+02    0.38645E-05    0.34063E-03    0.38019E-02    0.18221E-01    0.38645E-05    0.55685E-12    0.13424E-10    0.36539E-09    0.11152E-08    0.34063E-03    0.13424E-10    0.14173E-08    0.15583E-07    0.77068E-07    0.38019E-02    0.36539E-09    0.15583E-07    0.19922E-04    0.24475E-04    0.18221E-01    0.11152E-08    0.77068E-07    0.24475E-04    0.33974E-04
     8    0.75498E+02    0.41402E-05    0.28498E-03    0.44862E-02    0.19585E-01    0.41402E-05    0.58022E-12    0.14667E-10    0.11856E-08    0.21718E-08    0.28498E-03    0.14667E-10    0.11631E-08    0.18219E-07    0.81554E-07    0.44862E-02    0.11856E-08    0.18219E-07    0.25249E-04    0.31350E-04    0.19585E-01    0.21718E-08    0.81554E-07    0.31350E-04    0.43636E-04
     9    0.64732E+02    0.32174E-05    0.24219E-03    0.51278E-02    0.20825E-01    0.32174E-05    0.47287E-12    0.11686E-10    0.14590E-08    0.22353E-08    0.24219E-03    0.11686E-10    0.97274E-09    0.20681E-07    0.85601E-07    0.51278E-02    0.14590E-08    0.20681E-07    0.31156E-04    0.39046E-04    0.20825E-01    0.22353E-08    0.85601E-07    0.39046E-04    0.54502E-04
    10    0.56132E+02    0.19127E-05    0.20845E-03    0.57281E-02    0.21949E-01    0.19127E-05    0.24318E-12    0.70481E-11    0.90432E-09    0.13091E-08    0.20845E-03    0.70481E-11    0.82595E-09    0.22975E-07    0.89242E-07    0.57281E-02    0.90432E-09    0.22975E-07    0.37634E-04    0.47557E-04    0.21949E-01    0.13091E-08    0.89242E-07    0.47557E-04    0.66566E-04
    11    0.49148E+02    0.10396E-05    0.18133E-03    0.62935E-02    0.22977E-01    0.10396E-05    0.91148E-13    0.37344E-11    0.15386E-09    0.36484E-09    0.18133E-03    0.37344E-11    0.71023E-09    0.25130E-07    0.92551E-07    0.62935E-02    0.15386E-09    0.25130E-07    0.44685E-04    0.56889E-04    0.22977E-01    0.36484E-09    0.92551E-07    0.56889E-04    0.79845E-04
    12    0.43525E+02   -0.23716E-03    0.15911E-03    0.68244E-02    0.23911E-01   -0.23716E-03    0.10382E-03    0.27289E-11   -0.11498E-09    0.18584E-09    0.15911E-03    0.27289E-11    0.61695E-09    0.27148E-07    0.95536E-07    0.68244E-02   -0.11498E-09    0.27148E-07    0.52302E-04    0.67038E-04    0.23911E-01    0.18584E-09    0.95536E-07    0.67038E-04    0.94336E-04
    13    0.38543E+02    0.94032E-06    0.14069E-03    0.73235E-02    0.24759E-01    0.94032E-06    0.10309E-12    0.30995E-11    0.10033E-09    0.63745E-09    0.14069E-03    0.30995E-11    0.54083E-09    0.29043E-07    0.98233E-07    0.73235E-02    0.10033E-09    0.29043E-07    0.60484E-04    0.78008E-04    0.24759E-01    0.63745E-09    0.98233E-07    0.78008E-04    0.11005E-03
    14    0.34415E+02    0.79622E-04    0.12522E-03    0.77941E-02    0.25532E-01    0.79622E-04   -0.27194E-04    0.36769E-11    0.59565E-09    0.13451E-08    0.12522E-03    0.36769E-11    0.47767E-09    0.30827E-07    0.10069E-06    0.77941E-02    0.59565E-09    0.30827E-07    0.69233E-04    0.89801E-04    0.25532E-01    0.13451E-08    0.10069E-06    0.89801E-04    0.12698E-03
    15    0.30966E+02    0.11208E-05    0.11210E-03    0.82382E-02    0.26237E-01    0.11208E-05    0.11862E-12    0.38539E-11    0.10247E-08    0.18561E-08    0.11210E-03    0.38539E-11    0.42474E-09    0.32508E-07    0.10292E-06    0.82382E-02    0.10247E-08    0.32508E-07    0.78547E-04    0.10242E-03    0.26237E-01    0.18561E-08    0.10292E-06    0.10242E-03    0.14515E-03
    16    0.27928E+02    0.32408E-03    0.10085E-03    0.86576E-02    0.26879E-01    0.32408E-03   -0.22586E-04    0.33235E-11    0.10968E-08    0.18234E-08    0.10085E-03    0.33235E-11    0.37986E-09    0.34095E-07    0.10495E-06    0.86576E-02    0.10968E-08    0.34095E-07    0.88428E-04    0.11587E-03    0.26879E-01    0.18234E-08    0.10495E-06    0.11587E-03    0.16456E-03
    17    0.25350E+02    0.68030E-06    0.91161E-04    0.90542E-02    0.27464E-01    0.68030E-06    0.60672E-13    0.24182E-11    0.88518E-09    0.14001E-08    0.91161E-04    0.24182E-11    0.34153E-09    0.35596E-07    0.10680E-06    0.90542E-02    0.88518E-09    0.35596E-07    0.98876E-04    0.13015E-03    0.27464E-01    0.14001E-08    0.10680E-06    0.13015E-03    0.18521E-03
    18    0.22638E+02   -0.52564E-03    0.82734E-04    0.94298E-02    0.27998E-01   -0.52564E-03    0.11488E-04    0.15785E-11    0.55906E-09    0.86359E-09    0.82734E-04    0.15785E-11    0.30849E-09    0.37016E-07    0.10848E-06    0.94298E-02    0.55906E-09    0.37016E-07    0.10989E-03    0.14527E-03    0.27998E-01    0.86359E-09    0.10848E-06    0.14527E-03    0.20712E-03
    19    0.21070E+02    0.28522E-06    0.75365E-04    0.97851E-02    0.28483E-01    0.28522E-06    0.27671E-13    0.10382E-11    0.30656E-09    0.48908E-09    0.75365E-04    0.10382E-11    0.27982E-09    0.38359E-07    0.11001E-06    0.97851E-02    0.30656E-09    0.38359E-07    0.12148E-03    0.16122E-03    0.28483E-01    0.48908E-09    0.11001E-06    0.16122E-03    0.23026E-03
    20    0.19338E+02   -0.10658E-04    0.68876E-04    0.10121E-01    0.28922E-01   -0.10658E-04    0.10034E-04    0.92388E-12    0.28773E-09    0.50068E-09    0.68876E-04    0.92388E-12    0.25475E-09    0.39627E-07    0.11139E-06    0.10121E-01    0.28773E-09    0.39627E-07    0.13363E-03    0.17801E-03    0.28922E-01    0.50068E-09    0.11139E-06    0.17801E-03    0.25465E-03
    21    0.17727E+02    0.31587E-06    0.63136E-04    0.10438E-01    0.29319E-01    0.31587E-06    0.23513E-13    0.11406E-11    0.53137E-09    0.91958E-09    0.63136E-04    0.11406E-11    0.23273E-09    0.40827E-07    0.11263E-06    0.10438E-01    0.53137E-09    0.40827E-07    0.14634E-03    0.19562E-03    0.29319E-01    0.91958E-09    0.11263E-06    0.19562E-03    0.28029E-03
    22    0.16370E+02   -0.42687E-04    0.58038E-04    0.10739E-01    0.29680E-01   -0.42687E-04   -0.67106E-05    0.15349E-11    0.10050E-08    0.16772E-08    0.58038E-04    0.15349E-11    0.21328E-09    0.41965E-07    0.11377E-06    0.10739E-01    0.10050E-08    0.41965E-07    0.15962E-03    0.21408E-03    0.29680E-01    0.16772E-08    0.11377E-06    0.21408E-03    0.30717E-03
    23    0.15071E+02    0.54017E-06    0.53492E-04    0.11024E-01    0.30005E-01    0.54017E-06    0.64024E-13    0.19416E-11    0.15625E-08    0.25483E-08    0.53492E-04    0.19416E-11    0.19603E-09    0.43041E-07    0.11479E-06    0.11024E-01    0.15625E-08    0.43041E-07    0.17346E-03    0.23336E-03    0.30005E-01    0.25483E-08    0.11479E-06    0.23336E-03    0.33529E-03
    24    0.13920E+02    0.19327E-03    0.49417E-04    0.11293E-01    0.30297E-01    0.19327E-03   -0.45945E-05    0.22150E-11    0.20453E-08    0.32936E-08    0.49417E-04    0.22150E-11    0.18064E-09    0.44059E-07    0.11571E-06    0.11293E-01    0.20453E-08    0.44059E-07    0.18787E-03    0.25347E-03    0.30297E-01    0.32936E-08    0.11571E-06    0.25347E-03    0.36464E-03
    25    0.12927E+02    0.64066E-06    0.45753E-04    0.11548E-01    0.30558E-01    0.64066E-06    0.10240E-12    0.22997E-11    0.23591E-08    0.37718E-08    0.45753E-04    0.22997E-11    0.16688E-09    0.45021E-07    0.11653E-06    0.11548E-01    0.23591E-08    0.45021E-07    0.20282E-03    0.27441E-03    0.30558E-01    0.37718E-08    0.11653E-06    0.27441E-03    0.39521E-03
    26    0.11952E+02    0.17380E-03    0.42449E-04    0.11788E-01    0.30791E-01    0.17380E-03    0.45677E-05    0.21790E-11    0.24415E-08    0.38904E-08    0.42449E-04    0.21790E-11    0.15451E-09    0.45931E-07    0.11726E-06    0.11788E-01    0.24415E-08    0.45931E-07    0.21833E-03    0.29615E-03    0.30791E-01    0.38904E-08    0.11726E-06    0.29615E-03    0.42700E-03
    27    0.11173E+02    0.53295E-06    0.39460E-04    0.12016E-01    0.30998E-01    0.53295E-06    0.85265E-13    0.19001E-11    0.22916E-08    0.36517E-08    0.39460E-04    0.19001E-11    0.14337E-09    0.46792E-07    0.11790E-06    0.12016E-01    0.22916E-08    0.46792E-07    0.23439E-03    0.31871E-03    0.30998E-01    0.36517E-08    0.11790E-06    0.31871E-03    0.45999E-03
    28    0.10388E+02   -0.24430E-03    0.36747E-04    0.12230E-01    0.31181E-01   -0.24430E-03    0.62322E-06    0.15266E-11    0.19366E-08    0.31006E-08    0.36747E-04    0.15266E-11    0.13330E-09    0.47604E-07    0.11847E-06    0.12230E-01    0.19366E-08    0.47604E-07    0.25099E-03    0.34208E-03    0.31181E-01    0.31006E-08    0.11847E-06    0.34208E-03    0.49418E-03
    29    0.97232E+01    0.32187E-06    0.34278E-04    0.12432E-01    0.31340E-01    0.32187E-06    0.45388E-13    0.11244E-11    0.14540E-08    0.23562E-08    0.34278E-04    0.11244E-11    0.12416E-09    0.48367E-07    0.11896E-06    0.12432E-01    0.14540E-08    0.48367E-07    0.26812E-03    0.36622E-03    0.31340E-01    0.23562E-08    0.11896E-06    0.36622E-03    0.52953E-03
    30    0.91606E+01    0.16704E-04    0.32024E-04    0.12621E-01    0.31475E-01    0.16704E-04   -0.21393E-05    0.75393E-12    0.93447E-09    0.15568E-08    0.32024E-04    0.75393E-12    0.11584E-09    0.49084E-07    0.11938E-06    0.12621E-01    0.93447E-09    0.49084E-07    0.28577E-03    0.39114E-03    0.31475E-01    0.15568E-08    0.11938E-06    0.39114E-03    0.56603E-03
    31    0.85101E+01    0.13777E-06    0.29961E-04    0.12799E-01    0.31589E-01    0.13777E-06    0.25262E-13    0.45279E-12    0.47275E-09    0.84340E-09    0.29961E-04    0.45279E-12    0.10825E-09    0.49757E-07    0.11973E-06    0.12799E-01    0.47275E-09    0.49757E-07    0.30394E-03    0.41683E-03    0.31589E-01    0.84340E-09    0.11973E-06    0.41683E-03    0.60365E-03
    32    0.79460E+01    0.16031E-03    0.28072E-04    0.12965E-01    0.31685E-01    0.16031E-03    0.18985E-05    0.24716E-12    0.15089E-09    0.33839E-09    0.28072E-04    0.24716E-12    0.10131E-09    0.50388E-07    0.12002E-06    0.12965E-01    0.15089E-09    0.50388E-07    0.32261E-03    0.44326E-03    0.31685E-01    0.33839E-09    0.12002E-06    0.44326E-03    0.64240E-03
