#    L    TT             EE             TE             PP             TP          
     2    0.78726E+02    0.92648E-11   -0.21054E-06    0.31392E+06    0.87630E+04
     3    0.62598E+02    0.32903E-11    0.21180E-05    0.51692E+06    0.10925E+05
     4    0.51461E+02    0.10410E-11    0.15419E-05    0.70932E+06    0.12223E+05
     5    0.43378E+02    0.40940E-12    0.86180E-06    0.88897E+06    0.13009E+05
     6    0.37246E+02    0.19250E-12    0.88947E-06    0.10557E+07    0.13469E+05
     7    0.32433E+02    0.15100E-12    0.12295E-05    0.12099E+07    0.13711E+05
     8    0.28562E+02    0.16935E-12    0.13202E-05    0.13523E+07    0.13805E+05
     9    0.25385E+02    0.13980E-12    0.10414E-05    0.14839E+07    0.13797E+05
    10    0.22732E+02    0.71715E-13    0.64059E-06    0.16054E+07    0.13713E+05
    11    0.20491E+02    0.27310E-13    0.37457E-06    0.17181E+07    0.13579E+05
    12    0.18723E+02    0.10382E-03   -0.23765E-03    0.18221E+07    0.13406E+05
    13    0.16909E+02    0.36211E-13    0.37612E-06    0.19182E+07    0.13203E+05
    14    0.15420E+02   -0.27194E-04    0.78967E-04    0.20072E+07    0.12981E+05
    15    0.14189E+02    0.43708E-13    0.45281E-06    0.20896E+07    0.12746E+05
    16    0.13035E+02   -0.22586E-04    0.32352E-03    0.21658E+07    0.12502E+05
    17    0.12067E+02    0.23451E-13    0.28548E-06    0.22364E+07    0.12251E+05
    18    0.10740E+02    0.11488E-04   -0.52589E-03    0.23017E+07    0.11999E+05
    19    0.10374E+02    0.11116E-13    0.12711E-06    0.23620E+07    0.11744E+05
    20    0.96906E+01    0.10034E-04   -0.10798E-04    0.24176E+07    0.11490E+05
    21    0.89975E+01    0.96777E-14    0.14028E-06    0.24688E+07    0.11236E+05
    22    0.84488E+01   -0.67106E-05   -0.42925E-04    0.25160E+07    0.10986E+05
    23    0.78641E+01    0.27265E-13    0.24025E-06    0.25595E+07    0.10739E+05
    24    0.73476E+01   -0.45945E-05    0.19293E-03    0.25994E+07    0.10496E+05
    25    0.69187E+01    0.44903E-13    0.29156E-06    0.26360E+07    0.10257E+05
    26    0.64492E+01    0.45677E-05    0.17348E-03    0.26695E+07    0.10022E+05
    27    0.61225E+01    0.38485E-13    0.25021E-06    0.27001E+07    0.97932E+04
    28    0.57436E+01    0.62322E-06   -0.24453E-03    0.27280E+07    0.95689E+04
    29    0.54457E+01    0.21002E-13    0.15757E-06    0.27533E+07    0.93495E+04
    30    0.52148E+01   -0.21393E-05    0.16595E-04    0.27759E+07    0.91346E+04
    31    0.48649E+01    0.11761E-13    0.72553E-07    0.27962E+07    0.89246E+04
    32    0.45736E+01    0.18985E-05    0.16028E-03    0.28144E+07    0.87199E+04
    33    0.43642E+01    0.95693E-14    0.30329E-07    0.28306E+07    0.85205E+04
    34    0.41219E+01    0.58091E-06   -0.27668E-03    0.28449E+07    0.83261E+04
    35    0.39297E+01    0.79637E-14    0.34435E-07    0.28573E+07    0.81367E+04
    36    0.37893E+01   -0.13653E-06    0.46379E-03    0.28681E+07    0.79523E+04
    37    0.35506E+01    0.75828E-14    0.66285E-07    0.28773E+07    0.77727E+04
    38    0.33542E+01    0.41830E-05   -0.55399E-03    0.28850E+07    0.75979E+04
    39    0.32428E+01    0.55145E-05   -0.64620E-03    0.28913E+07    0.74277E+04
    40    0.30674E+01    0.13560E-13    0.11588E-06    0.28962E+07    0.72619E+04
    41    0.30329E+01   -0.10177E-04    0.12920E-02    0.28998E+07    0.71005E+04
    42    0.29025E+01   -0.18179E-04    0.24751E-02    0.29022E+07    0.69434E+04
    43    0.27931E+01   -0.16190E-04    0.26482E-02    0.29034E+07    0.67903E+04
    44    0.25246E+01   -0.11250E-04    0.18017E-02    0.29036E+07    0.66414E+04
    45    0.24365E+01    0.16959E-13    0.11771E-06    0.29027E+07    0.64963E+04
    46    0.24309E+01    0.21386E-04   -0.44409E-02    0.29009E+07    0.63552E+04
    47    0.23661E+01    0.45231E-04   -0.10322E-01    0.28982E+07    0.62179E+04
    48    0.21826E+01    0.68040E-04   -0.13066E-01    0.28947E+07    0.60842E+04
    49    0.19695E+01    0.64032E-04   -0.86923E-02    0.28904E+07    0.59541E+04
    50    0.19644E+01    0.54146E-14    0.55498E-07    0.28853E+07    0.58275E+04
    51    0.19541E+01   -0.15865E-03    0.87113E-02    0.28796E+07    0.57043E+04
    52    0.21513E+01   -0.32573E-03    0.12776E-01    0.28733E+07    0.55844E+04
    53    0.21690E+01   -0.34961E-03    0.92855E-02    0.28663E+07    0.54677E+04
    54    0.19175E+01   -0.23463E-03    0.33015E-02    0.28588E+07    0.53541E+04
    55    0.16044E+01    0.23674E-14    0.16078E-07    0.28507E+07    0.52435E+04
    56    0.14418E+01    0.21343E-03   -0.17291E-02    0.28422E+07    0.51359E+04
    57    0.13640E+01    0.29820E-03   -0.18358E-02    0.28331E+07    0.50310E+04
    58    0.13841E+01    0.26287E-03   -0.12124E-02    0.28237E+07    0.49289E+04
    59    0.13668E+01    0.14575E-03   -0.77349E-03    0.28138E+07    0.48294E+04
    60    0.13254E+01    0.15705E-14    0.14915E-07    0.28035E+07    0.47325E+04
    61    0.15662E+01   -0.80085E-04    0.18113E-02    0.27928E+07    0.46381E+04
    62    0.14890E+01   -0.10301E-03    0.37228E-02    0.27818E+07    0.45460E+04
    63    0.13065E+01   -0.10297E-03    0.47585E-02    0.27704E+07    0.44564E+04
    64    0.13060E+01   -0.62183E-04    0.37191E-02    0.27588E+07    0.43690E+04
    65    0.11059E+01    0.34222E-14    0.27747E-07    0.27469E+07    0.42839E+04
    66    0.99288E+00    0.21984E-04   -0.46037E-02    0.27348E+07    0.42009E+04
    67    0.80578E+00    0.10896E-04   -0.77600E-02    0.27224E+07    0.41201E+04
    68    0.82858E+00    0.13330E-04   -0.83025E-02    0.27099E+07    0.40414E+04
    69    0.82528E+00   -0.58331E-05   -0.49903E-02    0.26972E+07    0.39647E+04
    70    0.93131E+00    0.52974E-14    0.31320E-07    0.26844E+07    0.38899E+04
    71    0.99096E+00    0.25785E-04    0.38996E-02    0.26714E+07    0.38170E+04
    72    0.10211E+01    0.53062E-04    0.55054E-02    0.26582E+07    0.37459E+04
    73    0.97016E+00    0.56304E-04    0.45079E-02    0.26450E+07    0.36766E+04
    74    0.86108E+00    0.32269E-04    0.20827E-02    0.26316E+07    0.36089E+04
    75    0.79093E+00    0.30940E-14    0.24486E-07    0.26181E+07    0.35430E+04
    76    0.70087E+00   -0.30693E-04   -0.95236E-03    0.26045E+07    0.34786E+04
    77    0.65108E+00   -0.57223E-04   -0.10189E-02    0.25908E+07    0.34158E+04
    78    0.69432E+00   -0.41664E-04   -0.21692E-02    0.25770E+07    0.33544E+04
    79    0.66055E+00   -0.27803E-04   -0.11730E-02    0.25632E+07    0.32946E+04
    80    0.67681E+00    0.14064E-14    0.15993E-07    0.25493E+07    0.32362E+04
    81    0.65188E+00    0.27379E-05    0.31530E-03    0.25354E+07    0.31792E+04
    82    0.66135E+00    0.12525E-04    0.24966E-03    0.25215E+07    0.31236E+04
    83    0.63678E+00    0.14258E-04   -0.27075E-03    0.25076E+07    0.30693E+04
    84    0.65832E+00    0.15117E-04    0.16587E-03    0.24936E+07    0.30163E+04
    85    0.58325E+00    0.11251E-14    0.10893E-07    0.24797E+07    0.29646E+04
    86    0.49097E+00   -0.80104E-05   -0.13642E-03    0.24659E+07    0.29141E+04
    87    0.60652E+00   -0.26216E-04    0.24021E-03    0.24520E+07    0.28649E+04
    88    0.48563E+00   -0.26302E-04    0.83362E-03    0.24382E+07    0.28168E+04
    89    0.50115E+00   -0.96688E-05   -0.13813E-03    0.24245E+07    0.27698E+04
    90    0.50598E+00    0.75007E-15    0.87896E-08    0.24108E+07    0.27239E+04
    91    0.42762E+00    0.88892E-05    0.16982E-03    0.23971E+07    0.26790E+04
    92    0.41791E+00    0.16379E-04    0.62228E-03    0.23836E+07    0.26352E+04
    93    0.48049E+00    0.29435E-04    0.82641E-03    0.23701E+07    0.25924E+04
    94    0.39614E+00    0.25308E-04    0.17369E-02    0.23566E+07    0.25506E+04
    95    0.39135E+00    0.18391E-04    0.20800E-02    0.23433E+07    0.25097E+04
    96    0.17262E+00    0.82198E-05    0.20674E-02    0.23300E+07    0.24697E+04
    97    0.18927E+00   -0.56680E-05    0.19112E-02    0.23167E+07    0.24307E+04
    98    0.22210E+00   -0.16308E-04    0.33087E-02    0.23036E+07    0.23925E+04
    99    0.12617E+00   -0.46450E-04    0.27578E-02    0.22905E+07    0.23552E+04
   100    0.12797E+00   -0.81699E-04    0.41844E-02    0.22775E+07    0.23188E+04
   101    0.82558E-01   -0.48236E-04    0.40862E-02    0.22646E+07    0.22832E+04
   102    0.36499E+00   -0.80235E-04    0.41607E-02    0.22518E+07    0.22484E+04
   103    0.38464E+00   -0.89020E-04    0.31342E-02    0.22391E+07    0.22143E+04
   104    0.44227E+00   -0.60196E-04    0.34469E-02    0.22264E+07    0.21810E+04
   105    0.46722E+00   -0.53656E-04    0.30823E-02    0.22139E+07    0.21485E+04
   106    0.53742E+00    0.19279E-04    0.22523E-02    0.22014E+07    0.21166E+04
   107    0.35937E+00    0.24434E-04    0.19114E-02    0.21890E+07    0.20854E+04
   108    0.38241E+00    0.50485E-04    0.78595E-03    0.21767E+07    0.20549E+04
   109    0.38731E+00    0.37543E-04   -0.16942E-03    0.21646E+07    0.20251E+04
   110    0.30342E+00    0.37504E-15    0.36908E-08    0.21525E+07    0.19958E+04
   111    0.20937E+00    0.25783E-04   -0.72092E-03    0.21405E+07    0.19671E+04
   112    0.11225E+00    0.51254E-04   -0.21128E-02    0.21286E+07    0.19391E+04
   113    0.94146E-01    0.86308E-04   -0.32119E-02    0.21169E+07    0.19116E+04
