#    L    TT             EE             TE             PP             TP          
     2    0.32878E+03    0.75102E-10   -0.11835E-04    0.94598E+06    0.32907E+05
     3    0.23048E+03    0.23109E-10    0.75572E-05    0.14489E+07    0.36771E+05
     4    0.17326E+03    0.61985E-11    0.60795E-05    0.18893E+07    0.38058E+05
     5    0.13623E+03    0.20706E-11    0.31019E-05    0.22733E+07    0.38120E+05
     6    0.11049E+03    0.85425E-12    0.29768E-05    0.26075E+07    0.37544E+05
     7    0.91684E+02    0.58350E-12    0.40603E-05    0.28990E+07    0.36631E+05
     8    0.77429E+02    0.60165E-12    0.42592E-05    0.31540E+07    0.35543E+05
     9    0.66320E+02    0.47453E-12    0.32312E-05    0.33777E+07    0.34375E+05
    10    0.57456E+02    0.23592E-12    0.18758E-05    0.35739E+07    0.33176E+05
    11    0.50265E+02    0.90602E-13    0.10171E-05    0.37470E+07    0.31986E+05
    12    0.44477E+02    0.10382E-03   -0.23714E-03    0.38990E+07    0.30813E+05
    13    0.39360E+02    0.11312E-12    0.98312E-06    0.40321E+07    0.29669E+05
    14    0.35122E+02   -0.27194E-04    0.79662E-04    0.41492E+07    0.28565E+05
    15    0.31581E+02    0.11979E-12    0.11375E-05    0.42518E+07    0.27503E+05
    16    0.28466E+02   -0.22586E-04    0.32407E-03    0.43414E+07    0.26483E+05
    17    0.25823E+02    0.57611E-13    0.65737E-06    0.44194E+07    0.25507E+05
    18    0.23054E+02    0.11488E-04   -0.52566E-03    0.44872E+07    0.24574E+05
    19    0.21439E+02    0.25744E-13    0.27541E-06    0.45454E+07    0.23682E+05
    20    0.19666E+02    0.10034E-04   -0.10651E-04    0.45948E+07    0.22828E+05
    21    0.18019E+02    0.24864E-13    0.33795E-06    0.46363E+07    0.22011E+05
    22    0.16631E+02   -0.67106E-05   -0.42657E-04    0.46709E+07    0.21231E+05
    23    0.15304E+02    0.68517E-13    0.57045E-06    0.46991E+07    0.20487E+05
    24    0.14130E+02   -0.45945E-05    0.19329E-03    0.47214E+07    0.19774E+05
    25    0.13115E+02    0.10322E-12    0.65350E-06    0.47384E+07    0.19094E+05
    26    0.12121E+02    0.45677E-05    0.17380E-03    0.47505E+07    0.18443E+05
    27    0.11326E+02    0.81204E-13    0.52426E-06    0.47583E+07    0.17820E+05
    28    0.10525E+02    0.62322E-06   -0.24432E-03    0.47621E+07    0.17225E+05
    29    0.98473E+01    0.41726E-13    0.30347E-06    0.47620E+07    0.16654E+05
    30    0.92728E+01   -0.21393E-05    0.16686E-04    0.47582E+07    0.16107E+05
    31    0.86116E+01    0.23947E-13    0.12344E-06    0.47511E+07    0.15582E+05
    32    0.80378E+01    0.18985E-05    0.16030E-03    0.47413E+07    0.15079E+05
    33    0.75716E+01    0.19900E-13    0.47235E-07    0.47289E+07    0.14598E+05
    34    0.70952E+01    0.58091E-06   -0.27666E-03    0.47142E+07    0.14135E+05
    35    0.66894E+01    0.16261E-13    0.66877E-07    0.46972E+07    0.13692E+05
    36    0.63535E+01   -0.13653E-06    0.46384E-03    0.46782E+07    0.13266E+05
    37    0.59359E+01    0.15910E-13    0.13480E-06    0.46575E+07    0.12857E+05
    38    0.55753E+01    0.41830E-05   -0.55390E-03    0.46351E+07    0.12465E+05
    39    0.53129E+01    0.55145E-05   -0.64610E-03    0.46111E+07    0.12087E+05
