#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2    0.10248E+04    0.27347E-01    0.12272E-02    0.22591E-02   -0.67484E-02    0.27347E-01    0.12119E-05   -0.17405E-07    0.11465E-06   -0.27809E-06    0.12272E-02   -0.17405E-07    0.84913E-08   -0.20874E-08    0.36158E-10    0.22591E-02    0.11465E-06   -0.20874E-08    0.74462E-07   -0.19482E-06   -0.67484E-02   -0.27809E-06    0.36158E-10   -0.19482E-06    0.53882E-06
     3    0.98874E+03    0.61974E-01    0.86266E-03    0.14888E-02   -0.46154E-02    0.61974E-01    0.57211E-05   -0.20855E-07    0.16736E-06   -0.41424E-06    0.86266E-03   -0.20855E-07    0.51703E-08   -0.15377E-08    0.28950E-09    0.14888E-02    0.16736E-06   -0.15377E-08    0.10351E-06   -0.27561E-06   -0.46154E-02   -0.41424E-06    0.28950E-09   -0.27561E-06    0.78265E-06
     4    0.95380E+03    0.10568E+00    0.65040E-03    0.89800E-03   -0.29549E-02    0.10568E+00    0.16465E-04   -0.22697E-07    0.17936E-06   -0.44633E-06    0.65040E-03   -0.22697E-07    0.35763E-08   -0.12890E-08    0.56306E-09    0.89800E-03    0.17936E-06   -0.12890E-08    0.13380E-06   -0.35838E-06   -0.29549E-02   -0.44633E-06    0.56306E-09   -0.35838E-06    0.10346E-05
     5    0.92908E+03    0.15767E+00    0.51273E-03    0.52134E-03   -0.18767E-02    0.15767E+00    0.37122E-04   -0.23842E-07    0.16363E-06   -0.40652E-06    0.51273E-03   -0.23842E-07    0.26587E-08   -0.11220E-08    0.70708E-09    0.52134E-03    0.16363E-06   -0.11220E-08    0.16489E-06   -0.44211E-06   -0.18767E-02   -0.40652E-06    0.70708E-09   -0.44211E-06    0.12915E-05
     6    0.91344E+03    0.21720E+00    0.41759E-03    0.30635E-03   -0.12432E-02    0.21720E+00    0.72039E-04   -0.24439E-07    0.13486E-06   -0.33338E-06    0.41759E-03   -0.24439E-07    0.20704E-08   -0.99267E-09    0.76887E-09    0.30635E-03    0.13486E-06   -0.99267E-09    0.19576E-06   -0.52407E-06   -0.12432E-02   -0.33338E-06    0.76887E-09   -0.52407E-06    0.15449E-05
     7    0.90470E+03    0.28354E+00    0.34858E-03    0.17464E-03   -0.84231E-03    0.28354E+00    0.12621E-03   -0.24733E-07    0.99672E-07   -0.24351E-06    0.34858E-03   -0.24733E-07    0.16660E-08   -0.89170E-09    0.79474E-09    0.17464E-03    0.99672E-07   -0.89170E-09    0.22584E-06   -0.60281E-06   -0.84231E-03   -0.24351E-06    0.79474E-09   -0.60281E-06    0.17905E-05
     8    0.90073E+03    0.35592E+00    0.29600E-03    0.10335E-03   -0.61280E-03    0.35592E+00    0.20515E-03   -0.25074E-07    0.71888E-07   -0.17427E-06    0.29600E-03   -0.25074E-07    0.13738E-08   -0.81835E-09    0.82740E-09    0.10335E-03    0.71888E-07   -0.81835E-09    0.25488E-06   -0.67781E-06   -0.61280E-03   -0.17427E-06    0.82740E-09   -0.67781E-06    0.20266E-05
     9    0.90065E+03    0.43372E+00    0.25446E-03    0.76560E-04   -0.50147E-03    0.43372E+00    0.31488E-03   -0.25556E-07    0.54182E-07   -0.13027E-06    0.25446E-03   -0.25556E-07    0.11547E-08   -0.75762E-09    0.83941E-09    0.76560E-04    0.54182E-07   -0.75762E-09    0.28285E-06   -0.74916E-06   -0.50147E-03   -0.13027E-06    0.83941E-09   -0.74916E-06    0.22531E-05
    10    0.90331E+03    0.51598E+00    0.22105E-03    0.63293E-04   -0.42628E-03    0.51598E+00    0.46176E-03   -0.25981E-07    0.40086E-07   -0.94589E-07    0.22105E-03   -0.25981E-07    0.98530E-09   -0.70530E-09    0.84431E-09    0.63293E-04    0.40086E-07   -0.70530E-09    0.30944E-06   -0.81589E-06   -0.42628E-03   -0.94589E-07    0.84431E-09   -0.81589E-06    0.24665E-05
    11    0.90790E+03    0.60210E+00    0.19414E-03    0.50896E-04   -0.36604E-03    0.60210E+00    0.65310E-03   -0.26090E-07    0.26192E-07   -0.62135E-07    0.19414E-03   -0.26090E-07    0.85151E-09   -0.65995E-09    0.83754E-09    0.50896E-04    0.26192E-07   -0.65995E-09    0.33442E-06   -0.87769E-06   -0.36604E-03   -0.62135E-07    0.83754E-09   -0.87769E-06    0.26663E-05
    12    0.91562E+03    0.69219E+00    0.17219E-03    0.40209E-04   -0.31701E-03    0.69219E+00    0.10004E-02   -0.25856E-07    0.14425E-07   -0.33476E-07    0.17219E-03   -0.25856E-07    0.74341E-09   -0.61899E-09    0.82330E-09    0.40209E-04    0.14425E-07   -0.61899E-09    0.35775E-06   -0.93460E-06   -0.31701E-03   -0.33476E-07    0.82330E-09   -0.93460E-06    0.28523E-05
    13    0.92470E+03    0.78470E+00    0.15400E-03    0.33168E-04   -0.28092E-03    0.78470E+00    0.11980E-02   -0.25516E-07    0.61315E-08   -0.13066E-07    0.15400E-03   -0.25516E-07    0.65497E-09   -0.58185E-09    0.80551E-09    0.33168E-04    0.61315E-08   -0.58185E-09    0.37945E-06   -0.98669E-06   -0.28092E-03   -0.13066E-07    0.80551E-09   -0.98669E-06    0.30244E-05
    14    0.93402E+03    0.87677E+00    0.13856E-03    0.30654E-04   -0.25874E-03    0.87677E+00    0.15366E-02   -0.25308E-07    0.18929E-08   -0.46214E-08    0.13856E-03   -0.25308E-07    0.58138E-09   -0.54847E-09    0.78634E-09    0.30654E-04    0.18929E-08   -0.54847E-09    0.39952E-06   -0.10341E-05   -0.25874E-03   -0.46214E-08    0.78634E-09   -0.10341E-05    0.31828E-05
    15    0.94418E+03    0.96963E+00    0.12527E-03    0.30372E-04   -0.24258E-03    0.96963E+00    0.20051E-02   -0.25237E-07    0.10330E-08   -0.52500E-08    0.12527E-03   -0.25237E-07    0.51954E-09   -0.51845E-09    0.76640E-09    0.30372E-04    0.10330E-08   -0.51845E-09    0.41799E-06   -0.10768E-05   -0.24258E-03   -0.52500E-08    0.76640E-09   -0.10768E-05    0.33278E-05
    16    0.95595E+03    0.10653E+01    0.11368E-03    0.29626E-04   -0.22428E-03    0.10653E+01    0.25107E-02   -0.25242E-07    0.24192E-08   -0.10201E-07    0.11368E-03   -0.25242E-07    0.46697E-09   -0.49129E-09    0.74596E-09    0.29626E-04    0.24192E-08   -0.49129E-09    0.43488E-06   -0.11152E-05   -0.22428E-03   -0.10201E-07    0.74596E-09   -0.11152E-05    0.34596E-05
    17    0.96936E+03    0.11618E+01    0.10359E-03    0.27310E-04   -0.20324E-03    0.11618E+01    0.31573E-02   -0.25248E-07    0.43493E-08   -0.13906E-07    0.10359E-03   -0.25248E-07    0.42194E-09   -0.46662E-09    0.72546E-09    0.27310E-04    0.43493E-08   -0.46662E-09    0.45027E-06   -0.11494E-05   -0.20324E-03   -0.13906E-07    0.72546E-09   -0.11494E-05    0.35789E-05
