#    L    TT             EE             TE             PP             TP          
     2    0.28403E+03    0.61225E-10   -0.90446E-05    0.84064E+06    0.28685E+05
     3    0.20173E+03    0.19109E-10    0.67251E-05    0.12986E+07    0.32431E+05
     4    0.15305E+03    0.52118E-11    0.53580E-05    0.17035E+07    0.33845E+05
     5    0.12121E+03    0.17773E-11    0.27314E-05    0.20595E+07    0.34120E+05
     6    0.98885E+02    0.74224E-12    0.25700E-05    0.23717E+07    0.33783E+05
     7    0.82463E+02    0.50319E-12    0.35358E-05    0.26461E+07    0.33110E+05
     8    0.69943E+02    0.52753E-12    0.37888E-05    0.28877E+07    0.32253E+05
     9    0.60138E+02    0.43042E-12    0.29476E-05    0.31010E+07    0.31303E+05
    10    0.52280E+02    0.22130E-12    0.17566E-05    0.32895E+07    0.30306E+05
    11    0.45880E+02    0.83024E-13    0.95994E-06    0.34569E+07    0.29302E+05
    12    0.40726E+02    0.10382E-03   -0.23721E-03    0.36049E+07    0.28302E+05
    13    0.36124E+02    0.95082E-13    0.87592E-06    0.37355E+07    0.27318E+05
    14    0.32310E+02   -0.27194E-04    0.79548E-04    0.38513E+07    0.26361E+05
    15    0.29122E+02    0.10982E-12    0.10448E-05    0.39536E+07    0.25434E+05
    16    0.26304E+02   -0.22586E-04    0.32402E-03    0.40438E+07    0.24541E+05
    17    0.23912E+02    0.56376E-13    0.63593E-06    0.41232E+07    0.23681E+05
    18    0.21358E+02    0.11488E-04   -0.52567E-03    0.41929E+07    0.22856E+05
    19    0.19927E+02    0.25787E-13    0.26778E-06    0.42536E+07    0.22064E+05
    20    0.18314E+02    0.10034E-04   -0.10673E-04    0.43059E+07    0.21303E+05
    21    0.16805E+02    0.21953E-13    0.29651E-06    0.43507E+07    0.20572E+05
    22    0.15539E+02   -0.67106E-05   -0.42713E-04    0.43890E+07    0.19874E+05
    23    0.14319E+02    0.59947E-13    0.50727E-06    0.44212E+07    0.19204E+05
    24    0.13238E+02   -0.45945E-05    0.19323E-03    0.44476E+07    0.18563E+05
    25    0.12306E+02    0.96101E-13    0.60276E-06    0.44690E+07    0.17948E+05
    26    0.11386E+02    0.45677E-05    0.17377E-03    0.44856E+07    0.17358E+05
    27    0.10656E+02    0.80196E-13    0.50266E-06    0.44981E+07    0.16794E+05
    28    0.99143E+01    0.62322E-06   -0.24433E-03    0.45066E+07    0.16253E+05
    29    0.92889E+01    0.42772E-13    0.30456E-06    0.45114E+07    0.15733E+05
    30    0.87617E+01   -0.21393E-05    0.16693E-04    0.45125E+07    0.15234E+05
    31    0.81431E+01    0.23815E-13    0.13111E-06    0.45105E+07    0.14754E+05
    32    0.76078E+01    0.18985E-05    0.16031E-03    0.45057E+07    0.14294E+05
    33    0.71762E+01    0.19314E-13    0.48008E-07    0.44983E+07    0.13852E+05
    34    0.67313E+01    0.58091E-06   -0.27666E-03    0.44886E+07    0.13428E+05
    35    0.63541E+01    0.15699E-13    0.55925E-07    0.44767E+07    0.13020E+05
    36    0.60443E+01   -0.13653E-06    0.46382E-03    0.44628E+07    0.12628E+05
    37    0.56504E+01    0.14386E-13    0.11514E-06    0.44471E+07    0.12251E+05
    38    0.53114E+01    0.41830E-05   -0.55393E-03    0.44296E+07    0.11889E+05
    39    0.50688E+01    0.55145E-05   -0.64612E-03    0.44107E+07    0.11540E+05
    40    0.47727E+01    0.24893E-13    0.20379E-06    0.43902E+07    0.11204E+05
    41    0.46268E+01   -0.10177E-04    0.12921E-02    0.43684E+07    0.10881E+05
    42    0.43935E+01   -0.18179E-04    0.24752E-02    0.43454E+07    0.10569E+05
    43    0.41890E+01   -0.16190E-04    0.26483E-02    0.43212E+07    0.10268E+05
    44    0.38324E+01   -0.11250E-04    0.18018E-02    0.42960E+07    0.99787E+04
    45    0.36629E+01    0.30120E-13    0.20200E-06    0.42699E+07    0.96995E+04
    46    0.35816E+01    0.21386E-04   -0.44409E-02    0.42430E+07    0.94302E+04
    47    0.34465E+01    0.45231E-04   -0.10322E-01    0.42154E+07    0.91704E+04
    48    0.31978E+01    0.68040E-04   -0.13066E-01    0.41870E+07    0.89198E+04
    49    0.29239E+01    0.64032E-04   -0.86922E-02    0.41581E+07    0.86779E+04
    50    0.28623E+01    0.92821E-14    0.91358E-07    0.41287E+07    0.84445E+04
    51    0.27994E+01   -0.15865E-03    0.87114E-02    0.40988E+07    0.82191E+04
    52    0.29473E+01   -0.32573E-03    0.12776E-01    0.40686E+07    0.80014E+04
    53    0.29191E+01   -0.34961E-03    0.92855E-02    0.40380E+07    0.77912E+04
    54    0.26248E+01   -0.23463E-03    0.33016E-02    0.40070E+07    0.75880E+04
    55    0.22716E+01    0.38676E-14    0.23916E-07    0.39759E+07    0.73917E+04
    56    0.20715E+01    0.21343E-03   -0.17291E-02    0.39445E+07    0.72019E+04
    57    0.19586E+01    0.29820E-03   -0.18358E-02    0.39129E+07    0.70183E+04
    58    0.19458E+01    0.26287E-03   -0.12124E-02    0.38812E+07    0.68407E+04
    59    0.18976E+01    0.14575E-03   -0.77348E-03    0.38493E+07    0.66689E+04
    60    0.18272E+01    0.24846E-14    0.21998E-07    0.38173E+07    0.65026E+04
    61    0.20409E+01   -0.80085E-04    0.18113E-02    0.37852E+07    0.63415E+04
    62    0.19381E+01   -0.10301E-03    0.37228E-02    0.37531E+07    0.61856E+04
    63    0.17316E+01   -0.10297E-03    0.47585E-02    0.37210E+07    0.60346E+04
    64    0.17085E+01   -0.62183E-04    0.37191E-02    0.36889E+07    0.58884E+04
    65    0.14872E+01    0.53911E-14    0.42141E-07    0.36569E+07    0.57467E+04
    66    0.13542E+01    0.21984E-04   -0.46037E-02    0.36249E+07    0.56095E+04
    67    0.11482E+01    0.10896E-04   -0.77600E-02    0.35930E+07    0.54765E+04
    68    0.11533E+01    0.13330E-04   -0.83024E-02    0.35613E+07    0.53477E+04
    69    0.11332E+01   -0.58331E-05   -0.49903E-02    0.35297E+07    0.52228E+04
    70    0.12235E+01    0.81570E-14    0.46957E-07    0.34983E+07    0.51018E+04
    71    0.12682E+01    0.25785E-04    0.38996E-02    0.34670E+07    0.49844E+04
    72    0.12843E+01    0.53062E-04    0.55055E-02    0.34358E+07    0.48705E+04
    73    0.12201E+01    0.56304E-04    0.45079E-02    0.34049E+07    0.47600E+04
    74    0.10984E+01    0.32269E-04    0.20827E-02    0.33741E+07    0.46528E+04
    75    0.10164E+01    0.46411E-14    0.35785E-07    0.33435E+07    0.45488E+04
    76    0.91513E+00   -0.30693E-04   -0.95235E-03    0.33131E+07    0.44477E+04
    77    0.85470E+00   -0.57223E-04   -0.10189E-02    0.32829E+07    0.43496E+04
    78    0.88789E+00   -0.41664E-04   -0.21692E-02    0.32529E+07    0.42543E+04
    79    0.84458E+00   -0.27803E-04   -0.11730E-02    0.32231E+07    0.41617E+04
    80    0.85181E+00    0.19689E-14    0.22637E-07    0.31936E+07    0.40718E+04
    81    0.81833E+00    0.27379E-05    0.31531E-03    0.31643E+07    0.39845E+04
    82    0.81968E+00    0.12525E-04    0.24967E-03    0.31353E+07    0.38996E+04
    83    0.78743E+00    0.14258E-04   -0.27075E-03    0.31066E+07    0.38172E+04
    84    0.80168E+00    0.15117E-04    0.16587E-03    0.30781E+07    0.37370E+04
    85    0.71969E+00    0.15939E-14    0.15026E-07    0.30500E+07    0.36592E+04
    86    0.62086E+00   -0.80104E-05   -0.13641E-03    0.30221E+07    0.35836E+04
    87    0.73018E+00   -0.26216E-04    0.24021E-03    0.29946E+07    0.35100E+04
    88    0.60337E+00   -0.26302E-04    0.83362E-03    0.29673E+07    0.34385E+04
    89    0.61328E+00   -0.96688E-05   -0.13813E-03    0.29404E+07    0.33690E+04
    90    0.61274E+00    0.10313E-14    0.11914E-07    0.29137E+07    0.33013E+04
    91    0.52928E+00    0.88892E-05    0.16983E-03    0.28874E+07    0.32355E+04
    92    0.51470E+00    0.16379E-04    0.62228E-03    0.28614E+07    0.31714E+04
    93    0.57265E+00    0.29435E-04    0.82642E-03    0.28357E+07    0.31090E+04
    94    0.48388E+00    0.25308E-04    0.17369E-02    0.28103E+07    0.30482E+04
    95    0.47489E+00    0.18391E-04    0.20800E-02    0.27852E+07    0.29891E+04
    96    0.25216E+00    0.82198E-05    0.20674E-02    0.27604E+07    0.29316E+04
    97    0.26501E+00   -0.56680E-05    0.19112E-02    0.27359E+07    0.28756E+04
    98    0.29423E+00   -0.16308E-04    0.33087E-02    0.27118E+07    0.28211E+04
    99    0.19487E+00   -0.46450E-04    0.27578E-02    0.26879E+07    0.27680E+04
   100    0.19341E+00   -0.81699E-04    0.41844E-02    0.26643E+07    0.27163E+04
   101    0.14490E+00   -0.48236E-04    0.40862E-02    0.26410E+07    0.26660E+04
   102    0.42440E+00   -0.80235E-04    0.41607E-02    0.26180E+07    0.26171E+04
   103    0.44125E+00   -0.89020E-04    0.31342E-02    0.25952E+07    0.25694E+04
   104    0.49622E+00   -0.60196E-04    0.34469E-02    0.25728E+07    0.25229E+04
   105    0.51865E+00   -0.53656E-04    0.30823E-02    0.25506E+07    0.24776E+04
   106    0.58646E+00    0.19279E-04    0.22523E-02    0.25288E+07    0.24335E+04
   107    0.40612E+00    0.24434E-04    0.19114E-02    0.25072E+07    0.23905E+04
   108    0.42697E+00    0.50485E-04    0.78595E-03    0.24859E+07    0.23485E+04
   109    0.42978E+00    0.37543E-04   -0.16942E-03    0.24648E+07    0.23075E+04
   110    0.34390E+00    0.37504E-15    0.47677E-08    0.24441E+07    0.22676E+04
   111    0.24793E+00    0.25783E-04   -0.72092E-03    0.24236E+07    0.22285E+04
   112    0.14897E+00    0.51254E-04   -0.21128E-02    0.24034E+07    0.21904E+04
   113    0.12911E+00    0.86308E-04   -0.32119E-02    0.23834E+07    0.21531E+04
   114    0.47571E-01    0.66557E-04   -0.37972E-02    0.23637E+07    0.21168E+04
   115    0.60725E-01    0.15046E-03   -0.43908E-02    0.23443E+07    0.20812E+04
   116   -0.46481E-01    0.12507E-03   -0.47717E-02    0.23251E+07    0.20465E+04
   117    0.30885E-01    0.74553E-04   -0.47190E-02    0.23062E+07    0.20127E+04
   118    0.15205E+00    0.15738E-03   -0.54974E-02    0.22876E+07    0.19796E+04
   119    0.17626E+00    0.23488E-03   -0.54004E-02    0.22692E+07    0.19473E+04
