#    L    TT             EE             TE             PP             TP          
    75    0.10504E+01    0.48755E-14    0.37533E-07    0.34551E+07    0.47015E+04
    76    0.94735E+00   -0.30693E-04   -0.95234E-03    0.34220E+07    0.45947E+04
    77    0.88527E+00   -0.57223E-04   -0.10189E-02    0.33891E+07    0.44910E+04
    78    0.91690E+00   -0.41664E-04   -0.21692E-02    0.33565E+07    0.43904E+04
    79    0.87212E+00   -0.27803E-04   -0.11730E-02    0.33241E+07    0.42927E+04
    80    0.87797E+00    0.20627E-14    0.23649E-07    0.32921E+07    0.41978E+04
    81    0.84317E+00    0.27379E-05    0.31531E-03    0.32604E+07    0.41057E+04
    82    0.84328E+00    0.12525E-04    0.24967E-03    0.32289E+07    0.40163E+04
    83    0.80985E+00    0.14258E-04   -0.27075E-03    0.31978E+07    0.39295E+04
    84    0.82298E+00    0.15117E-04    0.16587E-03    0.31671E+07    0.38452E+04
    85    0.73995E+00    0.16877E-14    0.15646E-07    0.31367E+07    0.37633E+04
    86    0.64012E+00   -0.80104E-05   -0.13641E-03    0.31066E+07    0.36838E+04
    87    0.74849E+00   -0.26216E-04    0.24021E-03    0.30769E+07    0.36065E+04
    88    0.62079E+00   -0.26302E-04    0.83362E-03    0.30475E+07    0.35314E+04
    89    0.62984E+00   -0.96688E-05   -0.13813E-03    0.30185E+07    0.34584E+04
    90    0.62850E+00    0.10313E-14    0.12377E-07    0.29899E+07    0.33874E+04
    91    0.54427E+00    0.88892E-05    0.16983E-03    0.29616E+07    0.33183E+04
    92    0.52896E+00    0.16379E-04    0.62229E-03    0.29336E+07    0.32511E+04
    93    0.58621E+00    0.29435E-04    0.82642E-03    0.29060E+07    0.31858E+04
    94    0.49678E+00    0.25308E-04    0.17369E-02    0.28788E+07    0.31221E+04
    95    0.48716E+00    0.18391E-04    0.20800E-02    0.28519E+07    0.30603E+04
    96    0.26383E+00    0.82198E-05    0.20674E-02    0.28253E+07    0.30001E+04
    97    0.27611E+00   -0.56680E-05    0.19112E-02    0.27991E+07    0.29415E+04
    98    0.30479E+00   -0.16308E-04    0.33087E-02    0.27732E+07    0.28845E+04
    99    0.20492E+00   -0.46450E-04    0.27578E-02    0.27477E+07    0.28291E+04
   100    0.20298E+00   -0.81699E-04    0.41844E-02    0.27225E+07    0.27751E+04
   101    0.15402E+00   -0.48236E-04    0.40862E-02    0.26976E+07    0.27226E+04
   102    0.43308E+00   -0.80235E-04    0.41607E-02    0.26731E+07    0.26716E+04
   103    0.44952E+00   -0.89020E-04    0.31342E-02    0.26488E+07    0.26218E+04
   104    0.50410E+00   -0.60196E-04    0.34469E-02    0.26249E+07    0.25734E+04
   105    0.52616E+00   -0.53656E-04    0.30823E-02    0.26013E+07    0.25262E+04
   106    0.59361E+00    0.19279E-04    0.22523E-02    0.25780E+07    0.24803E+04
   107    0.41294E+00    0.24434E-04    0.19114E-02    0.25551E+07    0.24355E+04
   108    0.43347E+00    0.50485E-04    0.78595E-03    0.25324E+07    0.23918E+04
   109    0.43598E+00    0.37543E-04   -0.16942E-03    0.25101E+07    0.23492E+04
   110    0.34981E+00    0.37504E-15    0.49237E-08    0.24880E+07    0.23077E+04
   111    0.25356E+00    0.25783E-04   -0.72092E-03    0.24663E+07    0.22671E+04
   112    0.15433E+00    0.51254E-04   -0.21128E-02    0.24448E+07    0.22275E+04
   113    0.13421E+00    0.86308E-04   -0.32119E-02    0.24236E+07    0.21888E+04
   114    0.52432E-01    0.66557E-04   -0.37972E-02    0.24028E+07    0.21511E+04
   115    0.65352E-01    0.15046E-03   -0.43908E-02    0.23822E+07    0.21142E+04
   116   -0.42078E-01    0.12507E-03   -0.47717E-02    0.23619E+07    0.20783E+04
   117    0.35073E-01    0.74553E-04   -0.47190E-02    0.23419E+07    0.20431E+04
   118    0.15604E+00    0.15738E-03   -0.54974E-02    0.23221E+07    0.20088E+04
   119    0.18004E+00    0.23488E-03   -0.54004E-02    0.23027E+07    0.19754E+04
   120    0.26346E+00    0.16838E-03   -0.49499E-02    0.22835E+07    0.19427E+04
   121    0.26551E+00    0.26490E-03   -0.46678E-02    0.22645E+07    0.19107E+04
   122    0.26829E+00    0.23721E-03   -0.43333E-02    0.22458E+07    0.18796E+04
   123    0.27958E+00    0.16949E-03   -0.44681E-02    0.22274E+07    0.18491E+04
   124    0.30719E+00    0.14592E-03   -0.26230E-02    0.22093E+07    0.18194E+04
   125    0.28463E+00    0.10210E-03   -0.15484E-02    0.21914E+07    0.17903E+04
   126    0.29399E+00    0.12222E-03   -0.10233E-02    0.21737E+07    0.17619E+04
   127    0.26877E+00    0.67608E-04   -0.82677E-03    0.21563E+07    0.17342E+04
   128    0.21677E+00    0.96719E-04   -0.73800E-03    0.21391E+07    0.17071E+04
   129    0.22008E+00    0.70884E-04   -0.53605E-03    0.21222E+07    0.16805E+04
   130    0.21221E+00    0.22502E-14    0.78223E-08    0.21055E+07    0.16546E+04
   131    0.20130E+00    0.40701E-04   -0.11275E-02    0.20890E+07    0.16292E+04
   132    0.27109E+00    0.45184E-04   -0.14194E-02    0.20728E+07    0.16043E+04
   133    0.28284E+00    0.86669E-04   -0.35664E-02    0.20568E+07    0.15800E+04
   134    0.32062E+00    0.16409E-03   -0.35737E-02    0.20410E+07    0.15562E+04
   135    0.39424E+00    0.20211E-03   -0.48750E-02    0.20254E+07    0.15329E+04
   136    0.36495E+00    0.19965E-03   -0.42183E-02    0.20100E+07    0.15101E+04
   137    0.39112E+00    0.22994E-03   -0.42943E-02    0.19948E+07    0.14878E+04
   138    0.40826E+00    0.21763E-03   -0.40796E-02    0.19799E+07    0.14659E+04
   139    0.27763E+00    0.31022E-03   -0.32936E-02    0.19651E+07    0.14446E+04
   140    0.30616E+00    0.28381E-03   -0.31413E-02    0.19506E+07    0.14236E+04
   141    0.20652E+00    0.21161E-03   -0.18566E-02    0.19362E+07    0.14031E+04
   142    0.21137E+00    0.16683E-03   -0.64437E-03    0.19220E+07    0.13831E+04
   143    0.25624E+00    0.14843E-03    0.33036E-04    0.19080E+07    0.13634E+04
   144    0.20235E+00    0.81045E-04    0.45625E-03    0.18942E+07    0.13441E+04
   145    0.13381E+00    0.11218E-03    0.90586E-03    0.18806E+07    0.13253E+04
   146    0.28327E+00    0.17933E-04    0.91965E-03    0.18671E+07    0.13068E+04
   147    0.21484E+00    0.20080E-04    0.15210E-02    0.18538E+07    0.12886E+04
   148    0.16117E+00   -0.31007E-04    0.76213E-03    0.18407E+07    0.12708E+04
   149    0.20635E+00   -0.62107E-04   -0.33364E-03    0.18277E+07    0.12534E+04
   150    0.13733E+00    0.18752E-15    0.11904E-08    0.18149E+07    0.12363E+04
   151    0.11218E+00    0.77267E-04   -0.16144E-02    0.18022E+07    0.12195E+04
   152   -0.94567E-02    0.80850E-04   -0.38724E-02    0.17897E+07    0.12030E+04
   153   -0.71125E-01    0.14206E-03   -0.46709E-02    0.17774E+07    0.11868E+04
   154   -0.13921E+00    0.24362E-03   -0.63636E-02    0.17651E+07    0.11709E+04
   155   -0.20582E+00    0.36829E-03   -0.83328E-02    0.17531E+07    0.11553E+04
   156   -0.41162E+00    0.49880E-03   -0.10704E-01    0.17411E+07    0.11400E+04
   157   -0.45159E+00    0.61790E-03   -0.12116E-01    0.17293E+07    0.11249E+04
   158   -0.54068E+00    0.78259E-03   -0.13437E-01    0.17177E+07    0.11102E+04
   159   -0.67099E+00    0.82706E-03   -0.14794E-01    0.17062E+07    0.10957E+04
   160   -0.76036E+00    0.88262E-03   -0.14824E-01    0.16948E+07    0.10815E+04
   161   -0.80087E+00    0.10063E-02   -0.15139E-01    0.16835E+07    0.10675E+04
   162   -0.85893E+00    0.10322E-02   -0.15864E-01    0.16724E+07    0.10538E+04
   163   -0.77807E+00    0.10175E-02   -0.15639E-01    0.16614E+07    0.10403E+04
   164   -0.84752E+00    0.10190E-02   -0.16075E-01    0.16505E+07    0.10271E+04
   165   -0.76227E+00    0.94538E-03   -0.15068E-01    0.16397E+07    0.10141E+04
   166   -0.66298E+00    0.92781E-03   -0.14230E-01    0.16291E+07    0.10014E+04
   167   -0.46747E+00    0.72622E-03   -0.14427E-01    0.16185E+07    0.98882E+03
   168   -0.39070E+00    0.69477E-03   -0.13558E-01    0.16081E+07    0.97650E+03
   169   -0.27621E+00    0.51905E-03   -0.11747E-01    0.15978E+07    0.96440E+03
   170   -0.11610E+00    0.40467E-03   -0.10605E-01    0.15876E+07    0.95250E+03
   171   -0.51046E-01    0.33435E-03   -0.80286E-02    0.15775E+07    0.94080E+03
