#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.738116E-04   0.190873E+08   0.190873E+08   0.248022E+08   0.248012E+08   0.000000E+00   0.190873E+08   0.190873E+08   0.190942E+08  -0.476407E+00   0.102515E+08   0.102515E+08   0.384732E-01
   0.103012E-03   0.190861E+08   0.190861E+08   0.242010E+08   0.241992E+08   0.000000E+00   0.190861E+08   0.190861E+08   0.190929E+08  -0.476371E+00   0.102509E+08   0.102509E+08   0.536305E-01
   0.143765E-03   0.190840E+08   0.190839E+08   0.230682E+08   0.230649E+08   0.000000E+00   0.190839E+08   0.190839E+08   0.190904E+08  -0.476302E+00   0.102497E+08   0.102497E+08   0.746850E-01
   0.200641E-03   0.190797E+08   0.190797E+08   0.210002E+08   0.209945E+08   0.000000E+00   0.190797E+08   0.190797E+08   0.190856E+08  -0.476169E+00   0.102474E+08   0.102474E+08   0.103793E+00
   0.280017E-03   0.190716E+08   0.190716E+08   0.174543E+08   0.174457E+08   0.000000E+00   0.190716E+08   0.190716E+08   0.190765E+08  -0.475920E+00   0.102430E+08   0.102430E+08   0.143717E+00
   0.390795E-03   0.190563E+08   0.190562E+08   0.120929E+08   0.120833E+08   0.000000E+00   0.190563E+08   0.190563E+08   0.190596E+08  -0.475461E+00   0.102346E+08   0.102346E+08   0.197739E+00
   0.545398E-03   0.190280E+08   0.190279E+08   0.584445E+07   0.584049E+07   0.000000E+00   0.190279E+08   0.190279E+08   0.190296E+08  -0.474654E+00   0.102192E+08   0.102192E+08   0.269374E+00
   0.761165E-03   0.189776E+08   0.189776E+08   0.174688E+07   0.175114E+07   0.000000E+00   0.189776E+08   0.189776E+08   0.189781E+08  -0.473306E+00   0.101917E+08   0.101917E+08   0.362407E+00
   0.106229E-02   0.188922E+08   0.188921E+08   0.951978E+06   0.948728E+06   0.000000E+00   0.188922E+08   0.188922E+08   0.188925E+08  -0.471131E+00   0.101454E+08   0.101454E+08   0.482176E+00
   0.148255E-02   0.187531E+08   0.187528E+08   0.247932E+06   0.240972E+06   0.000000E+00   0.187530E+08   0.187530E+08   0.187531E+08  -0.467642E+00   0.100703E+08   0.100703E+08   0.636763E+00
   0.206906E-02   0.185337E+08   0.185332E+08  -0.936863E+05  -0.937295E+05   0.000000E+00   0.185336E+08   0.185336E+08   0.185336E+08  -0.462158E+00   0.995236E+07   0.995235E+07   0.835831E+00
   0.288761E-02   0.181986E+08   0.181978E+08  -0.472210E+05  -0.472427E+05   0.000000E+00   0.181985E+08   0.181985E+08   0.181985E+08  -0.453799E+00   0.977230E+07   0.977229E+07   0.109136E+01
   0.402998E-02   0.177043E+08   0.177026E+08  -0.235828E+05  -0.235936E+05   0.000000E+00   0.177040E+08   0.177040E+08   0.177040E+08  -0.441467E+00   0.950670E+07   0.950668E+07   0.141746E+01
