#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.738116E-04   0.206231E+08   0.206231E+08   0.267368E+08   0.267357E+08   0.000000E+00   0.206231E+08   0.206231E+08   0.206314E+08  -0.465479E+00   0.104651E+08   0.104651E+08   0.433244E-01
   0.103012E-03   0.206217E+08   0.206217E+08   0.260318E+08   0.260297E+08   0.000000E+00   0.206217E+08   0.206217E+08   0.206297E+08  -0.465437E+00   0.104644E+08   0.104644E+08   0.603854E-01
   0.143765E-03   0.206188E+08   0.206188E+08   0.247070E+08   0.247032E+08   0.000000E+00   0.206188E+08   0.206188E+08   0.206265E+08  -0.465355E+00   0.104629E+08   0.104629E+08   0.840691E-01
   0.200641E-03   0.206134E+08   0.206134E+08   0.223019E+08   0.222955E+08   0.000000E+00   0.206134E+08   0.206134E+08   0.206203E+08  -0.465200E+00   0.104601E+08   0.104601E+08   0.116786E+00
   0.280017E-03   0.206029E+08   0.206029E+08   0.182233E+08   0.182139E+08   0.000000E+00   0.206029E+08   0.206029E+08   0.206086E+08  -0.464908E+00   0.104547E+08   0.104547E+08   0.161574E+00
   0.390795E-03   0.205833E+08   0.205832E+08   0.121932E+08   0.121833E+08   0.000000E+00   0.205832E+08   0.205832E+08   0.205870E+08  -0.464375E+00   0.104446E+08   0.104446E+08   0.221975E+00
   0.545398E-03   0.205471E+08   0.205471E+08   0.549374E+07   0.549077E+07   0.000000E+00   0.205471E+08   0.205471E+08   0.205488E+08  -0.463445E+00   0.104259E+08   0.104259E+08   0.301737E+00
   0.761165E-03   0.204833E+08   0.204832E+08   0.156672E+07   0.157129E+07   0.000000E+00   0.204833E+08   0.204833E+08   0.204838E+08  -0.461907E+00   0.103930E+08   0.103930E+08   0.404828E+00
   0.106229E-02   0.203758E+08   0.203757E+08   0.891685E+06   0.886997E+06   0.000000E+00   0.203758E+08   0.203758E+08   0.203761E+08  -0.459440E+00   0.103379E+08   0.103379E+08   0.537145E+00
   0.148255E-02   0.202022E+08   0.202019E+08   0.201815E+06   0.191644E+06   0.000000E+00   0.202021E+08   0.202021E+08   0.202022E+08  -0.455504E+00   0.102494E+08   0.102494E+08   0.707389E+00
   0.206906E-02   0.199308E+08   0.199302E+08  -0.136274E+06  -0.136318E+06   0.000000E+00   0.199307E+08   0.199307E+08   0.199306E+08  -0.449372E+00   0.101116E+08   0.101116E+08   0.925886E+00
   0.288761E-02   0.195204E+08   0.195194E+08  -0.685149E+05  -0.685369E+05   0.000000E+00   0.195203E+08   0.195203E+08   0.195202E+08  -0.440116E+00   0.990323E+07   0.990322E+07   0.120544E+01
   0.402998E-02   0.189218E+08   0.189199E+08  -0.340951E+05  -0.341060E+05   0.000000E+00   0.189215E+08   0.189215E+08   0.189215E+08  -0.426614E+00   0.959940E+07   0.959938E+07   0.156110E+01
   0.416658E-02   0.188495E+08   0.188475E+08  -0.317741E+05  -0.317843E+05   0.000000E+00   0.188492E+08   0.188492E+08   0.188492E+08  -0.424984E+00   0.956271E+07   0.956269E+07   0.160147E+01
   0.430780E-02   0.187748E+08   0.187726E+08  -0.296068E+05  -0.296163E+05   0.000000E+00   0.187744E+08   0.187744E+08   0.187744E+08  -0.423297E+00   0.952476E+07   0.952474E+07   0.164278E+01
   0.445382E-02   0.186975E+08   0.186952E+08  -0.275832E+05  -0.275920E+05   0.000000E+00   0.186971E+08   0.186971E+08   0.186971E+08  -0.421554E+00   0.948552E+07   0.948550E+07   0.168505E+01
   0.460478E-02   0.186176E+08   0.186151E+08  -0.256938E+05  -0.257021E+05   0.000000E+00   0.186171E+08   0.186171E+08   0.186171E+08  -0.419751E+00   0.944496E+07   0.944494E+07   0.172828E+01
   0.476086E-02   0.185350E+08   0.185324E+08  -0.239301E+05  -0.239377E+05   0.000000E+00   0.185346E+08   0.185346E+08   0.185345E+08  -0.417889E+00   0.940306E+07   0.940304E+07   0.177249E+01
   0.492223E-02   0.184497E+08   0.184469E+08  -0.222836E+05  -0.222908E+05   0.000000E+00   0.184493E+08   0.184493E+08   0.184493E+08  -0.415966E+00   0.935979E+07   0.935976E+07   0.181770E+01
   0.508907E-02   0.183617E+08   0.183587E+08  -0.207469E+05  -0.207536E+05   0.000000E+00   0.183612E+08   0.183612E+08   0.183612E+08  -0.413981E+00   0.931512E+07   0.931509E+07   0.186391E+01
   0.526156E-02   0.182709E+08   0.182677E+08  -0.193128E+05  -0.193190E+05   0.000000E+00   0.182703E+08   0.182703E+08   0.182703E+08  -0.411932E+00   0.926901E+07   0.926898E+07   0.191113E+01
   0.543990E-02   0.181772E+08   0.181738E+08  -0.179745E+05  -0.179802E+05   0.000000E+00   0.181766E+08   0.181766E+08   0.181766E+08  -0.409818E+00   0.922145E+07   0.922141E+07   0.195938E+01
   0.562429E-02   0.180805E+08   0.180769E+08  -0.167258E+05  -0.167311E+05   0.000000E+00   0.180799E+08   0.180799E+08   0.180799E+08  -0.407638E+00   0.917240E+07   0.917236E+07   0.200866E+01
   0.581492E-02   0.179809E+08   0.179771E+08  -0.155608E+05  -0.155658E+05   0.000000E+00   0.179802E+08   0.179802E+08   0.179802E+08  -0.405391E+00   0.912183E+07   0.912179E+07   0.205898E+01
   0.601202E-02   0.178782E+08   0.178741E+08  -0.144740E+05  -0.144787E+05   0.000000E+00   0.178775E+08   0.178775E+08   0.178775E+08  -0.403075E+00   0.906972E+07   0.906968E+07   0.211033E+01
   0.621580E-02   0.177725E+08   0.177681E+08  -0.134604E+05  -0.134647E+05   0.000000E+00   0.177717E+08   0.177717E+08   0.177717E+08  -0.400690E+00   0.901604E+07   0.901600E+07   0.216273E+01
   0.642648E-02   0.176635E+08   0.176589E+08  -0.125150E+05  -0.125191E+05   0.000000E+00   0.176628E+08   0.176628E+08   0.176628E+08  -0.398233E+00   0.896076E+07   0.896072E+07   0.221617E+01
   0.664431E-02   0.175514E+08   0.175465E+08  -0.116335E+05  -0.116373E+05   0.000000E+00   0.175506E+08   0.175506E+08   0.175506E+08  -0.395704E+00   0.890386E+07   0.890381E+07   0.227064E+01
   0.686952E-02   0.174361E+08   0.174308E+08  -0.108117E+05  -0.108151E+05   0.000000E+00   0.174352E+08   0.174352E+08   0.174352E+08  -0.393102E+00   0.884530E+07   0.884525E+07   0.232614E+01
