#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.710236E-02   0.170664E+08   0.170610E+08  -0.927436E+04  -0.927759E+04   0.000000E+00   0.170655E+08   0.170655E+08   0.170655E+08  -0.394960E+00   0.878650E+07   0.878645E+07   0.232747E+01
   0.734310E-02   0.169493E+08   0.169436E+08  -0.861666E+04  -0.861966E+04   0.000000E+00   0.169483E+08   0.169483E+08   0.169483E+08  -0.392249E+00   0.872618E+07   0.872613E+07   0.238386E+01
   0.759199E-02   0.168289E+08   0.168228E+08  -0.800364E+04  -0.800642E+04   0.000000E+00   0.168279E+08   0.168279E+08   0.168279E+08  -0.389461E+00   0.866416E+07   0.866410E+07   0.244122E+01
   0.784933E-02   0.167051E+08   0.166986E+08  -0.743234E+04  -0.743493E+04   0.000000E+00   0.167040E+08   0.167040E+08   0.167040E+08  -0.386595E+00   0.860039E+07   0.860033E+07   0.249952E+01
   0.811538E-02   0.165778E+08   0.165710E+08  -0.690002E+04  -0.690242E+04   0.000000E+00   0.165767E+08   0.165767E+08   0.165767E+08  -0.383649E+00   0.853485E+07   0.853479E+07   0.255874E+01
   0.839045E-02   0.164471E+08   0.164399E+08  -0.640408E+04  -0.640631E+04   0.000000E+00   0.164459E+08   0.164459E+08   0.164459E+08  -0.380622E+00   0.846752E+07   0.846745E+07   0.261883E+01
   0.867485E-02   0.163129E+08   0.163052E+08  -0.594213E+04  -0.594420E+04   0.000000E+00   0.163116E+08   0.163116E+08   0.163116E+08  -0.377513E+00   0.839836E+07   0.839829E+07   0.267976E+01
   0.896888E-02   0.161751E+08   0.161669E+08  -0.551190E+04  -0.551382E+04   0.000000E+00   0.161737E+08   0.161737E+08   0.161737E+08  -0.374321E+00   0.832735E+07   0.832727E+07   0.274148E+01
   0.927288E-02   0.160336E+08   0.160249E+08  -0.511128E+04  -0.511306E+04   0.000000E+00   0.160321E+08   0.160321E+08   0.160321E+08  -0.371045E+00   0.825446E+07   0.825438E+07   0.280392E+01
   0.958719E-02   0.158884E+08   0.158792E+08  -0.473831E+04  -0.473996E+04   0.000000E+00   0.158869E+08   0.158869E+08   0.158869E+08  -0.367683E+00   0.817966E+07   0.817958E+07   0.286702E+01
   0.991215E-02   0.157395E+08   0.157297E+08  -0.439114E+04  -0.439267E+04   0.000000E+00   0.157378E+08   0.157378E+08   0.157378E+08  -0.364234E+00   0.810293E+07   0.810285E+07   0.293070E+01
   0.102481E-01   0.155867E+08   0.155763E+08  -0.406805E+04  -0.406947E+04   0.000000E+00   0.155850E+08   0.155850E+08   0.155850E+08  -0.360696E+00   0.802425E+07   0.802416E+07   0.299487E+01
   0.105955E-01   0.154301E+08   0.154191E+08  -0.376743E+04  -0.376874E+04   0.000000E+00   0.154283E+08   0.154283E+08   0.154283E+08  -0.357070E+00   0.794358E+07   0.794348E+07   0.305944E+01
   0.109546E-01   0.152697E+08   0.152580E+08  -0.348777E+04  -0.348899E+04   0.000000E+00   0.152677E+08   0.152677E+08   0.152677E+08  -0.353354E+00   0.786089E+07   0.786079E+07   0.312428E+01
   0.113259E-01   0.151052E+08   0.150929E+08  -0.322767E+04  -0.322880E+04   0.000000E+00   0.151032E+08   0.151032E+08   0.151032E+08  -0.349545E+00   0.777618E+07   0.777607E+07   0.318927E+01
   0.117098E-01   0.149368E+08   0.149237E+08  -0.298582E+04  -0.298686E+04   0.000000E+00   0.149346E+08   0.149346E+08   0.149346E+08  -0.345645E+00   0.768940E+07   0.768929E+07   0.325427E+01
   0.121067E-01   0.147644E+08   0.147505E+08  -0.276098E+04  -0.276194E+04   0.000000E+00   0.147621E+08   0.147621E+08   0.147621E+08  -0.341651E+00   0.760055E+07   0.760042E+07   0.331912E+01
   0.125171E-01   0.145878E+08   0.145732E+08  -0.255200E+04  -0.255289E+04   0.000000E+00   0.145854E+08   0.145854E+08   0.145854E+08  -0.337562E+00   0.750959E+07   0.750946E+07   0.338365E+01
   0.129414E-01   0.144072E+08   0.143917E+08  -0.235783E+04  -0.235865E+04   0.000000E+00   0.144046E+08   0.144046E+08   0.144046E+08  -0.333378E+00   0.741651E+07   0.741637E+07   0.344766E+01
   0.133800E-01   0.142224E+08   0.142060E+08  -0.217745E+04  -0.217821E+04   0.000000E+00   0.142197E+08   0.142197E+08   0.142197E+08  -0.329098E+00   0.732129E+07   0.732115E+07   0.351095E+01
   0.138335E-01   0.140334E+08   0.140161E+08  -0.200993E+04  -0.201063E+04   0.000000E+00   0.140306E+08   0.140306E+08   0.140306E+08  -0.324721E+00   0.722392E+07   0.722377E+07   0.357327E+01
   0.143024E-01   0.138402E+08   0.138220E+08  -0.185440E+04  -0.185504E+04   0.000000E+00   0.138372E+08   0.138372E+08   0.138372E+08  -0.320246E+00   0.712438E+07   0.712422E+07   0.363437E+01
   0.147872E-01   0.136429E+08   0.136236E+08  -0.171004E+04  -0.171063E+04   0.000000E+00   0.136397E+08   0.136397E+08   0.136397E+08  -0.315674E+00   0.702267E+07   0.702250E+07   0.369398E+01
   0.152884E-01   0.134413E+08   0.134210E+08  -0.157609E+04  -0.157663E+04   0.000000E+00   0.134379E+08   0.134379E+08   0.134379E+08  -0.311004E+00   0.691878E+07   0.691861E+07   0.375180E+01
   0.158066E-01   0.132354E+08   0.132141E+08  -0.145184E+04  -0.145234E+04   0.000000E+00   0.132319E+08   0.132319E+08   0.132319E+08  -0.306236E+00   0.681272E+07   0.681253E+07   0.380748E+01
   0.163424E-01   0.130254E+08   0.130029E+08  -0.133663E+04  -0.133709E+04   0.000000E+00   0.130217E+08   0.130217E+08   0.130217E+08  -0.301371E+00   0.670448E+07   0.670429E+07   0.386069E+01
   0.168963E-01   0.128112E+08   0.127876E+08  -0.122984E+04  -0.123027E+04   0.000000E+00   0.128073E+08   0.128073E+08   0.128073E+08  -0.296409E+00   0.659409E+07   0.659389E+07   0.391105E+01
   0.174690E-01   0.125928E+08   0.125680E+08  -0.113089E+04  -0.113129E+04   0.000000E+00   0.125887E+08   0.125887E+08   0.125887E+08  -0.291350E+00   0.648156E+07   0.648135E+07   0.395814E+01
   0.180611E-01   0.123703E+08   0.123444E+08  -0.103925E+04  -0.103961E+04   0.000000E+00   0.123660E+08   0.123660E+08   0.123660E+08  -0.286197E+00   0.636692E+07   0.636671E+07   0.400154E+01
   0.186733E-01   0.121439E+08   0.121167E+08  -0.954406E+03  -0.954738E+03   0.000000E+00   0.121394E+08   0.121394E+08   0.121394E+08  -0.280951E+00   0.625022E+07   0.624999E+07   0.404079E+01
   0.193062E-01   0.119135E+08   0.118850E+08  -0.875896E+03  -0.876201E+03   0.000000E+00   0.119088E+08   0.119088E+08   0.119088E+08  -0.275615E+00   0.613150E+07   0.613126E+07   0.407540E+01
   0.199606E-01   0.116793E+08   0.116496E+08  -0.803282E+03  -0.803561E+03   0.000000E+00   0.116744E+08   0.116744E+08   0.116744E+08  -0.270190E+00   0.601082E+07   0.601058E+07   0.410488E+01
   0.206372E-01   0.114415E+08   0.114104E+08  -0.736156E+03  -0.736412E+03   0.000000E+00   0.114364E+08   0.114364E+08   0.114364E+08  -0.264681E+00   0.588827E+07   0.588801E+07   0.412867E+01
   0.213367E-01   0.112002E+08   0.111678E+08  -0.674138E+03  -0.674372E+03   0.000000E+00   0.111949E+08   0.111949E+08   0.111949E+08  -0.259092E+00   0.576392E+07   0.576366E+07   0.414624E+01
   0.220599E-01   0.109557E+08   0.109220E+08  -0.616874E+03  -0.617088E+03   0.000000E+00   0.109501E+08   0.109501E+08   0.109501E+08  -0.253427E+00   0.563790E+07   0.563762E+07   0.415703E+01
   0.228076E-01   0.107081E+08   0.106731E+08  -0.564033E+03  -0.564229E+03   0.000000E+00   0.107023E+08   0.107023E+08   0.107023E+08  -0.247692E+00   0.551032E+07   0.551003E+07   0.416044E+01
   0.235807E-01   0.104578E+08   0.104215E+08  -0.515307E+03  -0.515486E+03   0.000000E+00   0.104518E+08   0.104518E+08   0.104518E+08  -0.241894E+00   0.538133E+07   0.538104E+07   0.415590E+01
   0.243800E-01   0.102050E+08   0.101675E+08  -0.470409E+03  -0.470572E+03   0.000000E+00   0.101988E+08   0.101988E+08   0.101988E+08  -0.236040E+00   0.525110E+07   0.525080E+07   0.414282E+01
   0.252063E-01   0.995028E+07   0.991148E+07  -0.429070E+03  -0.429220E+03   0.000000E+00   0.994386E+07   0.994386E+07   0.994386E+07  -0.230139E+00   0.511983E+07   0.511952E+07   0.412063E+01
