#           k/h    P           
    0.73812E-04    0.35747E+03
    0.10301E-03    0.49332E+03
    0.14377E-03    0.68072E+03
    0.20064E-03    0.93908E+03
    0.28002E-03    0.12949E+04
    0.39079E-03    0.17841E+04
    0.54540E-03    0.24545E+04
    0.76116E-03    0.33684E+04
    0.10623E-02    0.46041E+04
    0.14825E-02    0.62545E+04
    0.20691E-02    0.84176E+04
    0.28876E-02    0.11175E+05
    0.40300E-02    0.14547E+05
    0.41666E-02    0.14915E+05
    0.43078E-02    0.15289E+05
    0.44538E-02    0.15667E+05
    0.46048E-02    0.16050E+05
    0.47609E-02    0.16437E+05
    0.49222E-02    0.16828E+05
    0.50891E-02    0.17223E+05
    0.52616E-02    0.17621E+05
    0.54399E-02    0.18022E+05
    0.56243E-02    0.18426E+05
    0.58149E-02    0.18831E+05
    0.60120E-02    0.19239E+05
    0.62158E-02    0.19647E+05
    0.64265E-02    0.20055E+05
    0.66443E-02    0.20464E+05
    0.68695E-02    0.20871E+05
    0.71024E-02    0.21277E+05
    0.73431E-02    0.21681E+05
    0.75920E-02    0.22082E+05
    0.78493E-02    0.22480E+05
    0.81154E-02    0.22872E+05
    0.83905E-02    0.23260E+05
    0.86748E-02    0.23640E+05
    0.89689E-02    0.24014E+05
    0.92729E-02    0.24379E+05
    0.95872E-02    0.24734E+05
    0.99121E-02    0.25079E+05
    0.10248E-01    0.25412E+05
    0.10595E-01    0.25732E+05
    0.10955E-01    0.26037E+05
    0.11326E-01    0.26327E+05
    0.11710E-01    0.26601E+05
    0.12107E-01    0.26856E+05
    0.12517E-01    0.27091E+05
    0.12941E-01    0.27305E+05
    0.13380E-01    0.27497E+05
    0.13834E-01    0.27665E+05
    0.14302E-01    0.27808E+05
    0.14787E-01    0.27923E+05
    0.15288E-01    0.28011E+05
    0.15807E-01    0.28069E+05
    0.16342E-01    0.28096E+05
    0.16896E-01    0.28091E+05
    0.17469E-01    0.28052E+05
    0.18061E-01    0.27979E+05
    0.18673E-01    0.27870E+05
    0.19306E-01    0.27725E+05
    0.19961E-01    0.27543E+05
    0.20637E-01    0.27324E+05
    0.21337E-01    0.27067E+05
    0.22060E-01    0.26772E+05
    0.22808E-01    0.26441E+05
    0.23581E-01    0.26073E+05
    0.24380E-01    0.25669E+05
    0.25206E-01    0.25230E+05
    0.26061E-01    0.24760E+05
    0.26944E-01    0.24258E+05
    0.27857E-01    0.23729E+05
    0.28802E-01    0.23175E+05
    0.29778E-01    0.22598E+05
    0.30787E-01    0.22004E+05
    0.31831E-01    0.21395E+05
    0.32909E-01    0.20777E+05
    0.34025E-01    0.20154E+05
    0.35178E-01    0.19530E+05
    0.36371E-01    0.18911E+05
    0.37603E-01    0.18296E+05
    0.38878E-01    0.17691E+05
    0.40196E-01    0.17104E+05
    0.41558E-01    0.16541E+05
    0.42967E-01    0.16006E+05
    0.44423E-01    0.15502E+05
    0.45929E-01    0.15030E+05
    0.47486E-01    0.14592E+05
    0.49095E-01    0.14186E+05
    0.50759E-01    0.13811E+05
    0.52480E-01    0.13463E+05
    0.54259E-01    0.13138E+05
    0.56098E-01    0.12833E+05
    0.57999E-01    0.12548E+05
    0.60733E-01    0.12192E+05
    0.63467E-01    0.11834E+05
    0.66200E-01    0.11472E+05
    0.68934E-01    0.11092E+05
    0.71668E-01    0.10684E+05
    0.74402E-01    0.10248E+05
    0.77135E-01    0.97857E+04
    0.79869E-01    0.93060E+04
    0.82603E-01    0.88192E+04
    0.85337E-01    0.83365E+04
    0.88071E-01    0.78684E+04
    0.90804E-01    0.74245E+04
    0.93538E-01    0.70127E+04
    0.96272E-01    0.66392E+04
    0.99006E-01    0.63080E+04
    0.10174E+00    0.60206E+04
    0.10447E+00    0.57759E+04
    0.10721E+00    0.55706E+04
    0.10994E+00    0.53997E+04
    0.11267E+00    0.52570E+04
    0.11541E+00    0.51363E+04
    0.11814E+00    0.50309E+04
    0.12088E+00    0.49344E+04
    0.12361E+00    0.48406E+04
    0.12634E+00    0.47438E+04
    0.12908E+00    0.46392E+04
    0.13181E+00    0.45238E+04
    0.13454E+00    0.43963E+04
    0.13728E+00    0.42574E+04
    0.14001E+00    0.41097E+04
    0.14275E+00    0.39562E+04
    0.14548E+00    0.38007E+04
    0.14821E+00    0.36464E+04
    0.15095E+00    0.34964E+04
    0.15368E+00    0.33532E+04
    0.15641E+00    0.32191E+04
    0.15915E+00    0.30962E+04
    0.16188E+00    0.29857E+04
    0.16462E+00    0.28885E+04
    0.16735E+00    0.28045E+04
    0.17008E+00    0.27326E+04
    0.17282E+00    0.26713E+04
    0.17555E+00    0.26185E+04
    0.17828E+00    0.25719E+04
    0.18102E+00    0.25294E+04
    0.18375E+00    0.24891E+04
    0.18649E+00    0.24491E+04
    0.18922E+00    0.24081E+04
    0.19195E+00    0.23649E+04
    0.19469E+00    0.23186E+04
    0.19742E+00    0.22687E+04
    0.20015E+00    0.22153E+04
    0.20289E+00    0.21588E+04
    0.20562E+00    0.20999E+04
    0.20836E+00    0.20397E+04
    0.21109E+00    0.19792E+04
    0.21382E+00    0.19195E+04
    0.21656E+00    0.18617E+04
    0.22522E+00    0.16996E+04
    0.23423E+00    0.15746E+04
    0.24359E+00    0.14836E+04
    0.25334E+00    0.14049E+04
    0.26347E+00    0.13170E+04
    0.27401E+00    0.12139E+04
    0.28496E+00    0.11087E+04
    0.29636E+00    0.10195E+04
    0.30821E+00    0.95010E+03
    0.32054E+00    0.88993E+03
    0.33336E+00    0.82574E+03
    0.34669E+00    0.75785E+03
    0.36056E+00    0.69604E+03
    0.37498E+00    0.64494E+03
    0.38998E+00    0.59892E+03
    0.40558E+00    0.55221E+03
    0.42180E+00    0.50707E+03
    0.43867E+00    0.46756E+03
    0.45621E+00    0.43204E+03
    0.47446E+00    0.39766E+03
    0.49343E+00    0.36540E+03
    0.51317E+00    0.33649E+03
    0.53369E+00    0.30966E+03
    0.55504E+00    0.28440E+03
    0.57723E+00    0.26135E+03
    0.60032E+00    0.24012E+03
    0.62433E+00    0.22036E+03
    0.64930E+00    0.20223E+03
    0.81088E+00    0.12334E+03
    0.10127E+01    0.74342E+02
    0.12647E+01    0.44337E+02
    0.15794E+01    0.26191E+02
    0.19724E+01    0.15338E+02
    0.24632E+01    0.89125E+01
    0.30762E+01    0.51420E+01
    0.38417E+01    0.29476E+01
    0.47977E+01    0.16796E+01
    0.59916E+01    0.95197E+00
    0.74826E+01    0.53687E+00
    0.93447E+01    0.30139E+00
    0.11670E+02    0.16848E+00
