# A_s     O_cdm
1.982200000000000000e+07 2.062310000000000000e+07
1.982200000000000000e+07 2.021370000000000000e+07
1.982200000000000000e+07 1.944690000000000000e+07
1.982200000000000000e+07 1.908730000000000000e+07
