#           k/h    P           
    0.73812E-04    0.31279E+03
    0.10301E-03    0.43166E+03
    0.14377E-03    0.59564E+03
    0.20064E-03    0.82173E+03
    0.28002E-03    0.11332E+04
    0.39079E-03    0.15614E+04
    0.54540E-03    0.21483E+04
    0.76116E-03    0.29489E+04
    0.10623E-02    0.40321E+04
    0.14825E-02    0.54805E+04
    0.20691E-02    0.73823E+04
    0.28876E-02    0.98124E+04
    0.40300E-02    0.12796E+05
    0.41666E-02    0.13123E+05
    0.43078E-02    0.13454E+05
    0.44538E-02    0.13790E+05
    0.46048E-02    0.14130E+05
    0.47609E-02    0.14475E+05
    0.49222E-02    0.14823E+05
    0.50891E-02    0.15175E+05
    0.52616E-02    0.15529E+05
    0.54399E-02    0.15887E+05
    0.56243E-02    0.16247E+05
    0.58149E-02    0.16609E+05
    0.60120E-02    0.16973E+05
    0.62158E-02    0.17339E+05
    0.64265E-02    0.17705E+05
    0.66443E-02    0.18071E+05
    0.68695E-02    0.18437E+05
    0.71024E-02    0.18802E+05
    0.73431E-02    0.19166E+05
    0.75920E-02    0.19527E+05
    0.78493E-02    0.19885E+05
    0.81154E-02    0.20240E+05
    0.83905E-02    0.20591E+05
    0.86748E-02    0.20936E+05
    0.89689E-02    0.21276E+05
    0.92729E-02    0.21608E+05
    0.95872E-02    0.21933E+05
    0.99121E-02    0.22248E+05
    0.10248E-01    0.22554E+05
    0.10595E-01    0.22849E+05
    0.10955E-01    0.23132E+05
    0.11326E-01    0.23402E+05
    0.11710E-01    0.23657E+05
    0.12107E-01    0.23896E+05
    0.12517E-01    0.24119E+05
    0.12941E-01    0.24324E+05
    0.13380E-01    0.24510E+05
    0.13834E-01    0.24675E+05
    0.14302E-01    0.24817E+05
    0.14787E-01    0.24937E+05
    0.15288E-01    0.25032E+05
    0.15807E-01    0.25102E+05
    0.16342E-01    0.25144E+05
    0.16896E-01    0.25159E+05
    0.17469E-01    0.25144E+05
    0.18061E-01    0.25099E+05
    0.18673E-01    0.25022E+05
    0.19306E-01    0.24914E+05
    0.19961E-01    0.24773E+05
    0.20637E-01    0.24599E+05
    0.21337E-01    0.24391E+05
    0.22060E-01    0.24150E+05
    0.22808E-01    0.23876E+05
    0.23581E-01    0.23568E+05
    0.24380E-01    0.23229E+05
    0.25206E-01    0.22858E+05
    0.26061E-01    0.22458E+05
    0.26944E-01    0.22030E+05
    0.27857E-01    0.21575E+05
    0.28802E-01    0.21098E+05
    0.29778E-01    0.20599E+05
    0.30787E-01    0.20083E+05
    0.31831E-01    0.19552E+05
    0.32909E-01    0.19011E+05
    0.34025E-01    0.18464E+05
    0.35178E-01    0.17914E+05
    0.36371E-01    0.17367E+05
    0.37603E-01    0.16823E+05
    0.38878E-01    0.16285E+05
    0.40196E-01    0.15760E+05
    0.41558E-01    0.15255E+05
    0.42967E-01    0.14772E+05
    0.44423E-01    0.14315E+05
    0.45929E-01    0.13886E+05
    0.47486E-01    0.13487E+05
    0.49095E-01    0.13115E+05
    0.50759E-01    0.12770E+05
    0.52480E-01    0.12450E+05
    0.54259E-01    0.12150E+05
    0.56098E-01    0.11869E+05
    0.57999E-01    0.11602E+05
    0.60733E-01    0.11271E+05
    0.63467E-01    0.10944E+05
    0.66200E-01    0.10616E+05
    0.68934E-01    0.10273E+05
    0.71668E-01    0.99077E+04
    0.74402E-01    0.95166E+04
    0.77135E-01    0.91023E+04
