#           k/h    P           
    0.73812E-04    0.35177E+03
    0.10301E-03    0.48545E+03
    0.14377E-03    0.66984E+03
    0.20064E-03    0.92403E+03
    0.28002E-03    0.12741E+04
    0.39079E-03    0.17551E+04
    0.54540E-03    0.24139E+04
    0.76116E-03    0.33110E+04
    0.10623E-02    0.45221E+04
    0.14825E-02    0.61354E+04
    0.20691E-02    0.82422E+04
    0.28876E-02    0.10912E+05
    0.40300E-02    0.14151E+05
    0.41666E-02    0.14503E+05
    0.43078E-02    0.14860E+05
    0.44538E-02    0.15220E+05
    0.46048E-02    0.15584E+05
    0.47609E-02    0.15952E+05
    0.49222E-02    0.16323E+05
    0.50891E-02    0.16697E+05
    0.52616E-02    0.17074E+05
    0.54399E-02    0.17453E+05
    0.56243E-02    0.17833E+05
    0.58149E-02    0.18214E+05
    0.60120E-02    0.18597E+05
    0.62158E-02    0.18979E+05
    0.64265E-02    0.19361E+05
    0.66443E-02    0.19742E+05
    0.68695E-02    0.20121E+05
    0.71024E-02    0.20498E+05
    0.73431E-02    0.20872E+05
    0.75920E-02    0.21241E+05
    0.78493E-02    0.21607E+05
    0.81154E-02    0.21966E+05
    0.83905E-02    0.22320E+05
    0.86748E-02    0.22666E+05
    0.89689E-02    0.23004E+05
    0.92729E-02    0.23332E+05
    0.95872E-02    0.23650E+05
    0.99121E-02    0.23957E+05
    0.10248E-01    0.24251E+05
    0.10595E-01    0.24531E+05
    0.10955E-01    0.24797E+05
    0.11326E-01    0.25046E+05
    0.11710E-01    0.25278E+05
    0.12107E-01    0.25491E+05
    0.12517E-01    0.25683E+05
    0.12941E-01    0.25855E+05
    0.13380E-01    0.26003E+05
    0.13834E-01    0.26128E+05
    0.14302E-01    0.26226E+05
    0.14787E-01    0.26298E+05
    0.15288E-01    0.26342E+05
    0.15807E-01    0.26357E+05
    0.16342E-01    0.26341E+05
    0.16896E-01    0.26293E+05
    0.17469E-01    0.26213E+05
    0.18061E-01    0.26099E+05
    0.18673E-01    0.25950E+05
    0.19306E-01    0.25767E+05
    0.19961E-01    0.25548E+05
    0.20637E-01    0.25293E+05
    0.21337E-01    0.25003E+05
    0.22060E-01    0.24678E+05
    0.22808E-01    0.24318E+05
    0.23581E-01    0.23924E+05
    0.24380E-01    0.23497E+05
    0.25206E-01    0.23040E+05
    0.26061E-01    0.22553E+05
    0.26944E-01    0.22040E+05
    0.27857E-01    0.21502E+05
    0.28802E-01    0.20944E+05
    0.29778E-01    0.20368E+05
    0.30787E-01    0.19778E+05
    0.31831E-01    0.19179E+05
    0.32909E-01    0.18574E+05
    0.34025E-01    0.17969E+05
    0.35178E-01    0.17368E+05
    0.36371E-01    0.16775E+05
    0.37603E-01    0.16188E+05
    0.38878E-01    0.15617E+05
    0.40196E-01    0.15069E+05
    0.41558E-01    0.14548E+05
    0.42967E-01    0.14056E+05
    0.44423E-01    0.13598E+05
    0.45929E-01    0.13172E+05
    0.47486E-01    0.12780E+05
    0.49095E-01    0.12419E+05
    0.50759E-01    0.12087E+05
    0.52480E-01    0.11781E+05
    0.54259E-01    0.11499E+05
    0.56098E-01    0.11238E+05
    0.57999E-01    0.10989E+05
    0.60733E-01    0.10679E+05
    0.63467E-01    0.10358E+05
    0.66200E-01    0.10028E+05
    0.68934E-01    0.96768E+04
    0.71668E-01    0.92978E+04
    0.74402E-01    0.88899E+04
    0.77135E-01    0.84582E+04
    0.79869E-01    0.80112E+04
    0.82603E-01    0.75601E+04
    0.85337E-01    0.71164E+04
    0.88071E-01    0.66908E+04
    0.90804E-01    0.62925E+04
    0.93538E-01    0.59289E+04
    0.96272E-01    0.56048E+04
    0.99006E-01    0.53225E+04
    0.10174E+00    0.50818E+04
    0.10447E+00    0.48804E+04
    0.10721E+00    0.47141E+04
    0.10994E+00    0.45779E+04
    0.11267E+00    0.44658E+04
    0.11541E+00    0.43717E+04
    0.11814E+00    0.42890E+04
    0.12088E+00    0.42111E+04
    0.12361E+00    0.41317E+04
    0.12634E+00    0.40456E+04
    0.12908E+00    0.39490E+04
    0.13181E+00    0.38404E+04
    0.13454E+00    0.37203E+04
    0.13728E+00    0.35907E+04
    0.14001E+00    0.34544E+04
    0.14275E+00    0.33149E+04
    0.14548E+00    0.31750E+04
    0.14821E+00    0.30378E+04
    0.15095E+00    0.29059E+04
    0.15368E+00    0.27819E+04
