#           k/h    P           
    0.15641E+00    0.26682E+04
    0.15915E+00    0.25663E+04
    0.16188E+00    0.24773E+04
    0.16462E+00    0.24009E+04
    0.16735E+00    0.23363E+04
    0.17008E+00    0.22818E+04
    0.17282E+00    0.22355E+04
    0.17555E+00    0.21952E+04
    0.17828E+00    0.21592E+04
    0.18102E+00    0.21254E+04
    0.18375E+00    0.20924E+04
    0.18649E+00    0.20585E+04
    0.18922E+00    0.20224E+04
    0.19195E+00    0.19832E+04
    0.19469E+00    0.19403E+04
    0.19742E+00    0.18937E+04
    0.20015E+00    0.18440E+04
    0.20289E+00    0.17919E+04
    0.20562E+00    0.17384E+04
    0.20836E+00    0.16847E+04
    0.21109E+00    0.16316E+04
    0.21382E+00    0.15802E+04
    0.22238E+00    0.14382E+04
    0.23127E+00    0.13308E+04
    0.24052E+00    0.12546E+04
    0.25014E+00    0.11891E+04
    0.26014E+00    0.11151E+04
    0.27055E+00    0.10260E+04
    0.28137E+00    0.93506E+03
    0.29262E+00    0.85832E+03
    0.30432E+00    0.79989E+03
    0.31650E+00    0.74948E+03
    0.32915E+00    0.69520E+03
    0.34232E+00    0.63701E+03
    0.35601E+00    0.58430E+03
    0.37025E+00    0.54120E+03
    0.38506E+00    0.50250E+03
    0.40046E+00    0.46301E+03
    0.41647E+00    0.42468E+03
    0.43313E+00    0.39133E+03
    0.45045E+00    0.36149E+03
    0.46847E+00    0.33251E+03
    0.48720E+00    0.30529E+03
    0.50669E+00    0.28100E+03
    0.52695E+00    0.25846E+03
    0.54803E+00    0.23722E+03
    0.56995E+00    0.21787E+03
    0.59274E+00    0.20007E+03
    0.61645E+00    0.18350E+03
    0.64110E+00    0.16832E+03
    0.80064E+00    0.10237E+03
    0.99988E+00    0.61549E+02
    0.12487E+01    0.36625E+02
    0.15594E+01    0.21591E+02
    0.19475E+01    0.12621E+02
    0.24321E+01    0.73218E+01
    0.30374E+01    0.42180E+01
    0.37932E+01    0.24146E+01
    0.47371E+01    0.13742E+01
    0.59160E+01    0.77798E+00
    0.73882E+01    0.43829E+00
    0.92267E+01    0.24581E+00
    0.11523E+02    0.13729E+00
