#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.710236E-02   0.168225E+08   0.168173E+08  -0.851187E+04  -0.851510E+04   0.000000E+00   0.168216E+08   0.168216E+08   0.168216E+08  -0.399366E+00   0.878636E+07   0.878631E+07   0.227446E+01
   0.734310E-02   0.167101E+08   0.167046E+08  -0.790967E+04  -0.791267E+04   0.000000E+00   0.167092E+08   0.167092E+08   0.167092E+08  -0.396696E+00   0.872762E+07   0.872757E+07   0.232976E+01
   0.759199E-02   0.165944E+08   0.165886E+08  -0.734830E+04  -0.735109E+04   0.000000E+00   0.165935E+08   0.165935E+08   0.165935E+08  -0.393949E+00   0.866719E+07   0.866714E+07   0.238602E+01
   0.784933E-02   0.164755E+08   0.164693E+08  -0.682509E+04  -0.682768E+04   0.000000E+00   0.164745E+08   0.164745E+08   0.164745E+08  -0.391124E+00   0.860504E+07   0.860498E+07   0.244322E+01
   0.811538E-02   0.163532E+08   0.163466E+08  -0.633750E+04  -0.633990E+04   0.000000E+00   0.163522E+08   0.163522E+08   0.163522E+08  -0.388220E+00   0.854114E+07   0.854108E+07   0.250132E+01
   0.839045E-02   0.162276E+08   0.162206E+08  -0.588319E+04  -0.588542E+04   0.000000E+00   0.162264E+08   0.162264E+08   0.162264E+08  -0.385235E+00   0.847547E+07   0.847541E+07   0.256030E+01
   0.867485E-02   0.160985E+08   0.160910E+08  -0.545994E+04  -0.546201E+04   0.000000E+00   0.160973E+08   0.160973E+08   0.160973E+08  -0.382168E+00   0.840800E+07   0.840793E+07   0.262012E+01
   0.896888E-02   0.159659E+08   0.159579E+08  -0.506571E+04  -0.506763E+04   0.000000E+00   0.159646E+08   0.159646E+08   0.159646E+08  -0.379018E+00   0.833869E+07   0.833862E+07   0.268072E+01
   0.927288E-02   0.158297E+08   0.158213E+08  -0.469856E+04  -0.470034E+04   0.000000E+00   0.158283E+08   0.158283E+08   0.158283E+08  -0.375783E+00   0.826753E+07   0.826745E+07   0.274205E+01
   0.958719E-02   0.156899E+08   0.156810E+08  -0.435669E+04  -0.435835E+04   0.000000E+00   0.156885E+08   0.156885E+08   0.156885E+08  -0.372463E+00   0.819448E+07   0.819440E+07   0.280405E+01
   0.991215E-02   0.155465E+08   0.155370E+08  -0.403843E+04  -0.403996E+04   0.000000E+00   0.155449E+08   0.155449E+08   0.155449E+08  -0.369055E+00   0.811951E+07   0.811943E+07   0.286663E+01
   0.102481E-01   0.153993E+08   0.153893E+08  -0.374219E+04  -0.374361E+04   0.000000E+00   0.153977E+08   0.153977E+08   0.153977E+08  -0.365560E+00   0.804260E+07   0.804251E+07   0.292972E+01
   0.105955E-01   0.152484E+08   0.152378E+08  -0.346652E+04  -0.346783E+04   0.000000E+00   0.152467E+08   0.152467E+08   0.152467E+08  -0.361975E+00   0.796373E+07   0.796363E+07   0.299322E+01
   0.109546E-01   0.150937E+08   0.150824E+08  -0.321002E+04  -0.321124E+04   0.000000E+00   0.150919E+08   0.150919E+08   0.150919E+08  -0.358299E+00   0.788286E+07   0.788276E+07   0.305703E+01
   0.113259E-01   0.149351E+08   0.149231E+08  -0.297142E+04  -0.297255E+04   0.000000E+00   0.149332E+08   0.149332E+08   0.149332E+08  -0.354531E+00   0.779997E+07   0.779986E+07   0.312101E+01
   0.117098E-01   0.147726E+08   0.147599E+08  -0.274951E+04  -0.275056E+04   0.000000E+00   0.147706E+08   0.147706E+08   0.147706E+08  -0.350671E+00   0.771503E+07   0.771492E+07   0.318503E+01
   0.121067E-01   0.146062E+08   0.145928E+08  -0.254319E+04  -0.254415E+04   0.000000E+00   0.146040E+08   0.146040E+08   0.146040E+08  -0.346716E+00   0.762803E+07   0.762792E+07   0.324895E+01
   0.125171E-01   0.144357E+08   0.144215E+08  -0.235138E+04  -0.235227E+04   0.000000E+00   0.144334E+08   0.144334E+08   0.144334E+08  -0.342667E+00   0.753894E+07   0.753882E+07   0.331259E+01
   0.129414E-01   0.142612E+08   0.142462E+08  -0.217312E+04  -0.217395E+04   0.000000E+00   0.142588E+08   0.142588E+08   0.142588E+08  -0.338521E+00   0.744774E+07   0.744761E+07   0.337577E+01
   0.133800E-01   0.140827E+08   0.140668E+08  -0.200750E+04  -0.200826E+04   0.000000E+00   0.140801E+08   0.140801E+08   0.140801E+08  -0.334279E+00   0.735441E+07   0.735427E+07   0.343828E+01
   0.138335E-01   0.139000E+08   0.138833E+08  -0.185365E+04  -0.185435E+04   0.000000E+00   0.138973E+08   0.138973E+08   0.138973E+08  -0.329939E+00   0.725893E+07   0.725878E+07   0.349989E+01
   0.143024E-01   0.137133E+08   0.136956E+08  -0.171078E+04  -0.171143E+04   0.000000E+00   0.137104E+08   0.137104E+08   0.137104E+08  -0.325501E+00   0.716129E+07   0.716114E+07   0.356037E+01
   0.147872E-01   0.135223E+08   0.135037E+08  -0.157814E+04  -0.157874E+04   0.000000E+00   0.135193E+08   0.135193E+08   0.135193E+08  -0.320965E+00   0.706149E+07   0.706133E+07   0.361945E+01
   0.152884E-01   0.133273E+08   0.133076E+08  -0.145505E+04  -0.145560E+04   0.000000E+00   0.133241E+08   0.133241E+08   0.133241E+08  -0.316329E+00   0.695951E+07   0.695934E+07   0.367682E+01
   0.158066E-01   0.131280E+08   0.131073E+08  -0.134084E+04  -0.134134E+04   0.000000E+00   0.131247E+08   0.131247E+08   0.131247E+08  -0.311595E+00   0.685535E+07   0.685518E+07   0.373218E+01
   0.163424E-01   0.129246E+08   0.129029E+08  -0.123491E+04  -0.123538E+04   0.000000E+00   0.129211E+08   0.129211E+08   0.129211E+08  -0.306762E+00   0.674902E+07   0.674884E+07   0.378518E+01
   0.168963E-01   0.127171E+08   0.126942E+08  -0.113670E+04  -0.113713E+04   0.000000E+00   0.127134E+08   0.127134E+08   0.127134E+08  -0.301831E+00   0.664053E+07   0.664034E+07   0.383546E+01
